,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Hamilton Masakadza,55608,Kagiso Rabada,550215,"Rabada to H Masakadza, no run starts with a length ball, in the channel, left alone. It was on its way down into the wicketkeeper's gloves",1st innings,0.1,no run,0,0,0/0,"Rabada to H Masakadza, no run",,"starts with a length ball, in the channel, left alone. It was on its way down into the wicketkeeper's gloves",0
1,2,Hamilton Masakadza,55608,Kagiso Rabada,550215,"Rabada to H Masakadza, no run length ball, much closer this time, Masakadza comes forward and defends",1st innings,0.2,no run,0,0,0/0,"Rabada to H Masakadza, no run",,"length ball, much closer this time, Masakadza comes forward and defends",0
2,3,Hamilton Masakadza,55608,Kagiso Rabada,550215,"Rabada to H Masakadza, no run length outside off, steep bounce this time. The wicketkeeper collecting it near his head as the batsman once again shoulders arms",1st innings,0.3,no run,0,0,0/0,"Rabada to H Masakadza, no run",,"length outside off, steep bounce this time. The wicketkeeper collecting it near his head as the batsman once again shoulders arms",0
3,4,Hamilton Masakadza,55608,Kagiso Rabada,550215,"Rabada to H Masakadza, 1 run length ball, hits the bat on the splice and goes towards fine leg. Zimbabwe are off the mark",1st innings,0.4,run,1,1,1/0,"Rabada to H Masakadza, 1 run",,"length ball, hits the bat on the splice and goes towards fine leg. Zimbabwe are off the mark",0
4,5,Solomon Mire,290462,Kagiso Rabada,550215,"Rabada to Mire, no run length again, once again that extra bounce there. Mire comes forward and looks to defend, the ball hits him near the handle",1st innings,0.5,no run,1,0,1/0,"Rabada to Mire, no run",,"length again, once again that extra bounce there. Mire comes forward and looks to defend, the ball hits him near the handle",0
5,6,Solomon Mire,290462,Kagiso Rabada,550215,"Rabada to Mire, no run a touch fuller this time, just outside off, defended towards cover-point off the front foot",1st innings,0.6,no run,1,0,1/0,"Rabada to Mire, no run",,"a touch fuller this time, just outside off, defended towards cover-point off the front foot",0
6,7,Hamilton Masakadza,55608,Lungi Ngidi,542023,"Ngidi to H Masakadza, no run starts with a length ball, Masakadza comes forward and defends it down the wicket",1st innings,1.1,no run,1,0,1/0,"Ngidi to H Masakadza, no run",,"starts with a length ball, Masakadza comes forward and defends it down the wicket",0
7,8,Hamilton Masakadza,55608,Lungi Ngidi,542023,"Ngidi to H Masakadza, no run length again, nipping back off the seam to rap the batsman on the thigh",1st innings,1.2,no run,1,0,1/0,"Ngidi to H Masakadza, no run",,"length again, nipping back off the seam to rap the batsman on the thigh",0
8,9,Hamilton Masakadza,55608,Lungi Ngidi,542023,"Ngidi to H Masakadza, no run length outside off, left alone. Once again good carry to the keeper",1st innings,1.3,no run,1,0,1/0,"Ngidi to H Masakadza, no run",,"length outside off, left alone. Once again good carry to the keeper",0
9,10,Hamilton Masakadza,55608,Lungi Ngidi,542023,"Ngidi to H Masakadza, no run Fuller length, just outside off, Masakadza looks to drive but ends up hitting it on his foot",1st innings,1.4,no run,1,0,1/0,"Ngidi to H Masakadza, no run",,"Fuller length, just outside off, Masakadza looks to drive but ends up hitting it on his foot",0
