,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,otherBowler,otherBowler_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Sir Alastair Cook,11728,Bhuvneshwar Kumar,326016,"Kumar to Cook, 1 run gets swing into the left-hander,the batsman tickles it to fine leg for a single",1st innings,Alex Hales,249866,,,0.1,run,1,1,1/0,"Kumar to Cook, 1 run",,"gets swing into the left-hander,the batsman tickles it to fine leg for a single",0
1,2,Alex Hales,249866,Bhuvneshwar Kumar,326016,"Kumar to Hales, no run loud appeal for a catch! The crowd goes with the Indian fielders. This one swings into Hales, who gets into tangle playing a pull,  and this hits the top of the thigh pad before lobbing to Dhoni",1st innings,Sir Alastair Cook,11728,,,0.2,no run,1,0,1/0,"Kumar to Hales, no run",,"loud appeal for a catch! The crowd goes with the Indian fielders. This one swings into Hales, who gets into tangle playing a pull,  and this hits the top of the thigh pad before lobbing to Dhoni",0
2,3,Alex Hales,249866,Bhuvneshwar Kumar,326016,"Kumar to Hales, no run big inswing again, Hales wants to flick it but gets hit on the pads again",1st innings,Sir Alastair Cook,11728,,,0.3,no run,1,0,1/0,"Kumar to Hales, no run",,"big inswing again, Hales wants to flick it but gets hit on the pads again",0
3,4,Alex Hales,249866,Bhuvneshwar Kumar,326016,"Kumar to Hales, 1 leg bye another inswinger going down the leg side this time, flicks the thigh pad and rolls to the left of the keeper",1st innings,Sir Alastair Cook,11728,,,0.4,leg bye,2,1,2/0,"Kumar to Hales, 1 leg bye",,"another inswinger going down the leg side this time, flicks the thigh pad and rolls to the left of the keeper",0
4,5,Sir Alastair Cook,11728,Bhuvneshwar Kumar,326016,"Kumar to Cook, no run inswinger to the left-hander! Cook stays back and punches it to mid-on",1st innings,Alex Hales,249866,,,0.5,no run,2,0,2/0,"Kumar to Cook, no run",,inswinger to the left-hander! Cook stays back and punches it to mid-on,0
5,6,Sir Alastair Cook,11728,Bhuvneshwar Kumar,326016,"Kumar to Cook, 1 run this one comes in to the left-handed Cook again but it's on the leg stump, Cook nudges it through square leg for a single",1st innings,Alex Hales,249866,,,0.6,run,3,1,3/0,"Kumar to Cook, 1 run",,"this one comes in to the left-handed Cook again but it's on the leg stump, Cook nudges it through square leg for a single",0
6,7,Sir Alastair Cook,11728,Mohit Sharma,537119,"Sharma to Cook, no run angles it across the left-hander and Cook leaves it alone easily",1st innings,Alex Hales,249866,Bhuvneshwar Kumar,326016,1.1,no run,3,0,3/0,"Sharma to Cook, no run",,angles it across the left-hander and Cook leaves it alone easily,0
7,8,Sir Alastair Cook,11728,Mohit Sharma,537119,"Sharma to Cook, no run pitches it on back of length just outside off, Cook stays back and pushes it towards cover",1st innings,Alex Hales,249866,Bhuvneshwar Kumar,326016,1.2,no run,3,0,3/0,"Sharma to Cook, no run",,"pitches it on back of length just outside off, Cook stays back and pushes it towards cover",0
8,9,Sir Alastair Cook,11728,Mohit Sharma,537119,"Sharma to Cook, no run pushes it further up, 135 kph, and draws the batsman forward into a tentative poke.. it flies past the outside edge",1st innings,Alex Hales,249866,Bhuvneshwar Kumar,326016,1.3,no run,3,0,3/0,"Sharma to Cook, no run",,"pushes it further up, 135 kph, and draws the batsman forward into a tentative poke.. it flies past the outside edge",0
9,10,Sir Alastair Cook,11728,Mohit Sharma,537119,"Sharma to Cook, 1 run shortish delivery on the body, doesn't get up as much as Cook would have liked it to but he manages to slap it down to fine leg",1st innings,Alex Hales,249866,Bhuvneshwar Kumar,326016,1.4,run,4,1,4/0,"Sharma to Cook, 1 run",,"shortish delivery on the body, doesn't get up as much as Cook would have liked it to but he manages to slap it down to fine leg",0
10,11,Alex Hales,249866,Mohit Sharma,537119,"Sharma to Hales, no run bowls length outside off, Hales comes forward before leaving this alone",1st innings,Sir Alastair Cook,11728,Bhuvneshwar Kumar,326016,1.5,no run,4,0,4/0,"Sharma to Hales, no run",,"bowls length outside off, Hales comes forward before leaving this alone",0
11,12,Alex Hales,249866,Mohit Sharma,537119,"Sharma to Hales, no run bowls in a good channel outside off, Hales punches it to mid-off but he was a bit tentative to push forward",1st innings,Sir Alastair Cook,11728,Bhuvneshwar Kumar,326016,1.6,no run,4,0,4/0,"Sharma to Hales, no run",,"bowls in a good channel outside off, Hales punches it to mid-off but he was a bit tentative to push forward",0
12,13,Sir Alastair Cook,11728,Bhuvneshwar Kumar,326016,"Kumar to Cook, no run keeps bowling the inswingers. This one is well outside off though and the batsman defends it to cover off the back foot",1st innings,Alex Hales,249866,Mohit Sharma,537119,2.1,no run,4,0,4/0,"Kumar to Cook, no run",,keeps bowling the inswingers. This one is well outside off though and the batsman defends it to cover off the back foot,0
13,14,Sir Alastair Cook,11728,Bhuvneshwar Kumar,326016,"Kumar to Cook, no run keeps shaping it in around off stump, Cook comes forward more confidently and punches it back at the bowler",1st innings,Alex Hales,249866,Mohit Sharma,537119,2.2,no run,4,0,4/0,"Kumar to Cook, no run",,"keeps shaping it in around off stump, Cook comes forward more confidently and punches it back at the bowler",0
14,15,Sir Alastair Cook,11728,Bhuvneshwar Kumar,326016,"Kumar to Cook, no run he is sticking to the inswingers. 9th one. The batsman comes forward and defends down the pitch",1st innings,Alex Hales,249866,Mohit Sharma,537119,2.3,no run,4,0,4/0,"Kumar to Cook, no run",,he is sticking to the inswingers. 9th one. The batsman comes forward and defends down the pitch,0
15,16,Sir Alastair Cook,11728,Bhuvneshwar Kumar,326016,"Kumar to Cook, 2 runs he walks across the stumps, exposing at least two stumps, but this was dangerous.. The ball was swinging towards the stumps, but he manages to flick it to deep square leg",1st innings,Alex Hales,249866,Mohit Sharma,537119,2.4,run,6,2,6/0,"Kumar to Cook, 2 runs",,"he walks across the stumps, exposing at least two stumps, but this was dangerous.. The ball was swinging towards the stumps, but he manages to flick it to deep square leg",0
16,17,Sir Alastair Cook,11728,Bhuvneshwar Kumar,326016,"Kumar to Cook, no run Oh! Leading edge just evades Bhuvneshwar in his follow through! The batsman was looking to work it away to the leg side, but this swings away and surprises the batsman, catches the leading edge and lobs up towards the non-striker. The bowler leapt for it but couldnt quite make it.. very lucky there.",1st innings,Alex Hales,249866,Mohit Sharma,537119,2.5,no run,6,0,6/0,"Kumar to Cook, no run",,"Oh! Leading edge just evades Bhuvneshwar in his follow through! The batsman was looking to work it away to the leg side, but this swings away and surprises the batsman, catches the leading edge and lobs up towards the non-striker. The bowler leapt for it but couldnt quite make it.. very lucky there.",0
17,18,Sir Alastair Cook,11728,Bhuvneshwar Kumar,326016,"Kumar to Cook, no run length delivery outside off, Cook defends to over",1st innings,Alex Hales,249866,Mohit Sharma,537119,2.6,no run,6,0,6/0,"Kumar to Cook, no run",,"length delivery outside off, Cook defends to over",0
