,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,0,Paul Stirling,303427,Harvir Baidwan,355583,"Baidwan to Stirling, 1 wide ",1st innings,,,0.0,wide,1,1,1/0,"Baidwan to Stirling, 1 wide",,,0
1,1,Paul Stirling,303427,Harvir Baidwan,355583,"Baidwan to Stirling, 1 run ",1st innings,,,0.1,run,2,1,2/0,"Baidwan to Stirling, 1 run",,,0
2,2,Andre Botha,44102,Harvir Baidwan,355583,"Baidwan to Botha, no run ",1st innings,,,0.2,no run,2,0,2/0,"Baidwan to Botha, no run",,,0
3,3,Andre Botha,44102,Harvir Baidwan,355583,"Baidwan to Botha, no run ",1st innings,,,0.3,no run,2,0,2/0,"Baidwan to Botha, no run",,,0
4,4,Andre Botha,44102,Harvir Baidwan,355583,"Baidwan to Botha, no run ",1st innings,,,0.4,no run,2,0,2/0,"Baidwan to Botha, no run",,,0
5,5,Andre Botha,44102,Harvir Baidwan,355583,"Baidwan to Botha, no run beaten by the movement",1st innings,,,0.5,no run,2,0,2/0,"Baidwan to Botha, no run",,beaten by the movement,0
6,6,Andre Botha,44102,Harvir Baidwan,355583,"Baidwan to Botha, no run tried to cut it, goes under the bat",1st innings,Paul Stirling,303427,1.0,no run,2,0,2/0,"Baidwan to Botha, no run",,"tried to cut it, goes under the bat",0
7,7,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, no run ",1st innings,,,1.1,no run,2,0,2/0,"Khurram Chohan to Stirling, no run",,,0
8,8,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, 1 bye play and a miss, Bagai fails to collect it cleanly and gives away a bye ",1st innings,,,1.2,bye,3,1,3/0,"Khurram Chohan to Stirling, 1 bye",,"play and a miss, Bagai fails to collect it cleanly and gives away a bye ",0
9,9,Andre Botha,44102,Khurram Chohan,41224,"Khurram Chohan to Botha, no run defends it to covers",1st innings,,,1.3,no run,3,0,3/0,"Khurram Chohan to Botha, no run",,defends it to covers,0
10,10,Andre Botha,44102,Khurram Chohan,41224,"Khurram Chohan to Botha, no run comes back into him, struck on thigh pad",1st innings,,,1.4,no run,3,0,3/0,"Khurram Chohan to Botha, no run",,"comes back into him, struck on thigh pad",0
11,11,Andre Botha,44102,Khurram Chohan,41224,"Khurram Chohan to Botha, 2 runs driven with ease, just past covers",1st innings,,,1.5,run,5,2,5/0,"Khurram Chohan to Botha, 2 runs",,"driven with ease, just past covers",0
12,12,Andre Botha,44102,Khurram Chohan,41224,"Khurram Chohan to Botha, no run brings it back into him, inside edge and just drops on the pitch",1st innings,Paul Stirling,303427,2.0,no run,5,0,5/0,"Khurram Chohan to Botha, no run",,"brings it back into him, inside edge and just drops on the pitch",0
13,13,Paul Stirling,303427,Harvir Baidwan,355583,"Baidwan to Stirling, no run ",1st innings,,,2.1,no run,5,0,5/0,"Baidwan to Stirling, no run",,,0
14,14,Paul Stirling,303427,Harvir Baidwan,355583,"Baidwan to Stirling, FOUR runs lofts it over the top",1st innings,,,2.2,four,9,4,9/0,"Baidwan to Stirling, FOUR runs",,lofts it over the top,0
15,15,Paul Stirling,303427,Harvir Baidwan,355583,"Baidwan to Stirling, no run yorker from Harvir, appeal for lbw, turned down, may be going down leg",1st innings,,,2.3,no run,9,0,9/0,"Baidwan to Stirling, no run",,"yorker from Harvir, appeal for lbw, turned down, may be going down leg",0
