,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,otherBowler,otherBowler_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Fakhar Zaman,512191,Tim Southee,232364,"Southee to Fakhar Zaman, no run <b>hits him high on the pads</b> as a back of a length indipper goes past the inside edge",1st innings,Faheem Ashraf,681117,,,0.1,no run,0,0,0/0,"Southee to Fakhar Zaman, no run",,<b>hits him high on the pads</b> as a back of a length indipper goes past the inside edge,0
1,2,Fakhar Zaman,512191,Tim Southee,232364,"Southee to Fakhar Zaman, no run full and outside off, he reaches out and bunts the ball to cover",1st innings,Faheem Ashraf,681117,,,0.2,no run,0,0,0/0,"Southee to Fakhar Zaman, no run",,"full and outside off, he reaches out and bunts the ball to cover",0
2,3,Fakhar Zaman,512191,Tim Southee,232364,"Southee to Fakhar Zaman, 2 runs accounts for the swing into leg stump and flicks the full delivery away to the right of long leg",1st innings,Faheem Ashraf,681117,,,0.3,run,2,2,2/0,"Southee to Fakhar Zaman, 2 runs",,accounts for the swing into leg stump and flicks the full delivery away to the right of long leg,0
3,4,Fakhar Zaman,512191,Tim Southee,232364,"Southee to Fakhar Zaman, no run fullish on middle, presents the full face",1st innings,Faheem Ashraf,681117,,,0.4,no run,2,0,2/0,"Southee to Fakhar Zaman, no run",,"fullish on middle, presents the full face",0
4,5,Fakhar Zaman,512191,Tim Southee,232364,"Southee to Fakhar Zaman, no run knocks a good length ball into the covers",1st innings,Faheem Ashraf,681117,,,0.5,no run,2,0,2/0,"Southee to Fakhar Zaman, no run",,knocks a good length ball into the covers,0
5,6,Fakhar Zaman,512191,Tim Southee,232364,"Southee to Fakhar Zaman, no run gets right behind a short of a length delivery on middle. No wickets in the first over. Breathe.",1st innings,Faheem Ashraf,681117,,,0.6,no run,2,0,2/0,"Southee to Fakhar Zaman, no run",,gets right behind a short of a length delivery on middle. No wickets in the first over. Breathe.,0
6,7,Faheem Ashraf,681117,Trent Boult,277912,"Boult to Faheem Ashraf, 1 run ooh, the romance between the outside edge and the outswinger is strong. Boult drags the makeshift opener forward, and takes the ball away enough to beat the middle. Single to deep third man",1st innings,Fakhar Zaman,512191,Tim Southee,232364,1.1,run,3,1,3/0,"Boult to Faheem Ashraf, 1 run",,"ooh, the romance between the outside edge and the outswinger is strong. Boult drags the makeshift opener forward, and takes the ball away enough to beat the middle. Single to deep third man",0
7,8,Fakhar Zaman,512191,Trent Boult,277912,"Boult to Fakhar Zaman, no run angles it into the body, at a full length, getting some seam off the pitch, Zaman nudges it to midwicket",1st innings,Faheem Ashraf,681117,Tim Southee,232364,1.2,no run,3,0,3/0,"Boult to Fakhar Zaman, no run",,"angles it into the body, at a full length, getting some seam off the pitch, Zaman nudges it to midwicket",0
8,9,Fakhar Zaman,512191,Trent Boult,277912,"Boult to Fakhar Zaman, no run hunts the top of off stump, but Zaman and the middle of the bat interfere",1st innings,Faheem Ashraf,681117,Tim Southee,232364,1.3,no run,3,0,3/0,"Boult to Fakhar Zaman, no run",,"hunts the top of off stump, but Zaman and the middle of the bat interfere",0
9,10,Fakhar Zaman,512191,Trent Boult,277912,"Boult to Fakhar Zaman, no run <b>lovely leave</B>! There is every sign that this full delivery is meant to behead off stump. But then it pitches and holds its line and goes through to the keeper",1st innings,Faheem Ashraf,681117,Tim Southee,232364,1.4,no run,3,0,3/0,"Boult to Fakhar Zaman, no run",,<b>lovely leave</B>! There is every sign that this full delivery is meant to behead off stump. But then it pitches and holds its line and goes through to the keeper,0
