,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Tamim Iqbal,56194,Tinashe Panyangara,55705,"Panyangara to Tamim Iqbal, no run back of a length and in the off-stump channel, Tamim taps it into the covers",1st innings,0.1,no run,0,0,0/0,"Panyangara to Tamim Iqbal, no run",,"back of a length and in the off-stump channel, Tamim taps it into the covers",0
1,2,Tamim Iqbal,56194,Tinashe Panyangara,55705,"Panyangara to Tamim Iqbal, no run he had been a consistent threat in the Tests and this ball was the reason. It was pitched just short of a good length and slanted away from the left-hander. Good decision from Tamim not to play",1st innings,0.2,no run,0,0,0/0,"Panyangara to Tamim Iqbal, no run",,he had been a consistent threat in the Tests and this ball was the reason. It was pitched just short of a good length and slanted away from the left-hander. Good decision from Tamim not to play,0
2,3,Tamim Iqbal,56194,Tinashe Panyangara,55705,"Panyangara to Tamim Iqbal, 1 run short and offering enough room for Tamim to flay through point - right through the fielder in fact",1st innings,0.3,run,1,1,1/0,"Panyangara to Tamim Iqbal, 1 run",,short and offering enough room for Tamim to flay through point - right through the fielder in fact,0
3,4,Anamul Haque,380354,Tinashe Panyangara,55705,"Panyangara to Anamul Haque, no run he ventures forward and allows a shortish delivery through to the keeper outside off",1st innings,0.4,no run,1,0,1/0,"Panyangara to Anamul Haque, no run",,he ventures forward and allows a shortish delivery through to the keeper outside off,0
4,5,Anamul Haque,380354,Tinashe Panyangara,55705,"Panyangara to Anamul Haque, no run gets his length fuller on off stump and Anamul presses forward again to block into the covers",1st innings,0.5,no run,1,0,1/0,"Panyangara to Anamul Haque, no run",,gets his length fuller on off stump and Anamul presses forward again to block into the covers,0
5,6,Anamul Haque,380354,Tinashe Panyangara,55705,"Panyangara to Anamul Haque, no run back of a length on off stump, Anamul has no trouble getting behind it",1st innings,0.6,no run,1,0,1/0,"Panyangara to Anamul Haque, no run",,"back of a length on off stump, Anamul has no trouble getting behind it",0
6,7,Tamim Iqbal,56194,Tendai Chatara,425639,"Chatara to Tamim Iqbal, no run pushes Tamim back in his crease but the batsman presents a straight bat",1st innings,1.1,no run,1,0,1/0,"Chatara to Tamim Iqbal, no run",,pushes Tamim back in his crease but the batsman presents a straight bat,0
7,8,Tamim Iqbal,56194,Tendai Chatara,425639,"Chatara to Tamim Iqbal, no run tucks him up on his hips and Tamim has to push his front leg across on off stump to try and whip it away behind square and is a little slow on the shot",1st innings,1.2,no run,1,0,1/0,"Chatara to Tamim Iqbal, no run",,tucks him up on his hips and Tamim has to push his front leg across on off stump to try and whip it away behind square and is a little slow on the shot,0
8,9,Tamim Iqbal,56194,Tendai Chatara,425639,"Chatara to Tamim Iqbal, no run good length ball on off stump, Tamim is early into the shot this time and has to pull his bottom hand off",1st innings,1.3,no run,1,0,1/0,"Chatara to Tamim Iqbal, no run",,"good length ball on off stump, Tamim is early into the shot this time and has to pull his bottom hand off",0
9,10,Tamim Iqbal,56194,Tendai Chatara,425639,"Chatara to Tamim Iqbal, no run gets up on his tippy-toes to blunt a shortish ball on off stump down by his feet",1st innings,1.4,no run,1,0,1/0,"Chatara to Tamim Iqbal, no run",,gets up on his tippy-toes to blunt a shortish ball on off stump down by his feet,0
10,11,Tamim Iqbal,56194,Tendai Chatara,425639,"Chatara to Tamim Iqbal, no run drags the batsman forward with a good length ball a shade outside off, but Tamim keeps his bat and pad together",1st innings,1.5,no run,1,0,1/0,"Chatara to Tamim Iqbal, no run",,"drags the batsman forward with a good length ball a shade outside off, but Tamim keeps his bat and pad together",0
11,12,Tamim Iqbal,56194,Tendai Chatara,425639,"Chatara to Tamim Iqbal, FOUR runs banged in short, the only problem was it had a lot of width too. Tamim is happy to hoist it over the infield and point and the ball screams away to the boundary. Typical Tamim flair as he nearly lifted himself off his feet as he played that",1st innings,1.6,four,5,4,5/0,"Chatara to Tamim Iqbal, FOUR runs",,"banged in short, the only problem was it had a lot of width too. Tamim is happy to hoist it over the infield and point and the ball screams away to the boundary. Typical Tamim flair as he nearly lifted himself off his feet as he played that",0
12,13,Anamul Haque,380354,Tinashe Panyangara,55705,"Panyangara to Anamul Haque, no run back of a length and outside off, Anamul is quite content not to chase after it",1st innings,2.1,no run,5,0,5/0,"Panyangara to Anamul Haque, no run",,"back of a length and outside off, Anamul is quite content not to chase after it",0
13,14,Anamul Haque,380354,Tinashe Panyangara,55705,"Panyangara to Anamul Haque, no run excellent line from Panyangara again as he probes around the fourth-fifth stump. Anamul refrains from playing",1st innings,2.2,no run,5,0,5/0,"Panyangara to Anamul Haque, no run",,excellent line from Panyangara again as he probes around the fourth-fifth stump. Anamul refrains from playing,0
14,15,Anamul Haque,380354,Tinashe Panyangara,55705,"Panyangara to Anamul Haque, 1 run that's beautifully done. His patience outside off had forced the bowler off his line and once the length ball strayed on middle and leg, Anamul is able to tuck it between mid-on and midwicket",1st innings,2.3,run,6,1,6/0,"Panyangara to Anamul Haque, 1 run",,"that's beautifully done. His patience outside off had forced the bowler off his line and once the length ball strayed on middle and leg, Anamul is able to tuck it between mid-on and midwicket",0
