,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,William Porterfield,24611,Chris Mpofu,55633,"Mpofu to Porterfield, no run ",1st innings,,,0.1,no run,0,0,0/0,"Mpofu to Porterfield, no run",,,0
1,1,William Porterfield,24611,Chris Mpofu,55633,"Mpofu to Porterfield, 1 wide ",1st innings,,,0.1,wide,1,1,1/0,"Mpofu to Porterfield, 1 wide",,,0
2,1,William Porterfield,24611,Chris Mpofu,55633,"Mpofu to Porterfield, 1 wide ",1st innings,,,0.1,wide,2,1,2/0,"Mpofu to Porterfield, 1 wide",,,0
3,2,William Porterfield,24611,Chris Mpofu,55633,"Mpofu to Porterfield, no run ",1st innings,,,0.2,no run,2,0,2/0,"Mpofu to Porterfield, no run",,,0
4,3,William Porterfield,24611,Chris Mpofu,55633,"Mpofu to Porterfield, no run ",1st innings,,,0.3,no run,2,0,2/0,"Mpofu to Porterfield, no run",,,0
5,4,William Porterfield,24611,Chris Mpofu,55633,"Mpofu to Porterfield, FOUR runs ",1st innings,,,0.4,four,6,4,6/0,"Mpofu to Porterfield, FOUR runs",,,0
6,5,William Porterfield,24611,Chris Mpofu,55633,"Mpofu to Porterfield, FOUR runs ",1st innings,,,0.5,four,10,4,10/0,"Mpofu to Porterfield, FOUR runs",,,0
7,6,William Porterfield,24611,Chris Mpofu,55633,"Mpofu to Porterfield, 1 run ",1st innings,Paul Stirling,303427,1.0,run,11,1,11/0,"Mpofu to Porterfield, 1 run",,,0
8,7,William Porterfield,24611,Ed Rainsford,55740,"Rainsford to Porterfield, no run leave good length out side off stump",1st innings,,,1.1,no run,11,0,11/0,"Rainsford to Porterfield, no run",,leave good length out side off stump,0
9,8,William Porterfield,24611,Ed Rainsford,55740,"Rainsford to Porterfield, no run ",1st innings,,,1.2,no run,11,0,11/0,"Rainsford to Porterfield, no run",,,0
10,9,William Porterfield,24611,Ed Rainsford,55740,"Rainsford to Porterfield, OUT ",1st innings,Paul Stirling,303427,1.3,out,11,0,11/1,"Rainsford to Porterfield, OUT",,,1
11,10,Niall O'Brien,24289,Ed Rainsford,55740,"Rainsford to NJ O'Brien, no run ",1st innings,,,1.4,no run,11,0,11/1,"Rainsford to NJ O'Brien, no run",,,1
12,11,Niall O'Brien,24289,Ed Rainsford,55740,"Rainsford to NJ O'Brien, no run off stump line and a forward defence , no run",1st innings,,,1.5,no run,11,0,11/1,"Rainsford to NJ O'Brien, no run",,"off stump line and a forward defence , no run",1
13,12,Niall O'Brien,24289,Ed Rainsford,55740,"Rainsford to NJ O'Brien, no run no run ,middle and off hitting the pads and big apeal but turned down",1st innings,Paul Stirling,303427,2.0,no run,11,0,11/1,"Rainsford to NJ O'Brien, no run",,"no run ,middle and off hitting the pads and big apeal but turned down",1
14,13,Paul Stirling,303427,Chris Mpofu,55633,"Mpofu to Stirling, no run short off a lenght and a good defence",1st innings,,,2.1,no run,11,0,11/1,"Mpofu to Stirling, no run",,short off a lenght and a good defence,1
15,14,Paul Stirling,303427,Chris Mpofu,55633,"Mpofu to Stirling, FOUR runs 4 runs , cover drive between cover and point",1st innings,,,2.2,four,15,4,15/1,"Mpofu to Stirling, FOUR runs",,"4 runs , cover drive between cover and point",1
16,15,Paul Stirling,303427,Chris Mpofu,55633,"Mpofu to Stirling, 1 run ",1st innings,,,2.3,run,16,1,16/1,"Mpofu to Stirling, 1 run",,,1
17,16,Niall O'Brien,24289,Chris Mpofu,55633,"Mpofu to NJ O'Brien, no run off stump line good leave",1st innings,,,2.4,no run,16,0,16/1,"Mpofu to NJ O'Brien, no run",,off stump line good leave,1
18,17,Niall O'Brien,24289,Chris Mpofu,55633,"Mpofu to NJ O'Brien, no run drive to the covers and no run",1st innings,,,2.5,no run,16,0,16/1,"Mpofu to NJ O'Brien, no run",,drive to the covers and no run,1
19,18,Niall O'Brien,24289,Chris Mpofu,55633,"Mpofu to NJ O'Brien, FOUR runs ",1st innings,Paul Stirling,303427,3.0,four,20,4,20/1,"Mpofu to NJ O'Brien, FOUR runs",,,1
20,19,Paul Stirling,303427,Ed Rainsford,55740,"Rainsford to Stirling, SIX runs ",1st innings,,,3.1,six,26,6,26/1,"Rainsford to Stirling, SIX runs",,,1
21,20,Paul Stirling,303427,Ed Rainsford,55740,"Rainsford to Stirling, no run ",1st innings,,,3.2,no run,26,0,26/1,"Rainsford to Stirling, no run",,,1
22,21,Paul Stirling,303427,Ed Rainsford,55740,"Rainsford to Stirling, FOUR runs ",1st innings,,,3.3,four,30,4,30/1,"Rainsford to Stirling, FOUR runs",,,1
23,22,Paul Stirling,303427,Ed Rainsford,55740,"Rainsford to Stirling, no run ",1st innings,,,3.4,no run,30,0,30/1,"Rainsford to Stirling, no run",,,1
24,23,Paul Stirling,303427,Ed Rainsford,55740,"Rainsford to Stirling, FOUR runs ",1st innings,,,3.5,four,34,4,34/1,"Rainsford to Stirling, FOUR runs",,,1
25,24,Paul Stirling,303427,Ed Rainsford,55740,"Rainsford to Stirling, FOUR runs ",1st innings,Niall O'Brien,24289,4.0,four,38,4,38/1,"Rainsford to Stirling, FOUR runs",,,1
26,25,Niall O'Brien,24289,Chris Mpofu,55633,"Mpofu to NJ O'Brien, FOUR runs ",1st innings,,,4.1,four,42,4,42/1,"Mpofu to NJ O'Brien, FOUR runs",,,1
27,26,Niall O'Brien,24289,Chris Mpofu,55633,"Mpofu to NJ O'Brien, OUT ",1st innings,Paul Stirling,303427,4.2,out,42,0,42/2,"Mpofu to NJ O'Brien, OUT",,,2
28,27,Andre Botha,44102,Chris Mpofu,55633,"Mpofu to Botha, no run leave out side off stump",1st innings,,,4.3,no run,42,0,42/2,"Mpofu to Botha, no run",,leave out side off stump,2
29,27,Andre Botha,44102,Chris Mpofu,55633,"Mpofu to Botha, 1 wide ",1st innings,,,4.3,wide,43,1,43/2,"Mpofu to Botha, 1 wide",,,2
30,28,Andre Botha,44102,Chris Mpofu,55633,"Mpofu to Botha, no run ",1st innings,,,4.4,no run,43,0,43/2,"Mpofu to Botha, no run",,,2
31,29,Andre Botha,44102,Chris Mpofu,55633,"Mpofu to Botha, no run ",1st innings,,,4.5,no run,43,0,43/2,"Mpofu to Botha, no run",,,2
32,30,Andre Botha,44102,Chris Mpofu,55633,"Mpofu to Botha, no run ",1st innings,Paul Stirling,303427,5.0,no run,43,0,43/2,"Mpofu to Botha, no run",,,2
33,31,Paul Stirling,303427,Hamilton Masakadza,55608,"Masakadza to Stirling, no run good ball middle and leg",1st innings,,,5.1,no run,43,0,43/2,"Masakadza to Stirling, no run",,good ball middle and leg,2
34,32,Paul Stirling,303427,Hamilton Masakadza,55608,"Masakadza to Stirling, 1 run ",1st innings,,,5.2,run,44,1,44/2,"Masakadza to Stirling, 1 run",,,2
35,33,Andre Botha,44102,Hamilton Masakadza,55608,"Masakadza to Botha, no run middle and leg , forward defence",1st innings,,,5.3,no run,44,0,44/2,"Masakadza to Botha, no run",,"middle and leg , forward defence",2
36,34,Andre Botha,44102,Hamilton Masakadza,55608,"Masakadza to Botha, no run ",1st innings,,,5.4,no run,44,0,44/2,"Masakadza to Botha, no run",,,2
37,35,Andre Botha,44102,Hamilton Masakadza,55608,"Masakadza to Botha, no run off stump line a good forward defence",1st innings,,,5.5,no run,44,0,44/2,"Masakadza to Botha, no run",,off stump line a good forward defence,2
38,36,Andre Botha,44102,Hamilton Masakadza,55608,"Masakadza to Botha, 1 run short off a lenght , back foot defence and a single",1st innings,Paul Stirling,303427,6.0,run,45,1,45/2,"Masakadza to Botha, 1 run",,"short off a lenght , back foot defence and a single",2
39,37,Andre Botha,44102,Ed Rainsford,55740,"Rainsford to Botha, no run ",1st innings,,,6.1,no run,45,0,45/2,"Rainsford to Botha, no run",,,2
