,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Tamim Iqbal,56194,Chris Mpofu,55633,"Mpofu to Tamim Iqbal, no run pitched up around a length outside off, left alone",1st innings,0.1,no run,0,0,0/0,"Mpofu to Tamim Iqbal, no run",,"pitched up around a length outside off, left alone",0
1,2,Tamim Iqbal,56194,Chris Mpofu,55633,"Mpofu to Tamim Iqbal, no run a bit closer to off stump this time, on a length again, just straightening a bit, defended on the leg side",1st innings,0.2,no run,0,0,0/0,"Mpofu to Tamim Iqbal, no run",,"a bit closer to off stump this time, on a length again, just straightening a bit, defended on the leg side",0
2,3,Tamim Iqbal,56194,Chris Mpofu,55633,"Mpofu to Tamim Iqbal, no run runs in nicely and bowls a touch fuller around off, holding its line again, he gets forward and blocks",1st innings,0.3,no run,0,0,0/0,"Mpofu to Tamim Iqbal, no run",,"runs in nicely and bowls a touch fuller around off, holding its line again, he gets forward and blocks",0
3,4,Tamim Iqbal,56194,Chris Mpofu,55633,"Mpofu to Tamim Iqbal, no run just short of a good length now, bit if width outside off, he tries to force off the back foot, straight to covers",1st innings,0.4,no run,0,0,0/0,"Mpofu to Tamim Iqbal, no run",,"just short of a good length now, bit if width outside off, he tries to force off the back foot, straight to covers",0
4,5,Tamim Iqbal,56194,Chris Mpofu,55633,"Mpofu to Tamim Iqbal, 1 run first run of the match as he shuffles across, and works a back of a length ball wide of mid on",1st innings,0.5,run,1,1,1/0,"Mpofu to Tamim Iqbal, 1 run",,"first run of the match as he shuffles across, and works a back of a length ball wide of mid on",0
5,6,Imrul Kayes,280734,Chris Mpofu,55633,"Mpofu to Imrul Kayes, no run there comes the short ball from Mpofu, at lively pace too, he used it well in the Test, Kayes weaves out of the line",1st innings,0.6,no run,1,0,1/0,"Mpofu to Imrul Kayes, no run",,"there comes the short ball from Mpofu, at lively pace too, he used it well in the Test, Kayes weaves out of the line",0
6,7,Tamim Iqbal,56194,Brian Vitori,235514,"Vitori to Tamim Iqbal, 1 run starts back of a length and in to Tamim with the angle, he goes on his toes to keep it down in front of square for a single",1st innings,1.1,run,2,1,2/0,"Vitori to Tamim Iqbal, 1 run",,"starts back of a length and in to Tamim with the angle, he goes on his toes to keep it down in front of square for a single",0
7,8,Imrul Kayes,280734,Brian Vitori,235514,"Vitori to Imrul Kayes, no run hit on the body as he shuffles to try and work him on the leg side, beaten for pace and bounce, ball rolls away on the off side",1st innings,1.2,no run,2,0,2/0,"Vitori to Imrul Kayes, no run",,"hit on the body as he shuffles to try and work him on the leg side, beaten for pace and bounce, ball rolls away on the off side",0
8,9,Imrul Kayes,280734,Brian Vitori,235514,"Vitori to Imrul Kayes, no run short of a length again from Vitori, he brings it down on the leg side, not much movement so far",1st innings,1.3,no run,2,0,2/0,"Vitori to Imrul Kayes, no run",,"short of a length again from Vitori, he brings it down on the leg side, not much movement so far",0
9,10,Imrul Kayes,280734,Brian Vitori,235514,"Vitori to Imrul Kayes, no run but he is getting it to bounce alright, Kayes has to hold bat high up close to his face to fend it down on the off side",1st innings,1.4,no run,2,0,2/0,"Vitori to Imrul Kayes, no run",,"but he is getting it to bounce alright, Kayes has to hold bat high up close to his face to fend it down on the off side",0
10,11,Imrul Kayes,280734,Brian Vitori,235514,"Vitori to Imrul Kayes, 1 run a touch fuller, good delivery, he gets an inside edge as he is late in pushing forward, they steal a sharp single though",1st innings,1.5,run,3,1,3/0,"Vitori to Imrul Kayes, 1 run",,"a touch fuller, good delivery, he gets an inside edge as he is late in pushing forward, they steal a sharp single though",0
11,12,Tamim Iqbal,56194,Brian Vitori,235514,"Vitori to Tamim Iqbal, no run similar delivery to the one that got him in the Test, not moving as much as that one did, he hangs his bat out at it away from the body, beaten",1st innings,1.6,no run,3,0,3/0,"Vitori to Tamim Iqbal, no run",,"similar delivery to the one that got him in the Test, not moving as much as that one did, he hangs his bat out at it away from the body, beaten",0
12,13,Imrul Kayes,280734,Chris Mpofu,55633,"Mpofu to Imrul Kayes, no run Mpofu targets back of a length, he shuffles to work in front of square leg",1st innings,2.1,no run,3,0,3/0,"Mpofu to Imrul Kayes, no run",,"Mpofu targets back of a length, he shuffles to work in front of square leg",0
13,14,Imrul Kayes,280734,Chris Mpofu,55633,"Mpofu to Imrul Kayes, no run sharp delivery bowled fuller close to off stump, good leave from the batsman as he withdraws bat late",1st innings,2.2,no run,3,0,3/0,"Mpofu to Imrul Kayes, no run",,"sharp delivery bowled fuller close to off stump, good leave from the batsman as he withdraws bat late",0
14,15,Imrul Kayes,280734,Chris Mpofu,55633,"Mpofu to Imrul Kayes, no run worked in to the leg side in front of square, he wants the single but there is a man there",1st innings,2.3,no run,3,0,3/0,"Mpofu to Imrul Kayes, no run",,"worked in to the leg side in front of square, he wants the single but there is a man there",0
15,16,Imrul Kayes,280734,Chris Mpofu,55633,"Mpofu to Imrul Kayes, no run goes a touch widish outside off with the angle from over the wicket, left alone",1st innings,2.4,no run,3,0,3/0,"Mpofu to Imrul Kayes, no run",,"goes a touch widish outside off with the angle from over the wicket, left alone",0
16,17,Imrul Kayes,280734,Chris Mpofu,55633,"Mpofu to Imrul Kayes, no run pushed away on the off side off the back foot",1st innings,2.5,no run,3,0,3/0,"Mpofu to Imrul Kayes, no run",,pushed away on the off side off the back foot,0
17,18,Imrul Kayes,280734,Chris Mpofu,55633,"Mpofu to Imrul Kayes, no run almost did him with the slow bouncer, he swivelled early to play the pull and almost hit it straight to square leg, goes on the bounce to that man",1st innings,2.6,no run,3,0,3/0,"Mpofu to Imrul Kayes, no run",,"almost did him with the slow bouncer, he swivelled early to play the pull and almost hit it straight to square leg, goes on the bounce to that man",0
18,19,Tamim Iqbal,56194,Brian Vitori,235514,"Vitori to Tamim Iqbal, no run played out towards point",1st innings,3.1,no run,3,0,3/0,"Vitori to Tamim Iqbal, no run",,played out towards point,0
19,20,Tamim Iqbal,56194,Brian Vitori,235514,"Vitori to Tamim Iqbal, no run lovely delivery, Vitori has got the shape going away from the left-hander, this one holds its line on off stump, and zips past the outside edge as he pushes forward",1st innings,3.2,no run,3,0,3/0,"Vitori to Tamim Iqbal, no run",,"lovely delivery, Vitori has got the shape going away from the left-hander, this one holds its line on off stump, and zips past the outside edge as he pushes forward",0
20,21,Tamim Iqbal,56194,Brian Vitori,235514,"Vitori to Tamim Iqbal, no run just a touch shorter, again holding its line, he shuffles across and carefully defends off the back foot",1st innings,3.3,no run,3,0,3/0,"Vitori to Tamim Iqbal, no run",,"just a touch shorter, again holding its line, he shuffles across and carefully defends off the back foot",0
21,22,Tamim Iqbal,56194,Brian Vitori,235514,"Vitori to Tamim Iqbal, no run goes full on the pads, and he flicks it quickly to Ervine's right at short fine leg, he does well to get down and stop the ball",1st innings,3.4,no run,3,0,3/0,"Vitori to Tamim Iqbal, no run",,"goes full on the pads, and he flicks it quickly to Ervine's right at short fine leg, he does well to get down and stop the ball",0
