,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Fakhar Zaman,512191,Matt Henry,506612,"Henry to Fakhar Zaman, no run straight and fast, he plays it on to his pad as he looks to whip it away on the onside",1st innings,0.1,no run,0,0,0/0,"Henry to Fakhar Zaman, no run",,"straight and fast, he plays it on to his pad as he looks to whip it away on the onside",0
1,2,Fakhar Zaman,512191,Matt Henry,506612,"Henry to Fakhar Zaman, no run straight and a little short in length. He defends it off the crease.",1st innings,0.2,no run,0,0,0/0,"Henry to Fakhar Zaman, no run",,straight and a little short in length. He defends it off the crease.,0
2,3,Fakhar Zaman,512191,Matt Henry,506612,"Henry to Fakhar Zaman, 3 runs full and flicked on the onside past the man at short midwicket. Some good running between the wickets fetches them three",1st innings,0.3,run,3,3,3/0,"Henry to Fakhar Zaman, 3 runs",,full and flicked on the onside past the man at short midwicket. Some good running between the wickets fetches them three,0
3,4,Mohammad Hafeez,41434,Matt Henry,506612,"Henry to Mohammad Hafeez, no run short and just outside off-stump, he shoulders arms",1st innings,0.4,no run,3,0,3/0,"Henry to Mohammad Hafeez, no run",,"short and just outside off-stump, he shoulders arms",0
4,5,Mohammad Hafeez,41434,Matt Henry,506612,"Henry to Mohammad Hafeez, no run starts from outside off stump and then keeps going further away. He has nothing to do with this ball",1st innings,0.5,no run,3,0,3/0,"Henry to Mohammad Hafeez, no run",,starts from outside off stump and then keeps going further away. He has nothing to do with this ball,0
5,6,Mohammad Hafeez,41434,Matt Henry,506612,"Henry to Mohammad Hafeez, no run just cutting back in, but still outside off. Taps it defensively",1st innings,0.6,no run,3,0,3/0,"Henry to Mohammad Hafeez, no run",,"just cutting back in, but still outside off. Taps it defensively",0
6,7,Fakhar Zaman,512191,Trent Boult,277912,"Boult to Fakhar Zaman, no run a hint of shape away from the bat, as Fakhar comes down on it hard. Doesn't quite middle the intended cover drive, as the bat turns in his hands",1st innings,1.1,no run,3,0,3/0,"Boult to Fakhar Zaman, no run",,"a hint of shape away from the bat, as Fakhar comes down on it hard. Doesn't quite middle the intended cover drive, as the bat turns in his hands",0
7,8,Fakhar Zaman,512191,Trent Boult,277912,"Boult to Fakhar Zaman, no run hint of swing away again, as Fakhar looks to drive this too, but finds the bat turning. The ball squirts away to mid-on",1st innings,1.2,no run,3,0,3/0,"Boult to Fakhar Zaman, no run",,"hint of swing away again, as Fakhar looks to drive this too, but finds the bat turning. The ball squirts away to mid-on",0
8,9,Fakhar Zaman,512191,Trent Boult,277912,"Boult to Fakhar Zaman, no run straight and a bit shorter this time. Tucks the batsman for room, as he defends",1st innings,1.3,no run,3,0,3/0,"Boult to Fakhar Zaman, no run",,"straight and a bit shorter this time. Tucks the batsman for room, as he defends",0
9,10,Fakhar Zaman,512191,Trent Boult,277912,"Boult to Fakhar Zaman, no run straying down the leg side this time, and Fakhar tries to dab it away. Hits his pad, but doesn't go far enough to allow him to change ends",1st innings,1.4,no run,3,0,3/0,"Boult to Fakhar Zaman, no run",,"straying down the leg side this time, and Fakhar tries to dab it away. Hits his pad, but doesn't go far enough to allow him to change ends",0
