,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Paul Stirling,303427,Harvir Baidwan,355583,"Baidwan to Stirling, no run ",1st innings,,,0.1,no run,0,0,0/0,"Baidwan to Stirling, no run",,,0
1,2,Paul Stirling,303427,Harvir Baidwan,355583,"Baidwan to Stirling, no run ",1st innings,,,0.2,no run,0,0,0/0,"Baidwan to Stirling, no run",,,0
2,3,Paul Stirling,303427,Harvir Baidwan,355583,"Baidwan to Stirling, 1 run ",1st innings,,,0.3,run,1,1,1/0,"Baidwan to Stirling, 1 run",,,0
3,4,Andre Botha,44102,Harvir Baidwan,355583,"Baidwan to Botha, no run ",1st innings,,,0.4,no run,1,0,1/0,"Baidwan to Botha, no run",,,0
4,5,Andre Botha,44102,Harvir Baidwan,355583,"Baidwan to Botha, 1 run ",1st innings,,,0.5,run,2,1,2/0,"Baidwan to Botha, 1 run",,,0
5,6,Paul Stirling,303427,Harvir Baidwan,355583,"Baidwan to Stirling, no run ",1st innings,Andre Botha,44102,1.0,no run,2,0,2/0,"Baidwan to Stirling, no run",,,0
6,7,Andre Botha,44102,Khurram Chohan,41224,"Khurram Chohan to Botha, no run ",1st innings,,,1.1,no run,2,0,2/0,"Khurram Chohan to Botha, no run",,,0
7,8,Andre Botha,44102,Khurram Chohan,41224,"Khurram Chohan to Botha, 1 leg bye ",1st innings,,,1.2,leg bye,3,1,3/0,"Khurram Chohan to Botha, 1 leg bye",,,0
8,9,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, no run ",1st innings,,,1.3,no run,3,0,3/0,"Khurram Chohan to Stirling, no run",,,0
9,10,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, no run ",1st innings,,,1.4,no run,3,0,3/0,"Khurram Chohan to Stirling, no run",,,0
10,11,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, no run goes for a big cut on that short and wide one, misses out ",1st innings,,,1.5,no run,3,0,3/0,"Khurram Chohan to Stirling, no run",,"goes for a big cut on that short and wide one, misses out ",0
11,12,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, no run and again, tried to smash it past point, misses again, some uneven bounce as expected after a damp couple of days",1st innings,Andre Botha,44102,2.0,no run,3,0,3/0,"Khurram Chohan to Stirling, no run",,"and again, tried to smash it past point, misses again, some uneven bounce as expected after a damp couple of days",0
12,13,Andre Botha,44102,Harvir Baidwan,355583,"Baidwan to Botha, no run ",1st innings,,,2.1,no run,3,0,3/0,"Baidwan to Botha, no run",,,0
13,14,Andre Botha,44102,Harvir Baidwan,355583,"Baidwan to Botha, FOUR runs pitched up, driven away through covers for four, first boundary of the day ",1st innings,,,2.2,four,7,4,7/0,"Baidwan to Botha, FOUR runs",,"pitched up, driven away through covers for four, first boundary of the day ",0
14,15,Andre Botha,44102,Harvir Baidwan,355583,"Baidwan to Botha, 1 run flicks to square leg, good diving stop by Ruvindu ",1st innings,,,2.3,run,8,1,8/0,"Baidwan to Botha, 1 run",,"flicks to square leg, good diving stop by Ruvindu ",0
15,16,Paul Stirling,303427,Harvir Baidwan,355583,"Baidwan to Stirling, no run bends it in to the right hander again, stopped by Stirling ",1st innings,,,2.4,no run,8,0,8/0,"Baidwan to Stirling, no run",,"bends it in to the right hander again, stopped by Stirling ",0
16,17,Paul Stirling,303427,Harvir Baidwan,355583,"Baidwan to Stirling, no run Pitched on middle and good length, forward defense ",1st innings,,,2.5,no run,8,0,8/0,"Baidwan to Stirling, no run",,"Pitched on middle and good length, forward defense ",0
17,18,Paul Stirling,303427,Harvir Baidwan,355583,"Baidwan to Stirling, 1 run edged, no gully, flies to Henry at third man ",1st innings,Andre Botha,44102,3.0,run,9,1,9/0,"Baidwan to Stirling, 1 run",,"edged, no gully, flies to Henry at third man ",0
18,19,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, 1 run punches it to covers of the backfoot ",1st innings,,,3.1,run,10,1,10/0,"Khurram Chohan to Stirling, 1 run",,punches it to covers of the backfoot ,0
19,20,Andre Botha,44102,Khurram Chohan,41224,"Khurram Chohan to Botha, no run driven to mid on ",1st innings,,,3.2,no run,10,0,10/0,"Khurram Chohan to Botha, no run",,driven to mid on ,0
20,21,Andre Botha,44102,Khurram Chohan,41224,"Khurram Chohan to Botha, no run pitched it up, moves into him, checks his drive back to the bowler",1st innings,,,3.3,no run,10,0,10/0,"Khurram Chohan to Botha, no run",,"pitched it up, moves into him, checks his drive back to the bowler",0
21,22,Andre Botha,44102,Khurram Chohan,41224,"Khurram Chohan to Botha, no run went for an expensive drive again, uppishly to mid off, whos fielding well inside the circle ",1st innings,,,3.4,no run,10,0,10/0,"Khurram Chohan to Botha, no run",,"went for an expensive drive again, uppishly to mid off, whos fielding well inside the circle ",0
22,23,Andre Botha,44102,Khurram Chohan,41224,"Khurram Chohan to Botha, FOUR runs over pitched and taken over the bowler head for a one bounce four",1st innings,,,3.5,four,14,4,14/0,"Khurram Chohan to Botha, FOUR runs",,over pitched and taken over the bowler head for a one bounce four,0
23,24,Andre Botha,44102,Khurram Chohan,41224,"Khurram Chohan to Botha, 1 run quick single to covers, good running",1st innings,Paul Stirling,303427,4.0,run,15,1,15/0,"Khurram Chohan to Botha, 1 run",,"quick single to covers, good running",0
24,25,Andre Botha,44102,Harvir Baidwan,355583,"Baidwan to Botha, FOUR runs smashes it just just wide off mid off",1st innings,,,4.1,four,19,4,19/0,"Baidwan to Botha, FOUR runs",,smashes it just just wide off mid off,0
25,26,Andre Botha,44102,Harvir Baidwan,355583,"Baidwan to Botha, 1 run poor effor at point",1st innings,,,4.2,run,20,1,20/0,"Baidwan to Botha, 1 run",,poor effor at point,0
26,27,Paul Stirling,303427,Harvir Baidwan,355583,"Baidwan to Stirling, 1 bye ",1st innings,,,4.3,bye,21,1,21/0,"Baidwan to Stirling, 1 bye",,,0
27,28,Andre Botha,44102,Harvir Baidwan,355583,"Baidwan to Botha, no run defends it back, Botha looks in good touch ",1st innings,,,4.4,no run,21,0,21/0,"Baidwan to Botha, no run",,"defends it back, Botha looks in good touch ",0
28,29,Andre Botha,44102,Harvir Baidwan,355583,"Baidwan to Botha, FOUR runs driven past mid off",1st innings,,,4.5,four,25,4,25/0,"Baidwan to Botha, FOUR runs",,driven past mid off,0
29,30,Andre Botha,44102,Harvir Baidwan,355583,"Baidwan to Botha, no run came back into him shout for lbw ",1st innings,Paul Stirling,303427,5.0,no run,25,0,25/0,"Baidwan to Botha, no run",,came back into him shout for lbw ,0
30,31,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, no run driven to mid off, right of the middle",1st innings,,,5.1,no run,25,0,25/0,"Khurram Chohan to Stirling, no run",,"driven to mid off, right of the middle",0
31,32,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, no run smashed it back, almost caught that, Stirling just smoked it back at him, did well to get his hand in the way ",1st innings,,,5.2,no run,25,0,25/0,"Khurram Chohan to Stirling, no run",,"smashed it back, almost caught that, Stirling just smoked it back at him, did well to get his hand in the way ",0
32,33,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, 1 run cut that wide on straigh to Harvir at third man ",1st innings,,,5.3,run,26,1,26/0,"Khurram Chohan to Stirling, 1 run",,cut that wide on straigh to Harvir at third man ,0
33,34,Andre Botha,44102,Khurram Chohan,41224,"Khurram Chohan to Botha, no run yorker from Chohan, Botha did well to dig it out ",1st innings,,,5.4,no run,26,0,26/0,"Khurram Chohan to Botha, no run",,"yorker from Chohan, Botha did well to dig it out ",0
34,35,Andre Botha,44102,Khurram Chohan,41224,"Khurram Chohan to Botha, OUT bowled him ! Beauty from Chohan, moves it away from middle and it just takes the top of off stump",1st innings,Paul Stirling,303427,5.5,out,26,0,26/1,"Khurram Chohan to Botha, OUT",,"bowled him ! Beauty from Chohan, moves it away from middle and it just takes the top of off stump",1
35,36,Andrew Poynter,210279,Khurram Chohan,41224,"Khurram Chohan to Poynter, no run defends it of the backfoot",1st innings,Paul Stirling,303427,6.0,no run,26,0,26/1,"Khurram Chohan to Poynter, no run",,defends it of the backfoot,1
36,37,Paul Stirling,303427,Henry Osinde,212175,"Osinde to Stirling, no run cuts it to covers, played early through it",1st innings,,,6.1,no run,26,0,26/1,"Osinde to Stirling, no run",,"cuts it to covers, played early through it",1
37,38,Paul Stirling,303427,Henry Osinde,212175,"Osinde to Stirling, 1 run runs it down to third man ",1st innings,,,6.2,run,27,1,27/1,"Osinde to Stirling, 1 run",,runs it down to third man ,1
38,39,Andrew Poynter,210279,Henry Osinde,212175,"Osinde to Poynter, 1 run drops it front of him, and takes off",1st innings,,,6.3,run,28,1,28/1,"Osinde to Poynter, 1 run",,"drops it front of him, and takes off",1
39,40,Paul Stirling,303427,Henry Osinde,212175,"Osinde to Stirling, 1 run guides it down to third man again ",1st innings,,,6.4,run,29,1,29/1,"Osinde to Stirling, 1 run",,guides it down to third man again ,1
40,41,Andrew Poynter,210279,Henry Osinde,212175,"Osinde to Poynter, no run brought it back in, struck him on the pads right in front and not given, doing too much i suppose",1st innings,,,6.5,no run,29,0,29/1,"Osinde to Poynter, no run",,"brought it back in, struck him on the pads right in front and not given, doing too much i suppose",1
41,42,Andrew Poynter,210279,Henry Osinde,212175,"Osinde to Poynter, no run flicks it to mid wicket, good stop by Ruvindu there",1st innings,Paul Stirling,303427,7.0,no run,29,0,29/1,"Osinde to Poynter, no run",,"flicks it to mid wicket, good stop by Ruvindu there",1
42,43,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, no run ",1st innings,,,7.1,no run,29,0,29/1,"Khurram Chohan to Stirling, no run",,,1
43,44,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, FOUR runs short and wide, smashed away from stirling  ",1st innings,,,7.2,four,33,4,33/1,"Khurram Chohan to Stirling, FOUR runs",,"short and wide, smashed away from stirling  ",1
44,45,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, FOUR runs short and straight this time, he decides to pull it infront of square, four more",1st innings,,,7.3,four,37,4,37/1,"Khurram Chohan to Stirling, FOUR runs",,"short and straight this time, he decides to pull it infront of square, four more",1
45,46,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, no run finally he finds good length and defended back ",1st innings,,,7.4,no run,37,0,37/1,"Khurram Chohan to Stirling, no run",,finally he finds good length and defended back ,1
46,47,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, no run short again he tried to cut it again, misses out ",1st innings,,,7.5,no run,37,0,37/1,"Khurram Chohan to Stirling, no run",,"short again he tried to cut it again, misses out ",1
47,48,Paul Stirling,303427,Khurram Chohan,41224,"Khurram Chohan to Stirling, no run driven to covers ",1st innings,Andrew Poynter,210279,8.0,no run,37,0,37/1,"Khurram Chohan to Stirling, no run",,driven to covers ,1
48,49,Andrew Poynter,210279,Henry Osinde,212175,"Osinde to Poynter, no run ",1st innings,,,8.1,no run,37,0,37/1,"Osinde to Poynter, no run",,,1
49,50,Andrew Poynter,210279,Henry Osinde,212175,"Osinde to Poynter, 3 runs that jumped up on him, but he did well to ride the bounce and cut it over point",1st innings,,,8.2,run,40,3,40/1,"Osinde to Poynter, 3 runs",,"that jumped up on him, but he did well to ride the bounce and cut it over point",1
50,51,Paul Stirling,303427,Henry Osinde,212175,"Osinde to Stirling, FOUR runs boom ! pitched it up, lifts it over mid off, for a one bounce 4",1st innings,,,8.3,four,44,4,44/1,"Osinde to Stirling, FOUR runs",,"boom ! pitched it up, lifts it over mid off, for a one bounce 4",1
