,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Alexei Kervezee,214695,Nehemiah Odhiambo,238612,"NN Odhiambo to Kervezee, no run ",1st innings,,,0.1,no run,0,0,0/0,"NN Odhiambo to Kervezee, no run",,,0
1,2,Alexei Kervezee,214695,Nehemiah Odhiambo,238612,"NN Odhiambo to Kervezee, no run ",1st innings,,,0.2,no run,0,0,0/0,"NN Odhiambo to Kervezee, no run",,,0
2,3,Alexei Kervezee,214695,Nehemiah Odhiambo,238612,"NN Odhiambo to Kervezee, no run ",1st innings,,,0.3,no run,0,0,0/0,"NN Odhiambo to Kervezee, no run",,,0
3,4,Alexei Kervezee,214695,Nehemiah Odhiambo,238612,"NN Odhiambo to Kervezee, no run ",1st innings,,,0.4,no run,0,0,0/0,"NN Odhiambo to Kervezee, no run",,,0
4,5,Alexei Kervezee,214695,Nehemiah Odhiambo,238612,"NN Odhiambo to Kervezee, FOUR runs ",1st innings,,,0.5,four,4,4,4/0,"NN Odhiambo to Kervezee, FOUR runs",,,0
5,6,Alexei Kervezee,214695,Nehemiah Odhiambo,238612,"NN Odhiambo to Kervezee, no run ",1st innings,Eric Szwarczynski,214696,1.0,no run,4,0,4/0,"NN Odhiambo to Kervezee, no run",,,0
6,7,Eric Szwarczynski,214696,Elijah Otieno,293031,"Otieno to Szwarczynski, no run ",1st innings,,,1.1,no run,4,0,4/0,"Otieno to Szwarczynski, no run",,,0
7,8,Eric Szwarczynski,214696,Elijah Otieno,293031,"Otieno to Szwarczynski, 2 runs ",1st innings,,,1.2,run,6,2,6/0,"Otieno to Szwarczynski, 2 runs",,,0
8,9,Eric Szwarczynski,214696,Elijah Otieno,293031,"Otieno to Szwarczynski, 2 runs ",1st innings,,,1.3,run,8,2,8/0,"Otieno to Szwarczynski, 2 runs",,,0
9,10,Eric Szwarczynski,214696,Elijah Otieno,293031,"Otieno to Szwarczynski, no run ",1st innings,,,1.4,no run,8,0,8/0,"Otieno to Szwarczynski, no run",,,0
