,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Andrew Strauss,20387,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Strauss, no run big roar as Mashrafe runs in, delivers a decent ball - fullish outside off, no swing as yet and Strauss lets it go by",1st innings,0.1,no run,0,0,0/0,"Mashrafe Mortaza to Strauss, no run",,"big roar as Mashrafe runs in, delivers a decent ball - fullish outside off, no swing as yet and Strauss lets it go by",0
1,2,Andrew Strauss,20387,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Strauss, 1 run England are away, Mashrafe drifting into the pads and Strauss clips it confidently to deep square",1st innings,0.2,run,1,1,1/0,"Mashrafe Mortaza to Strauss, 1 run",,"England are away, Mashrafe drifting into the pads and Strauss clips it confidently to deep square",0
2,3,Craig Kieswetter,230855,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Kieswetter, no run nervy start from the batsman, it's a fullish length on and around off stump, Kieswetter gets half forward and defends with an inside edge",1st innings,0.3,no run,1,0,1/0,"Mashrafe Mortaza to Kieswetter, no run",,"nervy start from the batsman, it's a fullish length on and around off stump, Kieswetter gets half forward and defends with an inside edge",0
3,4,Craig Kieswetter,230855,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Kieswetter, OUT Mashrafe strikes! Kieswetter falls again, Kieswetter bowled again! Massive start for Bangladesh! It was full and nipping back, Kieswetter as usual staying leg side of the ball an it got an inside edge and flew through a gaping space between bat and pad on to the stumps!",1st innings,0.4,out,1,0,1/1,"Mashrafe Mortaza to Kieswetter, OUT",,"Mashrafe strikes! Kieswetter falls again, Kieswetter bowled again! Massive start for Bangladesh! It was full and nipping back, Kieswetter as usual staying leg side of the ball an it got an inside edge and flew through a gaping space between bat and pad on to the stumps!",1
4,5,Jonathan Trott,47623,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Trott, no run ooh, good first ball at him, Trott defended by playing across the ball a fraction, it pitched and left him and skewed off a leading edge",1st innings,0.5,no run,1,0,1/1,"Mashrafe Mortaza to Trott, no run",,"ooh, good first ball at him, Trott defended by playing across the ball a fraction, it pitched and left him and skewed off a leading edge",1
5,6,Jonathan Trott,47623,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Trott, no run Mashrafe ends an excellent over, Trott is forward and defending a touch uneasily. Great lengths from Mashrafe - full - it's the example the other quicks have to follow",1st innings,0.6,no run,1,0,1/1,"Mashrafe Mortaza to Trott, no run",,"Mashrafe ends an excellent over, Trott is forward and defending a touch uneasily. Great lengths from Mashrafe - full - it's the example the other quicks have to follow",1
6,7,Andrew Strauss,20387,Shafiul Islam,288305,"Shafiul Islam to Strauss, no run tidy start from him, fullish and on a decent line, Strauss clips it firmly but straight to square leg",1st innings,1.1,no run,1,0,1/1,"Shafiul Islam to Strauss, no run",,"tidy start from him, fullish and on a decent line, Strauss clips it firmly but straight to square leg",1
7,8,Andrew Strauss,20387,Shafiul Islam,288305,"Shafiul Islam to Strauss, 1 run Strauss has got a good calm air about him and he guides this rising ball down to third man for a single",1st innings,1.2,run,2,1,2/1,"Shafiul Islam to Strauss, 1 run",,Strauss has got a good calm air about him and he guides this rising ball down to third man for a single,1
8,9,Jonathan Trott,47623,Shafiul Islam,288305,"Shafiul Islam to Trott, no run there's a great atmosphere out there, Shafiul getting a big cheer as he runs up, delivers this on a good line outside off and Trott blocks",1st innings,1.3,no run,2,0,2/1,"Shafiul Islam to Trott, no run",,"there's a great atmosphere out there, Shafiul getting a big cheer as he runs up, delivers this on a good line outside off and Trott blocks",1
9,10,Jonathan Trott,47623,Shafiul Islam,288305,"Shafiul Islam to Trott, FOUR runs top shot this, it was a touch short, not very, but Trott was back and flicked it off his hip powerfully, timing it ideally and collecting four to deep midwicket",1st innings,1.4,four,6,4,6/1,"Shafiul Islam to Trott, FOUR runs",,"top shot this, it was a touch short, not very, but Trott was back and flicked it off his hip powerfully, timing it ideally and collecting four to deep midwicket",1
10,11,Jonathan Trott,47623,Shafiul Islam,288305,"Shafiul Islam to Trott, 2 runs too short again from Shafiul and Trott rides the bounce and punches it off the back foot through extra cover for two more",1st innings,1.5,run,8,2,8/1,"Shafiul Islam to Trott, 2 runs",,too short again from Shafiul and Trott rides the bounce and punches it off the back foot through extra cover for two more,1
11,12,Jonathan Trott,47623,Shafiul Islam,288305,"Shafiul Islam to Trott, FOUR runs four more! Trott is away! Too short, a touch too far down the leg side and Trott whips it through square leg for four",1st innings,1.6,four,12,4,12/1,"Shafiul Islam to Trott, FOUR runs",,"four more! Trott is away! Too short, a touch too far down the leg side and Trott whips it through square leg for four",1
12,13,Andrew Strauss,20387,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Strauss, no run ooooh! Very close here, Mashrafe going much fuller than Shafiul, Strauss aims a defensive block and it finds a genuine outside edge but lands short of first slip",1st innings,2.1,no run,12,0,12/1,"Mashrafe Mortaza to Strauss, no run",,"ooooh! Very close here, Mashrafe going much fuller than Shafiul, Strauss aims a defensive block and it finds a genuine outside edge but lands short of first slip",1
13,14,Andrew Strauss,20387,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Strauss, SIX runs shot! That is not the place to bowl, not to Strauss, not a green top. It was very short and Strauss rocked back and slapped it over midwicket for six",1st innings,2.2,six,18,6,18/1,"Mashrafe Mortaza to Strauss, SIX runs",,"shot! That is not the place to bowl, not to Strauss, not a green top. It was very short and Strauss rocked back and slapped it over midwicket for six",1
14,15,Andrew Strauss,20387,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Strauss, no run that's better from Mashrafe, much better, fuller and it jags away off the pitch",1st innings,2.3,no run,18,0,18/1,"Mashrafe Mortaza to Strauss, no run",,"that's better from Mashrafe, much better, fuller and it jags away off the pitch",1
15,16,Andrew Strauss,20387,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Strauss, no run Mashrafe is lucky to get away with this, he committed to cardinal sin to Strauss - short and wide - but the cut shot found point",1st innings,2.4,no run,18,0,18/1,"Mashrafe Mortaza to Strauss, no run",,"Mashrafe is lucky to get away with this, he committed to cardinal sin to Strauss - short and wide - but the cut shot found point",1
16,17,Andrew Strauss,20387,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Strauss, 2 runs good work from the England captain, gets this off his hip and works it down to fine leg for a swiftly-taken couple",1st innings,2.5,run,20,2,20/1,"Mashrafe Mortaza to Strauss, 2 runs",,"good work from the England captain, gets this off his hip and works it down to fine leg for a swiftly-taken couple",1
17,18,Andrew Strauss,20387,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Strauss, no run good ball to finish meets a full-faced block from Strauss. Very solid",1st innings,2.6,no run,20,0,20/1,"Mashrafe Mortaza to Strauss, no run",,good ball to finish meets a full-faced block from Strauss. Very solid,1
18,19,Jonathan Trott,47623,Rubel Hossain,300619,"Rubel Hossain to Trott, no run good start from the new bowler, crucially a full length, and straight and Trott hurries into a defence",1st innings,3.1,no run,20,0,20/1,"Rubel Hossain to Trott, no run",,"good start from the new bowler, crucially a full length, and straight and Trott hurries into a defence",1
19,20,Jonathan Trott,47623,Rubel Hossain,300619,"Rubel Hossain to Trott, no run good ball again, rising from a length outside off, Trott blocks solidly",1st innings,3.2,no run,20,0,20/1,"Rubel Hossain to Trott, no run",,"good ball again, rising from a length outside off, Trott blocks solidly",1
20,21,Jonathan Trott,47623,Rubel Hossain,300619,"Rubel Hossain to Trott, 1 run very full again, Rubel has started well, Trott taps it to mid off and takes a single",1st innings,3.3,run,21,1,21/1,"Rubel Hossain to Trott, 1 run",,"very full again, Rubel has started well, Trott taps it to mid off and takes a single",1
21,22,Andrew Strauss,20387,Rubel Hossain,300619,"Rubel Hossain to Strauss, no run slung across Strauss from over the wicket, full, maybe later in his innings Strauss would have had a dart at it, but at the moment he's content to leave",1st innings,3.4,no run,21,0,21/1,"Rubel Hossain to Strauss, no run",,"slung across Strauss from over the wicket, full, maybe later in his innings Strauss would have had a dart at it, but at the moment he's content to leave",1
22,23,Andrew Strauss,20387,Rubel Hossain,300619,"Rubel Hossain to Strauss, no run good ball this, closer to off stump, rising from a decent length, Strauss shoulders arms",1st innings,3.5,no run,21,0,21/1,"Rubel Hossain to Strauss, no run",,"good ball this, closer to off stump, rising from a decent length, Strauss shoulders arms",1
23,24,Andrew Strauss,20387,Rubel Hossain,300619,"Rubel Hossain to Strauss, FOUR runs one bad ball ruins the over, and it deserved all it got, short, wide, four. Strauss needs no second invitation in that area",1st innings,3.6,four,25,4,25/1,"Rubel Hossain to Strauss, FOUR runs",,"one bad ball ruins the over, and it deserved all it got, short, wide, four. Strauss needs no second invitation in that area",1
24,25,Jonathan Trott,47623,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Trott, 1 run the runs keep flowing, touch too short and a fraction of width allows Trott to stroke it to deep point for a single",1st innings,4.1,run,26,1,26/1,"Mashrafe Mortaza to Trott, 1 run",,"the runs keep flowing, touch too short and a fraction of width allows Trott to stroke it to deep point for a single",1
25,26,Andrew Strauss,20387,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Strauss, no run much better from Mashrafe, that's all Bangladesh need to do, fullish and on a good line, bit of nibble off the surface and blocked",1st innings,4.2,no run,26,0,26/1,"Mashrafe Mortaza to Strauss, no run",,"much better from Mashrafe, that's all Bangladesh need to do, fullish and on a good line, bit of nibble off the surface and blocked",1
26,27,Andrew Strauss,20387,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Strauss, no run Strauss looks in good order, defending with the straightest of blades",1st innings,4.3,no run,26,0,26/1,"Mashrafe Mortaza to Strauss, no run",,"Strauss looks in good order, defending with the straightest of blades",1
27,28,Andrew Strauss,20387,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Strauss, 1 run a fraction short, which is pretty criminal on this surface, allows Strauss to drive off the back foot where a sprawling save at point keeps it to one",1st innings,4.4,run,27,1,27/1,"Mashrafe Mortaza to Strauss, 1 run",,"a fraction short, which is pretty criminal on this surface, allows Strauss to drive off the back foot where a sprawling save at point keeps it to one",1
28,29,Jonathan Trott,47623,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Trott, no run that's why these Bangladesh seamers need to hold their nerve here, decent length and it nips back a long way off the surface into Trott's pads",1st innings,4.5,no run,27,0,27/1,"Mashrafe Mortaza to Trott, no run",,"that's why these Bangladesh seamers need to hold their nerve here, decent length and it nips back a long way off the surface into Trott's pads",1
29,30,Jonathan Trott,47623,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Trott, no run the final ball again comes back a long way at Trott, and he can't connect with an attempted leg-side nurdle",1st innings,4.6,no run,27,0,27/1,"Mashrafe Mortaza to Trott, no run",,"the final ball again comes back a long way at Trott, and he can't connect with an attempted leg-side nurdle",1
30,31,Andrew Strauss,20387,Rubel Hossain,300619,"Rubel Hossain to Strauss, no run Rubel liked this! He followed through a long way to have a stare at Strauss, it was full and zipped past Strauss's attempted drive",1st innings,5.1,no run,27,0,27/1,"Rubel Hossain to Strauss, no run",,"Rubel liked this! He followed through a long way to have a stare at Strauss, it was full and zipped past Strauss's attempted drive",1
31,32,Andrew Strauss,20387,Rubel Hossain,300619,"Rubel Hossain to Strauss, no run good ball again, forcing Strauss into a defensive block",1st innings,5.2,no run,27,0,27/1,"Rubel Hossain to Strauss, no run",,"good ball again, forcing Strauss into a defensive block",1
32,33,Andrew Strauss,20387,Rubel Hossain,300619,"Rubel Hossain to Strauss, no run that's the place to bowl, especially to Strauss, full, on and around off, and Strauss leaves",1st innings,5.3,no run,27,0,27/1,"Rubel Hossain to Strauss, no run",,"that's the place to bowl, especially to Strauss, full, on and around off, and Strauss leaves",1
33,34,Andrew Strauss,20387,Rubel Hossain,300619,"Rubel Hossain to Strauss, no run once again Rubel continues to probe the channel outside off stump, he just needs to stay there for the entire over",1st innings,5.4,no run,27,0,27/1,"Rubel Hossain to Strauss, no run",,"once again Rubel continues to probe the channel outside off stump, he just needs to stay there for the entire over",1
34,35,Andrew Strauss,20387,Rubel Hossain,300619,"Rubel Hossain to Strauss, 2 runs having left the last few Strauss this time plays, calmly guiding it down to third man for a couple",1st innings,5.5,run,29,2,29/1,"Rubel Hossain to Strauss, 2 runs",,"having left the last few Strauss this time plays, calmly guiding it down to third man for a couple",1
35,36,Andrew Strauss,20387,Rubel Hossain,300619,"Rubel Hossain to Strauss, no run good over in the end, finishes with another leave outside off stump",1st innings,5.6,no run,29,0,29/1,"Rubel Hossain to Strauss, no run",,"good over in the end, finishes with another leave outside off stump",1
36,37,Jonathan Trott,47623,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Trott, no run good start to Mashrafe's new over, fullish and around off stump, Trott defends",1st innings,6.1,no run,29,0,29/1,"Mashrafe Mortaza to Trott, no run",,"good start to Mashrafe's new over, fullish and around off stump, Trott defends",1
37,38,Jonathan Trott,47623,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Trott, no run nicely bowled, touch of extra bounce from a length outside off stump, Trott defends uneasily",1st innings,6.2,no run,29,0,29/1,"Mashrafe Mortaza to Trott, no run",,"nicely bowled, touch of extra bounce from a length outside off stump, Trott defends uneasily",1
