,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,otherBowler,otherBowler_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Mohammad Hafeez,41434,Lasith Malinga,49758,"Malinga to Mohammad Hafeez, no run that's a yorker to begin with, swinging away, not sure anyone expected that first up, Hafeez tried to dig it out",1st innings,Imran Farhat,40582,,,0.1,no run,0,0,0/0,"Malinga to Mohammad Hafeez, no run",,"that's a yorker to begin with, swinging away, not sure anyone expected that first up, Hafeez tried to dig it out",0
1,2,Mohammad Hafeez,41434,Lasith Malinga,49758,"Malinga to Mohammad Hafeez, 1 run low full toss on the pads but he pushes it quite tamely past mid-on",1st innings,Imran Farhat,40582,,,0.2,run,1,1,1/0,"Malinga to Mohammad Hafeez, 1 run",,low full toss on the pads but he pushes it quite tamely past mid-on,0
2,3,Imran Farhat,40582,Lasith Malinga,49758,"Malinga to Imran Farhat, no run chipped in the air towards midwicket, they just kept a fielder at short midwicket and moved him  to leg gully, oh well, chance missed",1st innings,Mohammad Hafeez,41434,,,0.3,no run,1,0,1/0,"Malinga to Imran Farhat, no run",,"chipped in the air towards midwicket, they just kept a fielder at short midwicket and moved him  to leg gully, oh well, chance missed",0
3,4,Imran Farhat,40582,Lasith Malinga,49758,"Malinga to Imran Farhat, no run and he nrealy spoons it back to the bowler! Just short of Malinga to his left, the ball seems to be coming on fairly slow",1st innings,Mohammad Hafeez,41434,,,0.4,no run,1,0,1/0,"Malinga to Imran Farhat, no run",,"and he nrealy spoons it back to the bowler! Just short of Malinga to his left, the ball seems to be coming on fairly slow",0
4,5,Imran Farhat,40582,Lasith Malinga,49758,"Malinga to Imran Farhat, no run another yorker and he digs it out on the full back to the bowler",1st innings,Mohammad Hafeez,41434,,,0.5,no run,1,0,1/0,"Malinga to Imran Farhat, no run",,another yorker and he digs it out on the full back to the bowler,0
5,6,Imran Farhat,40582,Lasith Malinga,49758,"Malinga to Imran Farhat, no run clips it straight to short midwicket, now they've put that fielder back",1st innings,Mohammad Hafeez,41434,,,0.6,no run,1,0,1/0,"Malinga to Imran Farhat, no run",,"clips it straight to short midwicket, now they've put that fielder back",0
6,7,Mohammad Hafeez,41434,Thisara Perera,233514,"Perera to Mohammad Hafeez, FOUR runs he bowls a half volley really wide outside the off stump, Hafeez really has to reach out to drive but he connects well and finds the cover boundary",1st innings,Imran Farhat,40582,Lasith Malinga,49758,1.1,four,5,4,5/0,"Perera to Mohammad Hafeez, FOUR runs",,"he bowls a half volley really wide outside the off stump, Hafeez really has to reach out to drive but he connects well and finds the cover boundary",0
7,8,Mohammad Hafeez,41434,Thisara Perera,233514,"Perera to Mohammad Hafeez, no run gets this one to nip back in , he clips it down to midwicket",1st innings,Imran Farhat,40582,Lasith Malinga,49758,1.2,no run,5,0,5/0,"Perera to Mohammad Hafeez, no run",,"gets this one to nip back in , he clips it down to midwicket",0
8,8,Mohammad Hafeez,41434,Thisara Perera,233514,"Perera to Mohammad Hafeez, 2 wides that was so wide outside the off stump he would needed two bats to chase that, the keeper fumbles",1st innings,Imran Farhat,40582,Lasith Malinga,49758,1.2,wide,7,2,7/0,"Perera to Mohammad Hafeez, 2 wides",,"that was so wide outside the off stump he would needed two bats to chase that, the keeper fumbles",0
9,9,Imran Farhat,40582,Thisara Perera,233514,"Perera to Imran Farhat, 1 run reaches out to drive and he squirts it past the gap between mid-off and cover",1st innings,Mohammad Hafeez,41434,Lasith Malinga,49758,1.3,run,8,1,8/0,"Perera to Imran Farhat, 1 run",,reaches out to drive and he squirts it past the gap between mid-off and cover,0
10,10,Mohammad Hafeez,41434,Thisara Perera,233514,"Perera to Mohammad Hafeez, no run lands it outside the off stump and he leaves it alone",1st innings,Imran Farhat,40582,Lasith Malinga,49758,1.4,no run,8,0,8/0,"Perera to Mohammad Hafeez, no run",,lands it outside the off stump and he leaves it alone,0
11,11,Mohammad Hafeez,41434,Thisara Perera,233514,"Perera to Mohammad Hafeez, no run lands it outside off and shapes it away from the right-hander",1st innings,Imran Farhat,40582,Lasith Malinga,49758,1.5,no run,8,0,8/0,"Perera to Mohammad Hafeez, no run",,lands it outside off and shapes it away from the right-hander,0
12,12,Mohammad Hafeez,41434,Thisara Perera,233514,"Perera to Mohammad Hafeez, no run stops on him a little bit as he stays back and taps it to the off side",1st innings,Imran Farhat,40582,Lasith Malinga,49758,1.6,no run,8,0,8/0,"Perera to Mohammad Hafeez, no run",,stops on him a little bit as he stays back and taps it to the off side,0
13,13,Imran Farhat,40582,Lasith Malinga,49758,"Malinga to Imran Farhat, FOUR runs swings it on the pads down the leg side and he clips it to fine leg for four, an attempted yorker gone wrong",1st innings,Mohammad Hafeez,41434,Thisara Perera,233514,2.1,four,12,4,12/0,"Malinga to Imran Farhat, FOUR runs",,"swings it on the pads down the leg side and he clips it to fine leg for four, an attempted yorker gone wrong",0
14,14,Imran Farhat,40582,Lasith Malinga,49758,"Malinga to Imran Farhat, 1 run tries another yorker and he it turns into a friendly full toss, he chops it down to cover",1st innings,Mohammad Hafeez,41434,Thisara Perera,233514,2.2,run,13,1,13/0,"Malinga to Imran Farhat, 1 run",,"tries another yorker and he it turns into a friendly full toss, he chops it down to cover",0
15,15,Mohammad Hafeez,41434,Lasith Malinga,49758,"Malinga to Mohammad Hafeez, no run hits a good length outside the off stump and he safely shoulders arms to the keeper",1st innings,Imran Farhat,40582,Thisara Perera,233514,2.3,no run,13,0,13/0,"Malinga to Mohammad Hafeez, no run",,hits a good length outside the off stump and he safely shoulders arms to the keeper,0
16,16,Mohammad Hafeez,41434,Lasith Malinga,49758,"Malinga to Mohammad Hafeez, no run stays right behind the line and taps it to the off side",1st innings,Imran Farhat,40582,Thisara Perera,233514,2.4,no run,13,0,13/0,"Malinga to Mohammad Hafeez, no run",,stays right behind the line and taps it to the off side,0
17,17,Mohammad Hafeez,41434,Lasith Malinga,49758,"Malinga to Mohammad Hafeez, no run cramps him up for room, lands it on a good length and Hafeez just taps it softly down the pitch",1st innings,Imran Farhat,40582,Thisara Perera,233514,2.5,no run,13,0,13/0,"Malinga to Mohammad Hafeez, no run",,"cramps him up for room, lands it on a good length and Hafeez just taps it softly down the pitch",0
18,18,Mohammad Hafeez,41434,Lasith Malinga,49758,"Malinga to Mohammad Hafeez, no run the slower ball this time and he softly taps it down the pitch again, seems like a slower pitch from the ;last one",1st innings,Imran Farhat,40582,Thisara Perera,233514,2.6,no run,13,0,13/0,"Malinga to Mohammad Hafeez, no run",,"the slower ball this time and he softly taps it down the pitch again, seems like a slower pitch from the ;last one",0
19,19,Imran Farhat,40582,Thisara Perera,233514,"Perera to Imran Farhat, no run shapes it across the right-hander and he safely lets it go to the keeper",1st innings,Mohammad Hafeez,41434,Lasith Malinga,49758,3.1,no run,13,0,13/0,"Perera to Imran Farhat, no run",,shapes it across the right-hander and he safely lets it go to the keeper,0
20,20,Imran Farhat,40582,Thisara Perera,233514,"Perera to Imran Farhat, no run this one sneaks between bat and pad, in fact nearly shaved the inside edge, the ball straightened",1st innings,Mohammad Hafeez,41434,Lasith Malinga,49758,3.2,no run,13,0,13/0,"Perera to Imran Farhat, no run",,"this one sneaks between bat and pad, in fact nearly shaved the inside edge, the ball straightened",0
21,21,Imran Farhat,40582,Thisara Perera,233514,"Perera to Imran Farhat, no run gets forward and pats it to the off side",1st innings,Mohammad Hafeez,41434,Lasith Malinga,49758,3.3,no run,13,0,13/0,"Perera to Imran Farhat, no run",,gets forward and pats it to the off side,0
22,22,Imran Farhat,40582,Thisara Perera,233514,"Perera to Imran Farhat, FOUR runs fullish on off and middle and Farhat shows the full face of the bat and times that well, beats mid-off",1st innings,Mohammad Hafeez,41434,Lasith Malinga,49758,3.4,four,17,4,17/0,"Perera to Imran Farhat, FOUR runs",,"fullish on off and middle and Farhat shows the full face of the bat and times that well, beats mid-off",0
23,23,Imran Farhat,40582,Thisara Perera,233514,"Perera to Imran Farhat, no run holds the length back and he defends to the off side",1st innings,Mohammad Hafeez,41434,Lasith Malinga,49758,3.5,no run,17,0,17/0,"Perera to Imran Farhat, no run",,holds the length back and he defends to the off side,0
24,24,Imran Farhat,40582,Thisara Perera,233514,"Perera to Imran Farhat, no run driven forcefully off the front foot but he finds mid-off this time",1st innings,Mohammad Hafeez,41434,Lasith Malinga,49758,3.6,no run,17,0,17/0,"Perera to Imran Farhat, no run",,driven forcefully off the front foot but he finds mid-off this time,0
