,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Tamim Iqbal,56194,Daryl Tuffey,38620,"Tuffey to Tamim Iqbal, 1 run Tuffey ambles in for the first ball of the match and starts off nicely back of a length but just too straight and Tamim works it into mid wicket and they take off for the single to get underway",1st innings,,,0.1,run,1,1,1/0,"Tuffey to Tamim Iqbal, 1 run",,Tuffey ambles in for the first ball of the match and starts off nicely back of a length but just too straight and Tamim works it into mid wicket and they take off for the single to get underway,0
1,2,Imrul Kayes,280734,Daryl Tuffey,38620,"Tuffey to Imrul Kayes, no run Imrul allows it through to McCullum outside the off stump",1st innings,,,0.2,no run,1,0,1/0,"Tuffey to Imrul Kayes, no run",,Imrul allows it through to McCullum outside the off stump,0
2,3,Imrul Kayes,280734,Daryl Tuffey,38620,"Tuffey to Imrul Kayes, FOUR runs Tuffey is too full and too straight this time and Imrul whips him behind square on the leg side for four. Good start for Bangladesh!",1st innings,,,0.3,four,5,4,5/0,"Tuffey to Imrul Kayes, FOUR runs",,Tuffey is too full and too straight this time and Imrul whips him behind square on the leg side for four. Good start for Bangladesh!,0
3,4,Imrul Kayes,280734,Daryl Tuffey,38620,"Tuffey to Imrul Kayes, no run angled into the pads but shorter this time and Imrul tries to play through the leg side but misses and it takes him on the thigh pad",1st innings,,,0.4,no run,5,0,5/0,"Tuffey to Imrul Kayes, no run",,angled into the pads but shorter this time and Imrul tries to play through the leg side but misses and it takes him on the thigh pad,0
4,5,Imrul Kayes,280734,Daryl Tuffey,38620,"Tuffey to Imrul Kayes, no run Tuffey bowls fullish and straighter this time and takes Imrul on the pads. There is a loud appeal which is confidently turned down by umpire Kettleborough at the City end.",1st innings,,,0.5,no run,5,0,5/0,"Tuffey to Imrul Kayes, no run",,Tuffey bowls fullish and straighter this time and takes Imrul on the pads. There is a loud appeal which is confidently turned down by umpire Kettleborough at the City end.,0
5,6,Imrul Kayes,280734,Daryl Tuffey,38620,"Tuffey to Imrul Kayes, no run Irmul drives on the up to Vettori at mid off",1st innings,Tamim Iqbal,56194,1.0,no run,5,0,5/0,"Tuffey to Imrul Kayes, no run",,Irmul drives on the up to Vettori at mid off,0
6,7,Tamim Iqbal,56194,Andy McKay,38005,"McKay to Tamim Iqbal, no run McKay is given the new ball in just his second ODI and he gets some good swing away from Tamim who drives and misses",1st innings,,,1.1,no run,5,0,5/0,"McKay to Tamim Iqbal, no run",,McKay is given the new ball in just his second ODI and he gets some good swing away from Tamim who drives and misses,0
7,8,Tamim Iqbal,56194,Andy McKay,38005,"McKay to Tamim Iqbal, no run this one is straighter from McKay and Tamim hangs on the crease and is beaten outside off stump",1st innings,,,1.2,no run,5,0,5/0,"McKay to Tamim Iqbal, no run",,this one is straighter from McKay and Tamim hangs on the crease and is beaten outside off stump,0
8,9,Tamim Iqbal,56194,Andy McKay,38005,"McKay to Tamim Iqbal, no run good channel and this one is wider of off stump and Tamim is watchful, allowing it through to the keeper",1st innings,,,1.3,no run,5,0,5/0,"McKay to Tamim Iqbal, no run",,"good channel and this one is wider of off stump and Tamim is watchful, allowing it through to the keeper",0
9,10,Tamim Iqbal,56194,Andy McKay,38005,"McKay to Tamim Iqbal, no run 142 km/h, this one swings nicely but it's too wide of off stump to threaten Tamim who swings and misses",1st innings,,,1.4,no run,5,0,5/0,"McKay to Tamim Iqbal, no run",,"142 km/h, this one swings nicely but it's too wide of off stump to threaten Tamim who swings and misses",0
