,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,otherBowler,otherBowler_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Quinton de Kock,379143,Suranga Lakmal,49619,"Lakmal to de Kock, no run tidy line outside off, with good carry as well. Left alone",1st innings,Hashim Amla,43906,,,0.1,no run,0,0,0/0,"Lakmal to de Kock, no run",,"tidy line outside off, with good carry as well. Left alone",0
1,2,Quinton de Kock,379143,Suranga Lakmal,49619,"Lakmal to de Kock, 1 run on the back foot and punched pleasingly through the covers to get off the mark",1st innings,Hashim Amla,43906,,,0.2,run,1,1,1/0,"Lakmal to de Kock, 1 run",,on the back foot and punched pleasingly through the covers to get off the mark,0
2,3,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, no run tight line to the right-hander, with a bit of shape through the air. Defended",1st innings,Quinton de Kock,379143,,,0.3,no run,1,0,1/0,"Lakmal to Amla, no run",,"tight line to the right-hander, with a bit of shape through the air. Defended",0
3,4,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, FOUR runs on the pads, that's a gimme. Amla leans inside the line, gets a tickle of bat, and lets the pace do the rest",1st innings,Quinton de Kock,379143,,,0.4,four,5,4,5/0,"Lakmal to Amla, FOUR runs",,"on the pads, that's a gimme. Amla leans inside the line, gets a tickle of bat, and lets the pace do the rest",0
4,5,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, no run outside off, left alone",1st innings,Quinton de Kock,379143,,,0.5,no run,5,0,5/0,"Lakmal to Amla, no run",,"outside off, left alone",0
5,6,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, no run flogged into the covers to complete the over",1st innings,Quinton de Kock,379143,,,0.6,no run,5,0,5/0,"Lakmal to Amla, no run",,flogged into the covers to complete the over,0
6,7,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, no run good bounce from a full length, de Kock takes one hand off the bat to combat",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,1.1,no run,5,0,5/0,"Kumara to de Kock, no run",,"good bounce from a full length, de Kock takes one hand off the bat to combat",0
7,8,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, no run well bowled again, more leap from a good length, and de Kock looks around anxiously to make sure he hasn't chopped the ball onto his stumps. He hasn't",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,1.2,no run,5,0,5/0,"Kumara to de Kock, no run",,"well bowled again, more leap from a good length, and de Kock looks around anxiously to make sure he hasn't chopped the ball onto his stumps. He hasn't",0
8,9,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, FOUR runs short, attempted pull, a bit streaky but they all count. A bottom-edged pull through fine leg. The bounce is giving him something to think about",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,1.3,four,9,4,9/0,"Kumara to de Kock, FOUR runs",,"short, attempted pull, a bit streaky but they all count. A bottom-edged pull through fine leg. The bounce is giving him something to think about",0
9,10,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, no run well bowled, a full-length slower ball strikes the pad, but it pitched outside leg",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,1.4,no run,9,0,9/0,"Kumara to de Kock, no run",,"well bowled, a full-length slower ball strikes the pad, but it pitched outside leg",0
10,11,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, no run good length again",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,1.5,no run,9,0,9/0,"Kumara to de Kock, no run",,good length again,0
11,12,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, 2 runs levered into the covers with a big flow of bat. Not really timed, more forced",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,1.6,run,11,2,11/0,"Kumara to de Kock, 2 runs",,"levered into the covers with a big flow of bat. Not really timed, more forced",0
12,13,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, FOUR runs lovely strike, but a pretty terrible ball. A full, outswinging half-volley, Amla barely needed to move to flog it through the covers",1st innings,Quinton de Kock,379143,Lahiru Kumara,784375,2.1,four,15,4,15/0,"Lakmal to Amla, FOUR runs",,"lovely strike, but a pretty terrible ball. A full, outswinging half-volley, Amla barely needed to move to flog it through the covers",0
13,14,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, no run better delivery, tighter line, and left alone",1st innings,Quinton de Kock,379143,Lahiru Kumara,784375,2.2,no run,15,0,15/0,"Lakmal to Amla, no run",,"better delivery, tighter line, and left alone",0
14,15,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, no run outside off once again, a nibble of outswing as Amla leaves alone",1st innings,Quinton de Kock,379143,Lahiru Kumara,784375,2.3,no run,15,0,15/0,"Lakmal to Amla, no run",,"outside off once again, a nibble of outswing as Amla leaves alone",0
15,16,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, FOUR runs cracked off the back foot, Amla is seeing it gloriously now! Pounded down into the off side, flies past the flailing backward point. Lovely",1st innings,Quinton de Kock,379143,Lahiru Kumara,784375,2.4,four,19,4,19/0,"Lakmal to Amla, FOUR runs",,"cracked off the back foot, Amla is seeing it gloriously now! Pounded down into the off side, flies past the flailing backward point. Lovely",0
16,17,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, no run left alone once more",1st innings,Quinton de Kock,379143,Lahiru Kumara,784375,2.5,no run,19,0,19/0,"Lakmal to Amla, no run",,left alone once more,0
17,18,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, no run tighter line again, but a solid over of process for Amla",1st innings,Quinton de Kock,379143,Lahiru Kumara,784375,2.6,no run,19,0,19/0,"Lakmal to Amla, no run",,"tighter line again, but a solid over of process for Amla",0
18,19,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, no run a fraction too short, and de Kock climbs into another pull. Still hasn't timed one today, unlike his partner...",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,3.1,no run,19,0,19/0,"Kumara to de Kock, no run",,"a fraction too short, and de Kock climbs into another pull. Still hasn't timed one today, unlike his partner...",0
19,20,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, 2 runs on the pads, tucked in a more measured fashion into the leg side",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,3.2,run,21,2,21/0,"Kumara to de Kock, 2 runs",,"on the pads, tucked in a more measured fashion into the leg side",0
20,21,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, no run on the back foot, hauled into the leg side",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,3.3,no run,21,0,21/0,"Kumara to de Kock, no run",,"on the back foot, hauled into the leg side",0
21,22,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, no run he timed that one alright! A slashing cut but backward point does well to get his body in the way as the ball fizzes off the used pitch",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,3.4,no run,21,0,21/0,"Kumara to de Kock, no run",,he timed that one alright! A slashing cut but backward point does well to get his body in the way as the ball fizzes off the used pitch,0
22,23,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, no run width, and slashed into the covers once more, and straight to the fielder again",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,3.5,no run,21,0,21/0,"Kumara to de Kock, no run",,"width, and slashed into the covers once more, and straight to the fielder again",0
23,24,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, no run no way through there",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,3.6,no run,21,0,21/0,"Kumara to de Kock, no run",,no way through there,0
24,25,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, no run fuller length, defended on the back foot, on a fourth-stump line. That's the right area to pressurise Amla",1st innings,Quinton de Kock,379143,Lahiru Kumara,784375,4.1,no run,21,0,21/0,"Lakmal to Amla, no run",,"fuller length, defended on the back foot, on a fourth-stump line. That's the right area to pressurise Amla",0
25,26,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, no run extra bounce from a good length, and if this had been a Test match, that would have got short leg very interested as it pinged the glove. Well bowled",1st innings,Quinton de Kock,379143,Lahiru Kumara,784375,4.2,no run,21,0,21/0,"Lakmal to Amla, no run",,"extra bounce from a good length, and if this had been a Test match, that would have got short leg very interested as it pinged the glove. Well bowled",0
26,27,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, no run lovely shape outside off, and Amla is lured into a massive wipe. No foot movement, and he shakes his head as the ball flies by",1st innings,Quinton de Kock,379143,Lahiru Kumara,784375,4.3,no run,21,0,21/0,"Lakmal to Amla, no run",,"lovely shape outside off, and Amla is lured into a massive wipe. No foot movement, and he shakes his head as the ball flies by",0
27,28,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, no run onto the front foot, solidly blocked",1st innings,Quinton de Kock,379143,Lahiru Kumara,784375,4.4,no run,21,0,21/0,"Lakmal to Amla, no run",,"onto the front foot, solidly blocked",0
28,29,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, FOUR runs on the front foot, and that's another lovely bit of pressure-relieving from Amla. Overpitched again, and he was so quickly into position for the drive",1st innings,Quinton de Kock,379143,Lahiru Kumara,784375,4.5,four,25,4,25/0,"Lakmal to Amla, FOUR runs",,"on the front foot, and that's another lovely bit of pressure-relieving from Amla. Overpitched again, and he was so quickly into position for the drive",0
29,30,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, FOUR runs width, and wallop! Who needs footwork when you have located the middle of your bat? Backward point has no chance",1st innings,Quinton de Kock,379143,Lahiru Kumara,784375,4.6,four,29,4,29/0,"Lakmal to Amla, FOUR runs",,"width, and wallop! Who needs footwork when you have located the middle of your bat? Backward point has no chance",0
30,31,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, FOUR runs on the pads, chiselled into the leg side and that is too easy for QDK. Kumara came round the wicket, and it vanished at speed through midwicket. Such balance at the moment of impact",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,5.1,four,33,4,33/0,"Kumara to de Kock, FOUR runs",,"on the pads, chiselled into the leg side and that is too easy for QDK. Kumara came round the wicket, and it vanished at speed through midwicket. Such balance at the moment of impact",0
31,32,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, 1 run extra bounce, and de Kock rides it well. Deflected down to third man",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,5.2,run,34,1,34/0,"Kumara to de Kock, 1 run",,"extra bounce, and de Kock rides it well. Deflected down to third man",0
32,33,Hashim Amla,43906,Lahiru Kumara,784375,"Kumara to Amla, no run more good lift off the deck, and defended with high gloves into the off side",1st innings,Quinton de Kock,379143,Suranga Lakmal,49619,5.3,no run,34,0,34/0,"Kumara to Amla, no run",,"more good lift off the deck, and defended with high gloves into the off side",0
33,33,Hashim Amla,43906,Lahiru Kumara,784375,"Kumara to Amla, 1 no ball full length, defended down the track, and that's been called, but there's no way that was over the front line! A <B>free hit</B> coming up, and unjustly so",1st innings,Quinton de Kock,379143,Suranga Lakmal,49619,5.3,no ball,35,1,35/0,"Kumara to Amla, 1 no ball",,"full length, defended down the track, and that's been called, but there's no way that was over the front line! A <B>free hit</B> coming up, and unjustly so",0
34,34,Hashim Amla,43906,Lahiru Kumara,784375,"Kumara to Amla, no run justice is done as a zippy lifter flies through unscathed",1st innings,Quinton de Kock,379143,Suranga Lakmal,49619,5.4,no run,35,0,35/0,"Kumara to Amla, no run",,justice is done as a zippy lifter flies through unscathed,0
35,35,Hashim Amla,43906,Lahiru Kumara,784375,"Kumara to Amla, no run angled into the pads, whipped into the leg side",1st innings,Quinton de Kock,379143,Suranga Lakmal,49619,5.5,no run,35,0,35/0,"Kumara to Amla, no run",,"angled into the pads, whipped into the leg side",0
36,36,Hashim Amla,43906,Lahiru Kumara,784375,"Kumara to Amla, no run tight line and blocked back down the track.",1st innings,Quinton de Kock,379143,Suranga Lakmal,49619,5.6,no run,35,0,35/0,"Kumara to Amla, no run",,tight line and blocked back down the track.,0
37,37,Quinton de Kock,379143,Lahiru Madushanka,428366,"Madushanka to de Kock, no run defended into the off side",1st innings,Hashim Amla,43906,Lahiru Kumara,784375,6.1,no run,35,0,35/0,"Madushanka to de Kock, no run",,defended into the off side,0
38,38,Quinton de Kock,379143,Lahiru Madushanka,428366,"Madushanka to de Kock, 1 run on the pads, worked square and there's another single",1st innings,Hashim Amla,43906,Lahiru Kumara,784375,6.2,run,36,1,36/0,"Madushanka to de Kock, 1 run",,"on the pads, worked square and there's another single",0
39,39,Hashim Amla,43906,Lahiru Madushanka,428366,"Madushanka to Amla, 1 run dabbed down to third man",1st innings,Quinton de Kock,379143,Lahiru Kumara,784375,6.3,run,37,1,37/0,"Madushanka to Amla, 1 run",,dabbed down to third man,0
40,40,Quinton de Kock,379143,Lahiru Madushanka,428366,"Madushanka to de Kock, FOUR runs too wide, and that is just asking for trouble. Smashed with alacrity in front of square. An utter freebie to a man of his class",1st innings,Hashim Amla,43906,Lahiru Kumara,784375,6.4,four,41,4,41/0,"Madushanka to de Kock, FOUR runs",,"too wide, and that is just asking for trouble. Smashed with alacrity in front of square. An utter freebie to a man of his class",0
41,41,Quinton de Kock,379143,Lahiru Madushanka,428366,"Madushanka to de Kock, no run tighter line and patted back to the bowler",1st innings,Hashim Amla,43906,Lahiru Kumara,784375,6.5,no run,41,0,41/0,"Madushanka to de Kock, no run",,tighter line and patted back to the bowler,0
42,42,Quinton de Kock,379143,Lahiru Madushanka,428366,"Madushanka to de Kock, no run better ball, lifting from a good length",1st innings,Hashim Amla,43906,Lahiru Kumara,784375,6.6,no run,41,0,41/0,"Madushanka to de Kock, no run",,"better ball, lifting from a good length",0
43,43,Hashim Amla,43906,Lahiru Kumara,784375,"Kumara to Amla, no run attempted yorker, effective enough. Dug out and back to the bowler",1st innings,Quinton de Kock,379143,Lahiru Madushanka,428366,7.1,no run,41,0,41/0,"Kumara to Amla, no run",,"attempted yorker, effective enough. Dug out and back to the bowler",0
44,44,Hashim Amla,43906,Lahiru Kumara,784375,"Kumara to Amla, 1 run short again, whisked round the corner with a roll of the wrists. Deep backward square tidies up",1st innings,Quinton de Kock,379143,Lahiru Madushanka,428366,7.2,run,42,1,42/0,"Kumara to Amla, 1 run",,"short again, whisked round the corner with a roll of the wrists. Deep backward square tidies up",0
45,45,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, FOUR runs full length again, crunched fairly innocuously down the ground, but two men converge, and both leave it for the other. Through the ball trundles, all the way to the rope. Whoops",1st innings,Hashim Amla,43906,Lahiru Madushanka,428366,7.3,four,46,4,46/0,"Kumara to de Kock, FOUR runs",,"full length again, crunched fairly innocuously down the ground, but two men converge, and both leave it for the other. Through the ball trundles, all the way to the rope. Whoops",0
46,46,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, FOUR runs too short, too wide, QDK leans back in avaricious fashion, and hauls a pull through the gap at wide long-on. Free flowing, in every sense",1st innings,Hashim Amla,43906,Lahiru Madushanka,428366,7.4,four,50,4,50/0,"Kumara to de Kock, FOUR runs",,"too short, too wide, QDK leans back in avaricious fashion, and hauls a pull through the gap at wide long-on. Free flowing, in every sense",0
47,47,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, no run round the wicket, on the front foot, a high-elbowed jab to mid-on",1st innings,Hashim Amla,43906,Lahiru Madushanka,428366,7.5,no run,50,0,50/0,"Kumara to de Kock, no run",,"round the wicket, on the front foot, a high-elbowed jab to mid-on",0
48,48,Quinton de Kock,379143,Lahiru Kumara,784375,"Kumara to de Kock, 1 run outside off, crushed out to backward point",1st innings,Hashim Amla,43906,Lahiru Madushanka,428366,7.6,run,51,1,51/0,"Kumara to de Kock, 1 run",,"outside off, crushed out to backward point",0
49,49,Quinton de Kock,379143,Lahiru Madushanka,428366,"Madushanka to de Kock, FOUR runs on the toes, flicked through midwicket. If this was a pick-your-own fruit plantation, QDK would need to be weighed by the time he went to pay for his punnet ...",1st innings,Hashim Amla,43906,Lahiru Kumara,784375,8.1,four,55,4,55/0,"Madushanka to de Kock, FOUR runs",,"on the toes, flicked through midwicket. If this was a pick-your-own fruit plantation, QDK would need to be weighed by the time he went to pay for his punnet ...",0
50,50,Quinton de Kock,379143,Lahiru Madushanka,428366,"Madushanka to de Kock, no run tighter line",1st innings,Hashim Amla,43906,Lahiru Kumara,784375,8.2,no run,55,0,55/0,"Madushanka to de Kock, no run",,tighter line,0
51,51,Quinton de Kock,379143,Lahiru Madushanka,428366,"Madushanka to de Kock, no run outside off, an elegant down-on-one-knee drill into the covers, but straight to the fielder this time. That was a handsome strike...",1st innings,Hashim Amla,43906,Lahiru Kumara,784375,8.3,no run,55,0,55/0,"Madushanka to de Kock, no run",,"outside off, an elegant down-on-one-knee drill into the covers, but straight to the fielder this time. That was a handsome strike...",0
52,52,Quinton de Kock,379143,Lahiru Madushanka,428366,"Madushanka to de Kock, FOUR runs too short, choose your spot... QDK chooses backward square leg, and that is his 3000th ODI run! The third-fastest by a South African, and the fastest by a wicketkeeper. What a player",1st innings,Hashim Amla,43906,Lahiru Kumara,784375,8.4,four,59,4,59/0,"Madushanka to de Kock, FOUR runs",,"too short, choose your spot... QDK chooses backward square leg, and that is his 3000th ODI run! The third-fastest by a South African, and the fastest by a wicketkeeper. What a player",0
53,53,Quinton de Kock,379143,Lahiru Madushanka,428366,"Madushanka to de Kock, no run fuller length, drilled up to mid-on",1st innings,Hashim Amla,43906,Lahiru Kumara,784375,8.5,no run,59,0,59/0,"Madushanka to de Kock, no run",,"fuller length, drilled up to mid-on",0
54,54,Quinton de Kock,379143,Lahiru Madushanka,428366,"Madushanka to de Kock, 1 run tapped out to point, another single",1st innings,Hashim Amla,43906,Lahiru Kumara,784375,8.6,run,60,1,60/0,"Madushanka to de Kock, 1 run",,"tapped out to point, another single",0
55,55,Quinton de Kock,379143,Suranga Lakmal,49619,"Lakmal to de Kock, 1 run up on the toes, defended to the off side",1st innings,Hashim Amla,43906,Lahiru Madushanka,428366,9.1,run,61,1,61/0,"Lakmal to de Kock, 1 run",,"up on the toes, defended to the off side",0
56,56,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, 1 run on the pads and tucked into the gap at square leg. There should have been two there, but de Kock wasn't interested",1st innings,Quinton de Kock,379143,Lahiru Madushanka,428366,9.2,run,62,1,62/0,"Lakmal to Amla, 1 run",,"on the pads and tucked into the gap at square leg. There should have been two there, but de Kock wasn't interested",0
57,57,Quinton de Kock,379143,Suranga Lakmal,49619,"Lakmal to de Kock, FOUR runs width and panned through backward point. Where can you bowl at him when he's in the mood?",1st innings,Hashim Amla,43906,Lahiru Madushanka,428366,9.3,four,66,4,66/0,"Lakmal to de Kock, FOUR runs",,width and panned through backward point. Where can you bowl at him when he's in the mood?,0
58,58,Quinton de Kock,379143,Suranga Lakmal,49619,"Lakmal to de Kock, FOUR runs advances down the track to meet Lakmal's adjusted line and length outside off, and guided through the covers off the front foot. That is a gorgeously audacious stroke",1st innings,Hashim Amla,43906,Lahiru Madushanka,428366,9.4,four,70,4,70/0,"Lakmal to de Kock, FOUR runs",,"advances down the track to meet Lakmal's adjusted line and length outside off, and guided through the covers off the front foot. That is a gorgeously audacious stroke",0
59,59,Quinton de Kock,379143,Suranga Lakmal,49619,"Lakmal to de Kock, 1 run on the pads, tucked into the leg side",1st innings,Hashim Amla,43906,Lahiru Madushanka,428366,9.5,run,71,1,71/0,"Lakmal to de Kock, 1 run",,"on the pads, tucked into the leg side",0
60,60,Hashim Amla,43906,Suranga Lakmal,49619,"Lakmal to Amla, no run tighter line on off stump, with a hint of movement back into the right hander. Defended",1st innings,Quinton de Kock,379143,Lahiru Madushanka,428366,9.6,no run,71,0,71/0,"Lakmal to Amla, no run",,"tighter line on off stump, with a hint of movement back into the right hander. Defended",0
61,61,Quinton de Kock,379143,Dhananjaya de Silva,465793,"de Silva to de Kock, no run round the wicket, a probing length, an exploratory drive into the covers",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,10.1,no run,71,0,71/0,"de Silva to de Kock, no run",,"round the wicket, a probing length, an exploratory drive into the covers",0
62,62,Quinton de Kock,379143,Dhananjaya de Silva,465793,"de Silva to de Kock, 1 run leaning onto the front foot, 'one' is the call",1st innings,Hashim Amla,43906,Suranga Lakmal,49619,10.2,run,72,1,72/0,"de Silva to de Kock, 1 run",,"leaning onto the front foot, 'one' is the call",0
