,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,0,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, 1 wide starts off with a wide delivery outside off",1st innings,0.0,wide,1,1,1/0,"Finn to Gambhir, 1 wide",,starts off with a wide delivery outside off,0
1,1,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, no run another widish delivery outside off, the batsman leaves it alone, the keeper takes it low around his knees",1st innings,0.1,no run,1,0,1/0,"Finn to Gambhir, no run",,"another widish delivery outside off, the batsman leaves it alone, the keeper takes it low around his knees",0
2,2,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, no run beats the batsman with one that angles across. Gambhir doesn't come fully forward in his defence and the ball  goes past his outside edge",1st innings,0.2,no run,1,0,1/0,"Finn to Gambhir, no run",,beats the batsman with one that angles across. Gambhir doesn't come fully forward in his defence and the ball  goes past his outside edge,0
3,3,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, no run short of length delivery outside off, cuts back in to Gambhir a touch but safely left alone",1st innings,0.3,no run,1,0,1/0,"Finn to Gambhir, no run",,"short of length delivery outside off, cuts back in to Gambhir a touch but safely left alone",0
4,4,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, no run short of length, comes in to Gambhir who was leaving the  ball on length. It hits the handle of the bat and goes one bounce towards the slip cordon",1st innings,0.4,no run,1,0,1/0,"Finn to Gambhir, no run",,"short of length, comes in to Gambhir who was leaving the  ball on length. It hits the handle of the bat and goes one bounce towards the slip cordon",0
5,5,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, FOUR runs gets one on his pads and he easily flicks it past square leg for the first boundary of the day. That sped across the turf",1st innings,0.5,four,5,4,5/0,"Finn to Gambhir, FOUR runs",,gets one on his pads and he easily flicks it past square leg for the first boundary of the day. That sped across the turf,0
6,6,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, no run takes a big stride against a delivery that is angled across, left alone",1st innings,0.6,no run,5,0,5/0,"Finn to Gambhir, no run",,"takes a big stride against a delivery that is angled across, left alone",0
7,7,Rohit Sharma,34102,Tim Bresnan,9310,"Bresnan to RG Sharma, no run fuller length outside off, Rohit takes a stride forward and lets it go.",1st innings,1.1,no run,5,0,5/0,"Bresnan to RG Sharma, no run",,"fuller length outside off, Rohit takes a stride forward and lets it go.",0
8,8,Rohit Sharma,34102,Tim Bresnan,9310,"Bresnan to RG Sharma, no run another fuller delivery beats Rohit outside off. This time, instead of leaving the ball, Rohit tries to drive it. But he is not to the pitch of the ball",1st innings,1.2,no run,5,0,5/0,"Bresnan to RG Sharma, no run",,"another fuller delivery beats Rohit outside off. This time, instead of leaving the ball, Rohit tries to drive it. But he is not to the pitch of the ball",0
9,9,Rohit Sharma,34102,Tim Bresnan,9310,"Bresnan to RG Sharma, no run same length, same line wide outside off, left alone",1st innings,1.3,no run,5,0,5/0,"Bresnan to RG Sharma, no run",,"same length, same line wide outside off, left alone",0
10,10,Rohit Sharma,34102,Tim Bresnan,9310,"Bresnan to RG Sharma, no run length ball angling in to Rohit, he takes a forward stride and defends that to the leg side",1st innings,1.4,no run,5,0,5/0,"Bresnan to RG Sharma, no run",,"length ball angling in to Rohit, he takes a forward stride and defends that to the leg side",0
11,11,Rohit Sharma,34102,Tim Bresnan,9310,"Bresnan to RG Sharma, no run seams away after pitching outside off on a length, left alone",1st innings,1.5,no run,5,0,5/0,"Bresnan to RG Sharma, no run",,"seams away after pitching outside off on a length, left alone",0
12,12,Rohit Sharma,34102,Tim Bresnan,9310,"Bresnan to RG Sharma, FOUR runs languid elegance as Rohit comes forward to the pitched up delivery outside off and crunches a square drive through the gap on off",1st innings,1.6,four,9,4,9/0,"Bresnan to RG Sharma, FOUR runs",,languid elegance as Rohit comes forward to the pitched up delivery outside off and crunches a square drive through the gap on off,0
13,13,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, no run length ball outside off, carries on with the angle, left alone",1st innings,2.1,no run,9,0,9/0,"Finn to Gambhir, no run",,"length ball outside off, carries on with the angle, left alone",0
14,14,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, no run gets squared up by a ball that cuts away after pitching on the pads, leading edge goes towards point",1st innings,2.2,no run,9,0,9/0,"Finn to Gambhir, no run",,"gets squared up by a ball that cuts away after pitching on the pads, leading edge goes towards point",0
15,15,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, no run fuller length on off, beats Gambhir's forward prod as he doesn't really take a big stride",1st innings,2.3,no run,9,0,9/0,"Finn to Gambhir, no run",,"fuller length on off, beats Gambhir's forward prod as he doesn't really take a big stride",0
16,16,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, no run short of length, angled across the batsman, Gambhir shoulders arms",1st innings,2.4,no run,9,0,9/0,"Finn to Gambhir, no run",,"short of length, angled across the batsman, Gambhir shoulders arms",0
17,17,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, FOUR runs gets a shortish delivery around off stump, and he cuts it hard over point off the back foot for a one-bounce four",1st innings,2.5,four,13,4,13/0,"Finn to Gambhir, FOUR runs",,"gets a shortish delivery around off stump, and he cuts it hard over point off the back foot for a one-bounce four",0
18,18,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, no run length ball just outside off, goes on with the angle, batsman lets it go through to the keeper",1st innings,2.6,no run,13,0,13/0,"Finn to Gambhir, no run",,"length ball just outside off, goes on with the angle, batsman lets it go through to the keeper",0
19,19,Rohit Sharma,34102,Tim Bresnan,9310,"Bresnan to RG Sharma, no run fuller length ball on off stump, Rohit comes forward and defends it to cover point",1st innings,3.1,no run,13,0,13/0,"Bresnan to RG Sharma, no run",,"fuller length ball on off stump, Rohit comes forward and defends it to cover point",0
20,20,Rohit Sharma,34102,Tim Bresnan,9310,"Bresnan to RG Sharma, no run length ball on off, Rohit comes forward and defends it towards off with an open face",1st innings,3.2,no run,13,0,13/0,"Bresnan to RG Sharma, no run",,"length ball on off, Rohit comes forward and defends it towards off with an open face",0
21,21,Rohit Sharma,34102,Tim Bresnan,9310,"Bresnan to RG Sharma, OUT <strong>caught at second slip!</strong> So the success rate of experiment with Rohit opening has come down to 50%. It was floated outside off and Rohit attempted to drive while not really taking a big stride forward. The edge flies at a comfortable height to the right of second slip",1st innings,3.3,out,13,0,13/1,"Bresnan to RG Sharma, OUT",,<strong>caught at second slip!</strong> So the success rate of experiment with Rohit opening has come down to 50%. It was floated outside off and Rohit attempted to drive while not really taking a big stride forward. The edge flies at a comfortable height to the right of second slip,1
22,22,Virat Kohli,253802,Tim Bresnan,9310,"Bresnan to Kohli, OUT <strong>caught at second slip!</strong> Action replay of the previous ball! Entices the new man with a floated delivery outside off, gets some away movement and Kohli, who went for the drive, edges it to Tredwell at second slip, this time to his left. Tredwell juggles it a few times before completing the catch.",1st innings,3.4,out,13,0,13/2,"Bresnan to Kohli, OUT",,"<strong>caught at second slip!</strong> Action replay of the previous ball! Entices the new man with a floated delivery outside off, gets some away movement and Kohli, who went for the drive, edges it to Tredwell at second slip, this time to his left. Tredwell juggles it a few times before completing the catch.",2
23,23,Yuvraj Singh,36084,Tim Bresnan,9310,"Bresnan to Yuvraj Singh, no run oh he was late to pick that one. Fuller length delivery on the middle, swings in to Yuvraj who stays in the crease and bring the bat down in time to defend that",1st innings,3.5,no run,13,0,13/2,"Bresnan to Yuvraj Singh, no run",,"oh he was late to pick that one. Fuller length delivery on the middle, swings in to Yuvraj who stays in the crease and bring the bat down in time to defend that",2
24,24,Yuvraj Singh,36084,Tim Bresnan,9310,"Bresnan to Yuvraj Singh, no run short of length, darts away from the batsman. Yuvraj left that ball, but he didn't read the movement there",1st innings,3.6,no run,13,0,13/2,"Bresnan to Yuvraj Singh, no run",,"short of length, darts away from the batsman. Yuvraj left that ball, but he didn't read the movement there",2
25,25,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, no run short of length, angles across Gambhir, left alone to the keeper",1st innings,4.1,no run,13,0,13/2,"Finn to Gambhir, no run",,"short of length, angles across Gambhir, left alone to the keeper",2
26,26,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, no run 138 kph, short of length ball outside off, another one left alone",1st innings,4.2,no run,13,0,13/2,"Finn to Gambhir, no run",,"138 kph, short of length ball outside off, another one left alone",2
27,27,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, no run length ball on off stump, Gambhir comes forward and defends it towards the off side",1st innings,4.3,no run,13,0,13/2,"Finn to Gambhir, no run",,"length ball on off stump, Gambhir comes forward and defends it towards the off side",2
28,28,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, no run he keeps it accurate around off. It is short of length and Gambhir shoulders arms",1st innings,4.4,no run,13,0,13/2,"Finn to Gambhir, no run",,he keeps it accurate around off. It is short of length and Gambhir shoulders arms,2
29,29,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, no run length ball around off stump, cuts a touch into the batsman, left alone outside off",1st innings,4.5,no run,13,0,13/2,"Finn to Gambhir, no run",,"length ball around off stump, cuts a touch into the batsman, left alone outside off",2
30,30,Gautam Gambhir,28763,Steven Finn,210283,"Finn to Gambhir, 1 run short ball on the body, Gambhir fends it away awkwardly towards short fine and takes a single",1st innings,4.6,run,14,1,14/2,"Finn to Gambhir, 1 run",,"short ball on the body, Gambhir fends it away awkwardly towards short fine and takes a single",2
31,31,Gautam Gambhir,28763,Tim Bresnan,9310,"Bresnan to Gambhir, no run length ball outside off, Gambhir comes forward and drives it to mid-off",1st innings,5.1,no run,14,0,14/2,"Bresnan to Gambhir, no run",,"length ball outside off, Gambhir comes forward and drives it to mid-off",2
32,32,Gautam Gambhir,28763,Tim Bresnan,9310,"Bresnan to Gambhir, FOUR runs length ball with some width outside off, Gambhir stays in the crease and cracks it through cover point",1st innings,5.2,four,18,4,18/2,"Bresnan to Gambhir, FOUR runs",,"length ball with some width outside off, Gambhir stays in the crease and cracks it through cover point",2
33,33,Gautam Gambhir,28763,Tim Bresnan,9310,"Bresnan to Gambhir, no run fuller length delivery angling away from the batsman, left alone by the batsman",1st innings,5.3,no run,18,0,18/2,"Bresnan to Gambhir, no run",,"fuller length delivery angling away from the batsman, left alone by the batsman",2
34,34,Gautam Gambhir,28763,Tim Bresnan,9310,"Bresnan to Gambhir, FOUR runs fuller length, closer to the stumps this time and Gambhir takes a forward stride and drives it straight down the ground. As beautiful as any shot",1st innings,5.4,four,22,4,22/2,"Bresnan to Gambhir, FOUR runs",,"fuller length, closer to the stumps this time and Gambhir takes a forward stride and drives it straight down the ground. As beautiful as any shot",2
