,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,otherBowler,otherBowler_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Jason Roy,298438,Mitchell Starc,311592,"Starc to Roy, no run starts over the wicket to the right-handed Roy, length ball, pushed quite wide and left alone",1st innings,Alex Hales,249866,,,0.1,no run,0,0,0/0,"Starc to Roy, no run",,"starts over the wicket to the right-handed Roy, length ball, pushed quite wide and left alone",0
1,2,Jason Roy,298438,Mitchell Starc,311592,"Starc to Roy, no run tighter to the stumps and shaping back a fraction at 88mph, Roy again watches it by",1st innings,Alex Hales,249866,,,0.2,no run,0,0,0/0,"Starc to Roy, no run",,"tighter to the stumps and shaping back a fraction at 88mph, Roy again watches it by",0
2,3,Jason Roy,298438,Mitchell Starc,311592,"Starc to Roy, no run stuck on the crease and hit on the pads, probably beaten for pace there but the ball was a little high",1st innings,Alex Hales,249866,,,0.3,no run,0,0,0/0,"Starc to Roy, no run",,"stuck on the crease and hit on the pads, probably beaten for pace there but the ball was a little high",0
3,4,Jason Roy,298438,Mitchell Starc,311592,"Starc to Roy, no run pitched up and Roy leans into a drive, doesn't middle it and the ball rolls to cover",1st innings,Alex Hales,249866,,,0.4,no run,0,0,0/0,"Starc to Roy, no run",,"pitched up and Roy leans into a drive, doesn't middle it and the ball rolls to cover",0
4,4,Jason Roy,298438,Mitchell Starc,311592,"Starc to Roy, 1 wide back of a length, this veers away as Roy thinks about chasing it... and then lets the umpire do his run-scoring for him",1st innings,Alex Hales,249866,,,0.4,wide,1,1,1/0,"Starc to Roy, 1 wide",,"back of a length, this veers away as Roy thinks about chasing it... and then lets the umpire do his run-scoring for him",0
5,5,Jason Roy,298438,Mitchell Starc,311592,"Starc to Roy, no run on the stumps, touch full and Roy dabs it towards midwicket from the crease",1st innings,Alex Hales,249866,,,0.5,no run,1,0,1/0,"Starc to Roy, no run",,"on the stumps, touch full and Roy dabs it towards midwicket from the crease",0
6,6,Jason Roy,298438,Mitchell Starc,311592,"Starc to Roy, no run pitched up outside off stump, watches it under his nose and pushes into the covers, again finds the fielder",1st innings,Alex Hales,249866,,,0.6,no run,1,0,1/0,"Starc to Roy, no run",,"pitched up outside off stump, watches it under his nose and pushes into the covers, again finds the fielder",0
7,7,Alex Hales,249866,James Pattinson,272465,"Pattinson to Hales, no run good pace to begin with, 89mph back of a length outside off, defended on the back foot",1st innings,Jason Roy,298438,Mitchell Starc,311592,1.1,no run,1,0,1/0,"Pattinson to Hales, no run",,"good pace to begin with, 89mph back of a length outside off, defended on the back foot",0
8,7,Alex Hales,249866,James Pattinson,272465,"Pattinson to Hales, 1 wide full length and swinging away, that's gone too far",1st innings,Jason Roy,298438,Mitchell Starc,311592,1.1,wide,2,1,2/0,"Pattinson to Hales, 1 wide",,"full length and swinging away, that's gone too far",0
9,8,Alex Hales,249866,James Pattinson,272465,"Pattinson to Hales, no run swing and pace again, 92mph and Hales is late on it, scrapes the toe end of the bat and bobbles toward slip",1st innings,Jason Roy,298438,Mitchell Starc,311592,1.2,no run,2,0,2/0,"Pattinson to Hales, no run",,"swing and pace again, 92mph and Hales is late on it, scrapes the toe end of the bat and bobbles toward slip",0
