,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Ed Joyce,24249,Rubel Hossain,300619,"Rubel Hossain to Joyce, no run on legstump to start from Rubel, gets some bat and defends into the legside",1st innings,0.1,no run,0,0,0/0,"Rubel Hossain to Joyce, no run",,"on legstump to start from Rubel, gets some bat and defends into the legside",0
1,2,Ed Joyce,24249,Rubel Hossain,300619,"Rubel Hossain to Joyce, no run swings back in after passing the stumps, goes through to the keeper",1st innings,0.2,no run,0,0,0/0,"Rubel Hossain to Joyce, no run",,"swings back in after passing the stumps, goes through to the keeper",0
2,3,Ed Joyce,24249,Rubel Hossain,300619,"Rubel Hossain to Joyce, no run wide of off-stump, cuts the ball into the covers",1st innings,0.3,no run,0,0,0/0,"Rubel Hossain to Joyce, no run",,"wide of off-stump, cuts the ball into the covers",0
3,4,Ed Joyce,24249,Rubel Hossain,300619,"Rubel Hossain to Joyce, no run quite nippy here this morning from Rubel, good length ball and Joyce trusts its going over the stumps, it does",1st innings,0.4,no run,0,0,0/0,"Rubel Hossain to Joyce, no run",,"quite nippy here this morning from Rubel, good length ball and Joyce trusts its going over the stumps, it does",0
4,5,Ed Joyce,24249,Rubel Hossain,300619,"Rubel Hossain to Joyce, no run gets onto the front foot and defends the ball back up the pitch",1st innings,0.5,no run,0,0,0/0,"Rubel Hossain to Joyce, no run",,gets onto the front foot and defends the ball back up the pitch,0
5,6,Ed Joyce,24249,Rubel Hossain,300619,"Rubel Hossain to Joyce, no run good first over for Rubel, its a full ball driven up to mid-off. Maiden for the bowler",1st innings,1.0,no run,0,0,0/0,"Rubel Hossain to Joyce, no run",,"good first over for Rubel, its a full ball driven up to mid-off. Maiden for the bowler",0
6,7,Paul Stirling,303427,Mustafizur Rahman,330902,"Mustafizur Rahman to Stirling, no run gets the ball to start swinging into Stirling, gets onto the front foot and defends back to the bowler",1st innings,1.1,no run,0,0,0/0,"Mustafizur Rahman to Stirling, no run",,"gets the ball to start swinging into Stirling, gets onto the front foot and defends back to the bowler",0
7,8,Paul Stirling,303427,Mustafizur Rahman,330902,"Mustafizur Rahman to Stirling, no run , another inswinger, Stirling turns the ball into the on-side and short mid-wicket fields",1st innings,1.2,no run,0,0,0/0,"Mustafizur Rahman to Stirling, no run",,", another inswinger, Stirling turns the ball into the on-side and short mid-wicket fields",0
8,9,Paul Stirling,303427,Mustafizur Rahman,330902,"Mustafizur Rahman to Stirling, OUT its wide outside off-stump and Stirling edges the ball to short third man. Dangerous Stirling is gone for a duck!",1st innings,1.3,out,0,0,0/1,"Mustafizur Rahman to Stirling, OUT",,its wide outside off-stump and Stirling edges the ball to short third man. Dangerous Stirling is gone for a duck!,1
9,10,William Porterfield,24611,Mustafizur Rahman,330902,"Mustafizur Rahman to Porterfield, no run gets forward and defends from the crease",1st innings,1.4,no run,0,0,0/1,"Mustafizur Rahman to Porterfield, no run",,gets forward and defends from the crease,1
10,11,William Porterfield,24611,Mustafizur Rahman,330902,"Mustafizur Rahman to Porterfield, no run full ball from the bowler, gets the bat down to block it out",1st innings,1.5,no run,0,0,0/1,"Mustafizur Rahman to Porterfield, no run",,"full ball from the bowler, gets the bat down to block it out",1
11,12,William Porterfield,24611,Mustafizur Rahman,330902,"Mustafizur Rahman to Porterfield, no run wicket Maiden for the bowler as another ball gets defended back down the pitch",1st innings,2.0,no run,0,0,0/1,"Mustafizur Rahman to Porterfield, no run",,wicket Maiden for the bowler as another ball gets defended back down the pitch,1
12,13,Ed Joyce,24249,Rubel Hossain,300619,"Rubel Hossain to Joyce, no run outside off-stump and left alone by the batsman",1st innings,2.1,no run,0,0,0/1,"Rubel Hossain to Joyce, no run",,outside off-stump and left alone by the batsman,1
13,14,Ed Joyce,24249,Rubel Hossain,300619,"Rubel Hossain to Joyce, no run stays in the crease and defends the ball again, no risk cricket here from Joyce",1st innings,2.2,no run,0,0,0/1,"Rubel Hossain to Joyce, no run",,"stays in the crease and defends the ball again, no risk cricket here from Joyce",1
14,15,Ed Joyce,24249,Rubel Hossain,300619,"Rubel Hossain to Joyce, 1 run first run of the morning, clips off the pads down to long leg",1st innings,2.3,run,1,1,1/1,"Rubel Hossain to Joyce, 1 run",,"first run of the morning, clips off the pads down to long leg",1
15,16,William Porterfield,24611,Rubel Hossain,300619,"Rubel Hossain to Porterfield, no run outside off-stump and left alone again",1st innings,2.4,no run,1,0,1/1,"Rubel Hossain to Porterfield, no run",,outside off-stump and left alone again,1
16,16,William Porterfield,24611,Rubel Hossain,300619,"Rubel Hossain to Porterfield, 1 wide goes down the legside and the score for Ireland doubles",1st innings,2.4,wide,2,1,2/1,"Rubel Hossain to Porterfield, 1 wide",,goes down the legside and the score for Ireland doubles,1
17,17,William Porterfield,24611,Rubel Hossain,300619,"Rubel Hossain to Porterfield, no run outside off-stump again and its through to the keeper",1st innings,2.5,no run,2,0,2/1,"Rubel Hossain to Porterfield, no run",,outside off-stump again and its through to the keeper,1
18,18,William Porterfield,24611,Rubel Hossain,300619,"Rubel Hossain to Porterfield, no run another ball outside off-stump and it doesn't trouble the batsman",1st innings,3.0,no run,2,0,2/1,"Rubel Hossain to Porterfield, no run",,another ball outside off-stump and it doesn't trouble the batsman,1
19,19,Ed Joyce,24249,Mustafizur Rahman,330902,"Mustafizur Rahman to Joyce, no run outside off-stump and its left well along again",1st innings,3.1,no run,2,0,2/1,"Mustafizur Rahman to Joyce, no run",,outside off-stump and its left well along again,1
20,20,Ed Joyce,24249,Mustafizur Rahman,330902,"Mustafizur Rahman to Joyce, no run gets onto the front foot and defends",1st innings,3.2,no run,2,0,2/1,"Mustafizur Rahman to Joyce, no run",,gets onto the front foot and defends,1
21,21,Ed Joyce,24249,Mustafizur Rahman,330902,"Mustafizur Rahman to Joyce, 3 runs clips the ball through square leg and it slows up just before the rope",1st innings,3.3,run,5,3,5/1,"Mustafizur Rahman to Joyce, 3 runs",,clips the ball through square leg and it slows up just before the rope,1
22,21,William Porterfield,24611,Mustafizur Rahman,330902,"Mustafizur Rahman to Porterfield, 1 wide goes down the legside again",1st innings,3.3,wide,6,1,6/1,"Mustafizur Rahman to Porterfield, 1 wide",,goes down the legside again,1
23,21,William Porterfield,24611,Mustafizur Rahman,330902,"Mustafizur Rahman to Porterfield, 1 wide and again down the legside",1st innings,3.3,wide,7,1,7/1,"Mustafizur Rahman to Porterfield, 1 wide",,and again down the legside,1
24,22,William Porterfield,24611,Mustafizur Rahman,330902,"Mustafizur Rahman to Porterfield, 3 runs hits the ball in the air over the top of square leg, outfield looks quite slow and it stops just before the rope",1st innings,3.4,run,10,3,10/1,"Mustafizur Rahman to Porterfield, 3 runs",,"hits the ball in the air over the top of square leg, outfield looks quite slow and it stops just before the rope",1
25,23,Ed Joyce,24249,Mustafizur Rahman,330902,"Mustafizur Rahman to Joyce, 2 runs Clipped down to Shakib at wide long leg, he has a long way to run and they come back for the second",1st innings,3.5,run,12,2,12/1,"Mustafizur Rahman to Joyce, 2 runs",,"Clipped down to Shakib at wide long leg, he has a long way to run and they come back for the second",1
26,24,Ed Joyce,24249,Mustafizur Rahman,330902,"Mustafizur Rahman to Joyce, no run gets forward and defends the ball back up the pitch",1st innings,4.0,no run,12,0,12/1,"Mustafizur Rahman to Joyce, no run",,gets forward and defends the ball back up the pitch,1
27,25,William Porterfield,24611,Rubel Hossain,300619,"Rubel Hossain to Porterfield, no run big grunt of effort from Rubel, Porterfield gets onto the front foot and defends the ball again",1st innings,4.1,no run,12,0,12/1,"Rubel Hossain to Porterfield, no run",,"big grunt of effort from Rubel, Porterfield gets onto the front foot and defends the ball again",1
28,26,William Porterfield,24611,Rubel Hossain,300619,"Rubel Hossain to Porterfield, 1 leg bye looks to clip the ball into the legside again, gets beaten for pace and hits the thigh pad. Goes down to long leg",1st innings,4.2,leg bye,13,1,13/1,"Rubel Hossain to Porterfield, 1 leg bye",,"looks to clip the ball into the legside again, gets beaten for pace and hits the thigh pad. Goes down to long leg",1
29,27,Ed Joyce,24249,Rubel Hossain,300619,"Rubel Hossain to Joyce, 1 run quick running there from Joyce, defends the ball down in from of Cover and sets off for the run. First run on the off-side",1st innings,4.3,run,14,1,14/1,"Rubel Hossain to Joyce, 1 run",,"quick running there from Joyce, defends the ball down in from of Cover and sets off for the run. First run on the off-side",1
30,28,William Porterfield,24611,Rubel Hossain,300619,"Rubel Hossain to Porterfield, FOUR runs another ball on legstump, Porterfield gets a little tickle on the ball and takes it fine past the keeper",1st innings,4.4,four,18,4,18/1,"Rubel Hossain to Porterfield, FOUR runs",,"another ball on legstump, Porterfield gets a little tickle on the ball and takes it fine past the keeper",1
31,29,William Porterfield,24611,Rubel Hossain,300619,"Rubel Hossain to Porterfield, no run angled across the left-handed Porterfield, swings back in after it passes the stumps",1st innings,4.5,no run,18,0,18/1,"Rubel Hossain to Porterfield, no run",,"angled across the left-handed Porterfield, swings back in after it passes the stumps",1
