,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,0,Tamim Iqbal,56194,Mark Jonkman,245397,"Jonkman to Tamim Iqbal, 3 wides down the leg-side and the keeper can't gather it",1st innings,,,0.0,wide,3,3,3/0,"Jonkman to Tamim Iqbal, 3 wides",,down the leg-side and the keeper can't gather it,0
1,0,Tamim Iqbal,56194,Mark Jonkman,245397,"Jonkman to Tamim Iqbal, (no ball) 1 run no ball given for height and blocked away off his chest to third man",1st innings,,,0.0,run,5,2,5/0,"Jonkman to Tamim Iqbal, (no ball) 1 run",,no ball given for height and blocked away off his chest to third man,0
2,1,Imrul Kayes,280734,Mark Jonkman,245397,"Jonkman to Imrul Kayes, 1 run single down to third man",1st innings,,,0.1,run,6,1,6/0,"Jonkman to Imrul Kayes, 1 run",,single down to third man,0
3,2,Tamim Iqbal,56194,Mark Jonkman,245397,"Jonkman to Tamim Iqbal, 1 run single to the deep square boundary",1st innings,,,0.2,run,7,1,7/0,"Jonkman to Tamim Iqbal, 1 run",,single to the deep square boundary,0
4,3,Imrul Kayes,280734,Mark Jonkman,245397,"Jonkman to Imrul Kayes, FOUR runs great cover drive splits the field",1st innings,,,0.3,four,11,4,11/0,"Jonkman to Imrul Kayes, FOUR runs",,great cover drive splits the field,0
5,4,Imrul Kayes,280734,Mark Jonkman,245397,"Jonkman to Imrul Kayes, 1 run single down to long-on",1st innings,,,0.4,run,12,1,12/0,"Jonkman to Imrul Kayes, 1 run",,single down to long-on,0
6,5,Tamim Iqbal,56194,Mark Jonkman,245397,"Jonkman to Tamim Iqbal, no run blocked back to the bowler",1st innings,,,0.5,no run,12,0,12/0,"Jonkman to Tamim Iqbal, no run",,blocked back to the bowler,0
7,6,Tamim Iqbal,56194,Mark Jonkman,245397,"Jonkman to Tamim Iqbal, no run swing and a miss",1st innings,Imrul Kayes,280734,1.0,no run,12,0,12/0,"Jonkman to Tamim Iqbal, no run",,swing and a miss,0
8,7,Imrul Kayes,280734,Mudassar Bukhari,245166,"Mudassar Bukhari to Imrul Kayes, 1 run flicked in to the on-side",1st innings,,,1.1,run,13,1,13/0,"Mudassar Bukhari to Imrul Kayes, 1 run",,flicked in to the on-side,0
9,8,Tamim Iqbal,56194,Mudassar Bukhari,245166,"Mudassar Bukhari to Tamim Iqbal, OUT goes flashing at a wider ball but can't quite judge the flight of the ball and just edged it through to the keeper",1st innings,Imrul Kayes,280734,1.2,out,13,0,13/1,"Mudassar Bukhari to Tamim Iqbal, OUT",,goes flashing at a wider ball but can't quite judge the flight of the ball and just edged it through to the keeper,1
