,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,otherBowler,otherBowler_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Shane Watson,8180,Kyle Mills,37740,"Mills to Watson, no run begins on a length, just outside off, Watson well forward to defend",1st innings,Matthew Wade,230193,,,0.1,no run,0,0,0/0,"Mills to Watson, no run",,"begins on a length, just outside off, Watson well forward to defend",0
1,2,Shane Watson,8180,Kyle Mills,37740,"Mills to Watson, no run leg-side half-volley, but flicked straight to square leg",1st innings,Matthew Wade,230193,,,0.2,no run,0,0,0/0,"Mills to Watson, no run",,"leg-side half-volley, but flicked straight to square leg",0
2,3,Shane Watson,8180,Kyle Mills,37740,"Mills to Watson, no run another full ball into the pads, driven straight to mid-on",1st innings,Matthew Wade,230193,,,0.3,no run,0,0,0/0,"Mills to Watson, no run",,"another full ball into the pads, driven straight to mid-on",0
3,4,Shane Watson,8180,Kyle Mills,37740,"Mills to Watson, 1 run short of a length, outside off, dabbed away to third man for one",1st innings,Matthew Wade,230193,,,0.4,run,1,1,1/0,"Mills to Watson, 1 run",,"short of a length, outside off, dabbed away to third man for one",0
4,5,Matthew Wade,230193,Kyle Mills,37740,"Mills to Wade, no run length ball, outside off, no movement. Left alone",1st innings,Shane Watson,8180,,,0.5,no run,1,0,1/0,"Mills to Wade, no run",,"length ball, outside off, no movement. Left alone",0
5,6,Matthew Wade,230193,Kyle Mills,37740,"Mills to Wade, no run short of a length, on off, angling away, defended off the back foot",1st innings,Shane Watson,8180,,,0.6,no run,1,0,1/0,"Mills to Wade, no run",,"short of a length, on off, angling away, defended off the back foot",0
6,7,Shane Watson,8180,Mitchell McClenaghan,319439,"McClenaghan to Watson, no run full and straight, defended",1st innings,Matthew Wade,230193,Kyle Mills,37740,1.1,no run,1,0,1/0,"McClenaghan to Watson, no run",,"full and straight, defended",0
7,8,Shane Watson,8180,Mitchell McClenaghan,319439,"McClenaghan to Watson, FOUR runs full, on off, presses forward and nicely pushes this between the bowler and mid-off",1st innings,Matthew Wade,230193,Kyle Mills,37740,1.2,four,5,4,5/0,"McClenaghan to Watson, FOUR runs",,"full, on off, presses forward and nicely pushes this between the bowler and mid-off",0
8,9,Shane Watson,8180,Mitchell McClenaghan,319439,"McClenaghan to Watson, OUT McClenaghan strikes early again. Watson goes. Slight short of driving length, Watson pushes at it away from the body, and tentatively. The angle takes the edge, and Australia's own Luke Ronchi takes the catch",1st innings,Matthew Wade,230193,Kyle Mills,37740,1.3,out,5,0,5/1,"McClenaghan to Watson, OUT",,"McClenaghan strikes early again. Watson goes. Slight short of driving length, Watson pushes at it away from the body, and tentatively. The angle takes the edge, and Australia's own Luke Ronchi takes the catch",1
9,10,Phillip Hughes,272364,Mitchell McClenaghan,319439,"McClenaghan to Hughes, no run drives hard at a wide length ball, is hit on the inside half of the bat. It falls short of midwicket",1st innings,Matthew Wade,230193,Kyle Mills,37740,1.4,no run,5,0,5/1,"McClenaghan to Hughes, no run",,"drives hard at a wide length ball, is hit on the inside half of the bat. It falls short of midwicket",1
