,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,otherBowler,otherBowler_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Noor Ali Zadran,318340,Tinashe Panyangara,55705,"Panyangara to Noor Ali Zadran, no run a hint of wobble, away from the bat, to start, and a length delivery is nudged to extra cover",1st innings,,,,,0.1,no run,0,0,0/0,"Panyangara to Noor Ali Zadran, no run",,"a hint of wobble, away from the bat, to start, and a length delivery is nudged to extra cover",0
1,2,Noor Ali Zadran,318340,Tinashe Panyangara,55705,"Panyangara to Noor Ali Zadran, FOUR runs outswinger again from Panyangara, but it's too short and too wide and sits up outside off to be powerfully cut away behind point",1st innings,,,,,0.2,four,4,4,4/0,"Panyangara to Noor Ali Zadran, FOUR runs",,"outswinger again from Panyangara, but it's too short and too wide and sits up outside off to be powerfully cut away behind point",0
2,3,Noor Ali Zadran,318340,Tinashe Panyangara,55705,"Panyangara to Noor Ali Zadran, 1 run now this one snakes in through the air, but it's picked off the pads for a single to square leg.",1st innings,,,,,0.3,run,5,1,5/0,"Panyangara to Noor Ali Zadran, 1 run",,"now this one snakes in through the air, but it's picked off the pads for a single to square leg.",0
3,4,Mohammad Shahzad,419873,Tinashe Panyangara,55705,"Panyangara to Mohammad Shahzad, 1 run some extra bounce off a length, and the ball is fended one-handed into the leg side to get Shahzad off the mark",1st innings,Noor Ali Zadran,318340,,,0.4,run,6,1,6/0,"Panyangara to Mohammad Shahzad, 1 run",,"some extra bounce off a length, and the ball is fended one-handed into the leg side to get Shahzad off the mark",0
4,5,Noor Ali Zadran,318340,Tinashe Panyangara,55705,"Panyangara to Noor Ali Zadran, no run an outswinger is left well alone. It was up there to drive but the batsman couldn't be tempted.",1st innings,Mohammad Shahzad,419873,,,0.5,no run,6,0,6/0,"Panyangara to Noor Ali Zadran, no run",,an outswinger is left well alone. It was up there to drive but the batsman couldn't be tempted.,0
5,6,Noor Ali Zadran,318340,Tinashe Panyangara,55705,"Panyangara to Noor Ali Zadran, no run sharp end to the over, another outswinger fizzing past the outside edge of a defensive bat",1st innings,Mohammad Shahzad,419873,,,1.0,no run,6,0,6/0,"Panyangara to Noor Ali Zadran, no run",,"sharp end to the over, another outswinger fizzing past the outside edge of a defensive bat",0
6,7,Mohammad Shahzad,419873,Luke Jongwe,541224,"Jongwe to Mohammad Shahzad, FOUR runs dismissive! Jongwe slung down a bouncer to start, but Shahzad was back and across in a flash to hook it to fine leg. Didn't bother to keep it down",1st innings,Noor Ali Zadran,318340,Tinashe Panyangara,55705,1.1,four,10,4,10/0,"Jongwe to Mohammad Shahzad, FOUR runs",,"dismissive! Jongwe slung down a bouncer to start, but Shahzad was back and across in a flash to hook it to fine leg. Didn't bother to keep it down",0
7,8,Mohammad Shahzad,419873,Luke Jongwe,541224,"Jongwe to Mohammad Shahzad, FOUR runs four more! Shahzad leaps up on one leg to flay another short ball through point this time",1st innings,Noor Ali Zadran,318340,Tinashe Panyangara,55705,1.2,four,14,4,14/0,"Jongwe to Mohammad Shahzad, FOUR runs",,four more! Shahzad leaps up on one leg to flay another short ball through point this time,0
8,9,Mohammad Shahzad,419873,Luke Jongwe,541224,"Jongwe to Mohammad Shahzad, no run a better length from Jongwe, and the ball is nudged to mid on.",1st innings,Noor Ali Zadran,318340,Tinashe Panyangara,55705,1.3,no run,14,0,14/0,"Jongwe to Mohammad Shahzad, no run",,"a better length from Jongwe, and the ball is nudged to mid on.",0
9,10,Mohammad Shahzad,419873,Luke Jongwe,541224,"Jongwe to Mohammad Shahzad, 1 run flicked off the pads to deep midwicket for one.",1st innings,Noor Ali Zadran,318340,Tinashe Panyangara,55705,1.4,run,15,1,15/0,"Jongwe to Mohammad Shahzad, 1 run",,flicked off the pads to deep midwicket for one.,0
