,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Paul Stirling,303427,Mark Jonkman,245397,"Jonkman to Stirling, no run off the inside edge to square leg",1st innings,,,0.1,no run,0,0,0/0,"Jonkman to Stirling, no run",,off the inside edge to square leg,0
1,2,Paul Stirling,303427,Mark Jonkman,245397,"Jonkman to Stirling, no run comes forward and defends it to point",1st innings,,,0.2,no run,0,0,0/0,"Jonkman to Stirling, no run",,comes forward and defends it to point,0
2,3,Paul Stirling,303427,Mark Jonkman,245397,"Jonkman to Stirling, no run outside the off stump and left all alonee",1st innings,,,0.3,no run,0,0,0/0,"Jonkman to Stirling, no run",,outside the off stump and left all alonee,0
3,4,Paul Stirling,303427,Mark Jonkman,245397,"Jonkman to Stirling, no run defends it off the back foot onto the pitch",1st innings,,,0.4,no run,0,0,0/0,"Jonkman to Stirling, no run",,defends it off the back foot onto the pitch,0
4,5,Paul Stirling,303427,Mark Jonkman,245397,"Jonkman to Stirling, no run beats the outside edge with a short ball on the off stump",1st innings,,,0.5,no run,0,0,0/0,"Jonkman to Stirling, no run",,beats the outside edge with a short ball on the off stump,0
5,6,Paul Stirling,303427,Mark Jonkman,245397,"Jonkman to Stirling, no run comes forward and defends it to cover",1st innings,James Hall,232730,1.0,no run,0,0,0/0,"Jonkman to Stirling, no run",,comes forward and defends it to cover,0
6,7,Paul Stirling,303427,Adeel Raja,24978,"Adeel Raja to Stirling, no run ",1st innings,,,1.1,no run,0,0,0/0,"Adeel Raja to Stirling, no run",,,0
7,8,Paul Stirling,303427,Adeel Raja,24978,"Adeel Raja to Stirling, 1 run ",1st innings,,,1.2,run,1,1,1/0,"Adeel Raja to Stirling, 1 run",,,0
8,9,Andy Balbirnie,303423,Adeel Raja,24978,"Adeel Raja to Balbirnie, no run ",1st innings,,,1.3,no run,1,0,1/0,"Adeel Raja to Balbirnie, no run",,,0
9,10,Andy Balbirnie,303423,Adeel Raja,24978,"Adeel Raja to Balbirnie, no run ",1st innings,,,1.4,no run,1,0,1/0,"Adeel Raja to Balbirnie, no run",,,0
10,11,Andy Balbirnie,303423,Adeel Raja,24978,"Adeel Raja to Balbirnie, no run ",1st innings,,,1.5,no run,1,0,1/0,"Adeel Raja to Balbirnie, no run",,,0
11,12,Andy Balbirnie,303423,Adeel Raja,24978,"Adeel Raja to Balbirnie, no run ",1st innings,Paul Stirling,303427,2.0,no run,1,0,1/0,"Adeel Raja to Balbirnie, no run",,,0
12,13,Paul Stirling,303427,Mark Jonkman,245397,"Jonkman to Stirling, no run ",1st innings,,,2.1,no run,1,0,1/0,"Jonkman to Stirling, no run",,,0
13,14,Paul Stirling,303427,Mark Jonkman,245397,"Jonkman to Stirling, no run ",1st innings,,,2.2,no run,1,0,1/0,"Jonkman to Stirling, no run",,,0
14,15,Paul Stirling,303427,Mark Jonkman,245397,"Jonkman to Stirling, no run ",1st innings,,,2.3,no run,1,0,1/0,"Jonkman to Stirling, no run",,,0
15,16,Paul Stirling,303427,Mark Jonkman,245397,"Jonkman to Stirling, no run ",1st innings,,,2.4,no run,1,0,1/0,"Jonkman to Stirling, no run",,,0
16,17,Paul Stirling,303427,Mark Jonkman,245397,"Jonkman to Stirling, no run ",1st innings,,,2.5,no run,1,0,1/0,"Jonkman to Stirling, no run",,,0
17,18,Paul Stirling,303427,Mark Jonkman,245397,"Jonkman to Stirling, no run ",1st innings,Andy Balbirnie,303423,3.0,no run,1,0,1/0,"Jonkman to Stirling, no run",,,0
18,19,Andy Balbirnie,303423,Adeel Raja,24978,"Adeel Raja to Balbirnie, no run ",1st innings,,,3.1,no run,1,0,1/0,"Adeel Raja to Balbirnie, no run",,,0
19,20,Andy Balbirnie,303423,Adeel Raja,24978,"Adeel Raja to Balbirnie, 1 run ",1st innings,,,3.2,run,2,1,2/0,"Adeel Raja to Balbirnie, 1 run",,,0
