,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Seren Waters,352894,Shapoor Zadran,319746,"Shapoor Zadran to Waters, no run fullish delivery defended back to the bowler",1st innings,,,0.1,no run,0,0,0/0,"Shapoor Zadran to Waters, no run",,fullish delivery defended back to the bowler,0
1,2,Seren Waters,352894,Shapoor Zadran,319746,"Shapoor Zadran to Waters, 1 run fullish outside off and edged to Asghar who put it down at second slip head high",1st innings,,,0.2,run,1,1,1/0,"Shapoor Zadran to Waters, 1 run",,fullish outside off and edged to Asghar who put it down at second slip head high,0
2,3,David Obuya,24760,Shapoor Zadran,319746,"Shapoor Zadran to DO Obuya, 1 run fullish outside off and driven to point",1st innings,,,0.3,run,2,1,2/0,"Shapoor Zadran to DO Obuya, 1 run",,fullish outside off and driven to point,0
3,4,Seren Waters,352894,Shapoor Zadran,319746,"Shapoor Zadran to Waters, no run fullish on middle and driven back to the bowler",1st innings,,,0.4,no run,2,0,2/0,"Shapoor Zadran to Waters, no run",,fullish on middle and driven back to the bowler,0
4,5,Seren Waters,352894,Shapoor Zadran,319746,"Shapoor Zadran to Waters, no run ",1st innings,,,0.5,no run,2,0,2/0,"Shapoor Zadran to Waters, no run",,,0
5,6,Seren Waters,352894,Shapoor Zadran,319746,"Shapoor Zadran to Waters, no run good length and well left by Waters",1st innings,David Obuya,24760,1.0,no run,2,0,2/0,"Shapoor Zadran to Waters, no run",,good length and well left by Waters,0
6,7,David Obuya,24760,Mohammad Nabi,25913,"Mohammad Nabi to DO Obuya, 1 run spinning into the body and driven to point",1st innings,,,1.1,run,3,1,3/0,"Mohammad Nabi to DO Obuya, 1 run",,spinning into the body and driven to point,0
7,8,Seren Waters,352894,Mohammad Nabi,25913,"Mohammad Nabi to Waters, no run hits the pad and an appeal and down leg say the umpire",1st innings,,,1.2,no run,3,0,3/0,"Mohammad Nabi to Waters, no run",,hits the pad and an appeal and down leg say the umpire,0
8,9,Seren Waters,352894,Mohammad Nabi,25913,"Mohammad Nabi to Waters, 1 run edged but beats the keeper as well",1st innings,,,1.3,run,4,1,4/0,"Mohammad Nabi to Waters, 1 run",,edged but beats the keeper as well,0
9,10,David Obuya,24760,Mohammad Nabi,25913,"Mohammad Nabi to DO Obuya, no run ",1st innings,,,1.4,no run,4,0,4/0,"Mohammad Nabi to DO Obuya, no run",,,0
