,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Matthew Wade,230193,Praveen Kumar,30732,"Kumar to Wade, 1 run moving across the left-hander first up from a length outside leg, pushed towards extra cover and they are away with a single",1st innings,0.1,run,1,1,1/0,"Kumar to Wade, 1 run",,"moving across the left-hander first up from a length outside leg, pushed towards extra cover and they are away with a single",0
1,1,David Warner,219889,Praveen Kumar,30732,"Kumar to Warner, 1 wide straight and very wide down leg",1st innings,0.1,wide,2,1,2/0,"Kumar to Warner, 1 wide",,straight and very wide down leg,0
2,2,David Warner,219889,Praveen Kumar,30732,"Kumar to Warner, 1 run ending on leg stump after pitching outside it, tucked easily towards square leg",1st innings,0.2,run,3,1,3/0,"Kumar to Warner, 1 run",,"ending on leg stump after pitching outside it, tucked easily towards square leg",0
3,3,Matthew Wade,230193,Praveen Kumar,30732,"Kumar to Wade, no run much better line from PK, finishing around middle and off on a good length, tapped towards point",1st innings,0.3,no run,3,0,3/0,"Kumar to Wade, no run",,"much better line from PK, finishing around middle and off on a good length, tapped towards point",0
4,4,Matthew Wade,230193,Praveen Kumar,30732,"Kumar to Wade, no run decent start from PK apart from that wide, around middle again on a tight length, pushed away on the off side",1st innings,0.4,no run,3,0,3/0,"Kumar to Wade, no run",,"decent start from PK apart from that wide, around middle again on a tight length, pushed away on the off side",0
5,5,Matthew Wade,230193,Praveen Kumar,30732,"Kumar to Wade, no run opens up as he sees the line is on leg, tries to work it away square, but it hits the outer side of the blade and rolls down the track",1st innings,0.5,no run,3,0,3/0,"Kumar to Wade, no run",,"opens up as he sees the line is on leg, tries to work it away square, but it hits the outer side of the blade and rolls down the track",0
6,6,Matthew Wade,230193,Praveen Kumar,30732,"Kumar to Wade, no run angled far across the left-hander who lets it go",1st innings,0.6,no run,3,0,3/0,"Kumar to Wade, no run",,angled far across the left-hander who lets it go,0
7,7,David Warner,219889,Vinay Kumar,35731,"Vinay Kumar to Warner, no run back of a length and cramping him for room with the angle, pushed away",1st innings,1.1,no run,3,0,3/0,"Vinay Kumar to Warner, no run",,"back of a length and cramping him for room with the angle, pushed away",0
8,8,David Warner,219889,Vinay Kumar,35731,"Vinay Kumar to Warner, no run pitched up now, but tight line just outside off and defended hurriedly, the ball has now dribbled away towards deep midwicket and they trot across for two overthrows, which are ultimately disallowed as the ball was deemed dead by then, despite neither the bowler nor the keeper getting a hand to it",1st innings,1.2,no run,3,0,3/0,"Vinay Kumar to Warner, no run",,"pitched up now, but tight line just outside off and defended hurriedly, the ball has now dribbled away towards deep midwicket and they trot across for two overthrows, which are ultimately disallowed as the ball was deemed dead by then, despite neither the bowler nor the keeper getting a hand to it",0
9,9,David Warner,219889,Vinay Kumar,35731,"Vinay Kumar to Warner, no run pushed on the off side, the line is just around off, and the angle is into the left-hander, tucking him up",1st innings,1.3,no run,3,0,3/0,"Vinay Kumar to Warner, no run",,"pushed on the off side, the line is just around off, and the angle is into the left-hander, tucking him up",0
