,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Hashim Amla,43906,Mohammad Irfan,429981,"Mohammad Irfan to Amla, no run low full toss, an attempted yorker is pushed to mid-on",1st innings,0.1,no run,0,0,0/0,"Mohammad Irfan to Amla, no run",,"low full toss, an attempted yorker is pushed to mid-on",0
1,2,Hashim Amla,43906,Mohammad Irfan,429981,"Mohammad Irfan to Amla, 1 run length delivery angling away outside off, Amla defends and a thick outside edge goes to third man",1st innings,0.2,run,1,1,1/0,"Mohammad Irfan to Amla, 1 run",,"length delivery angling away outside off, Amla defends and a thick outside edge goes to third man",0
2,3,Quinton de Kock,379143,Mohammad Irfan,429981,"Mohammad Irfan to de Kock, no run full outside off, defends it back to Irfan",1st innings,0.3,no run,1,0,1/0,"Mohammad Irfan to de Kock, no run",,"full outside off, defends it back to Irfan",0
3,4,Quinton de Kock,379143,Mohammad Irfan,429981,"Mohammad Irfan to de Kock, no run almost a yorker on off stumps, pushed down to mid-on this time",1st innings,0.4,no run,1,0,1/0,"Mohammad Irfan to de Kock, no run",,"almost a yorker on off stumps, pushed down to mid-on this time",0
4,5,Quinton de Kock,379143,Mohammad Irfan,429981,"Mohammad Irfan to de Kock, no run full outside off, de Kock pushes it back to Irfan",1st innings,0.5,no run,1,0,1/0,"Mohammad Irfan to de Kock, no run",,"full outside off, de Kock pushes it back to Irfan",0
5,6,Quinton de Kock,379143,Mohammad Irfan,429981,"Mohammad Irfan to de Kock, no run length delivery coming into the stumps, de Kock stays on the back foot and defends",1st innings,0.6,no run,1,0,1/0,"Mohammad Irfan to de Kock, no run",,"length delivery coming into the stumps, de Kock stays on the back foot and defends",0
6,7,Hashim Amla,43906,Sohail Tanvir,43265,"Sohail Tanvir to Amla, 3 runs full delivery flicked off the pads, wasn't too far from Afridi at midwicket and he ran all the way to the boundary to keep it to three",1st innings,1.1,run,4,3,4/0,"Sohail Tanvir to Amla, 3 runs",,"full delivery flicked off the pads, wasn't too far from Afridi at midwicket and he ran all the way to the boundary to keep it to three",0
7,8,Quinton de Kock,379143,Sohail Tanvir,43265,"Sohail Tanvir to de Kock, no run swinging into the batsman from around middle, driven to midwicket",1st innings,1.2,no run,4,0,4/0,"Sohail Tanvir to de Kock, no run",,"swinging into the batsman from around middle, driven to midwicket",0
8,9,Quinton de Kock,379143,Sohail Tanvir,43265,"Sohail Tanvir to de Kock, no run inswinger coming into the off stump, de Kock defends it back",1st innings,1.3,no run,4,0,4/0,"Sohail Tanvir to de Kock, no run",,"inswinger coming into the off stump, de Kock defends it back",0
9,10,Quinton de Kock,379143,Sohail Tanvir,43265,"Sohail Tanvir to de Kock, no run not much swing this time as it pitched on length outside off, de Kock wanted to cut but managed a bottom edge",1st innings,1.4,no run,4,0,4/0,"Sohail Tanvir to de Kock, no run",,"not much swing this time as it pitched on length outside off, de Kock wanted to cut but managed a bottom edge",0
10,11,Quinton de Kock,379143,Sohail Tanvir,43265,"Sohail Tanvir to de Kock, FOUR runs fuller and wider, de Kock cashes in and drives it wide of point for four. No footwork there but the middle of the bat was enough",1st innings,1.5,four,8,4,8/0,"Sohail Tanvir to de Kock, FOUR runs",,"fuller and wider, de Kock cashes in and drives it wide of point for four. No footwork there but the middle of the bat was enough",0
11,12,Quinton de Kock,379143,Sohail Tanvir,43265,"Sohail Tanvir to de Kock, no run still wide and almost on length, pushed back to the bowler",1st innings,1.6,no run,8,0,8/0,"Sohail Tanvir to de Kock, no run",,"still wide and almost on length, pushed back to the bowler",0
12,13,Hashim Amla,43906,Mohammad Irfan,429981,"Mohammad Irfan to Amla, 1 run back of length on middle and leg, tucked towards midwicket for a quick single",1st innings,2.1,run,9,1,9/0,"Mohammad Irfan to Amla, 1 run",,"back of length on middle and leg, tucked towards midwicket for a quick single",0
13,14,Quinton de Kock,379143,Mohammad Irfan,429981,"Mohammad Irfan to de Kock, FOUR runs full this time and de Kock puts it away on the on side. Too full and the batsman drove it with ease past midwicket",1st innings,2.2,four,13,4,13/0,"Mohammad Irfan to de Kock, FOUR runs",,full this time and de Kock puts it away on the on side. Too full and the batsman drove it with ease past midwicket,0
14,15,Quinton de Kock,379143,Mohammad Irfan,429981,"Mohammad Irfan to de Kock, no run length delivery coming in from outside off, defends it on off side",1st innings,2.3,no run,13,0,13/0,"Mohammad Irfan to de Kock, no run",,"length delivery coming in from outside off, defends it on off side",0
15,16,Quinton de Kock,379143,Mohammad Irfan,429981,"Mohammad Irfan to de Kock, 1 run on length on middle and leg, pushed to mid-on for one",1st innings,2.4,run,14,1,14/0,"Mohammad Irfan to de Kock, 1 run",,"on length on middle and leg, pushed to mid-on for one",0
16,17,Hashim Amla,43906,Mohammad Irfan,429981,"Mohammad Irfan to Amla, FOUR runs back of length outside leg, Amla gets on his toes and works it off the hips turning his wrists and sends it for four",1st innings,2.5,four,18,4,18/0,"Mohammad Irfan to Amla, FOUR runs",,"back of length outside leg, Amla gets on his toes and works it off the hips turning his wrists and sends it for four",0
17,18,Hashim Amla,43906,Mohammad Irfan,429981,"Mohammad Irfan to Amla, no run full and outside off, left alone by Amla",1st innings,2.6,no run,18,0,18/0,"Mohammad Irfan to Amla, no run",,"full and outside off, left alone by Amla",0
18,19,Quinton de Kock,379143,Sohail Tanvir,43265,"Sohail Tanvir to de Kock, no run length delivery towards the stumps, de Kock stays back and defends",1st innings,3.1,no run,18,0,18/0,"Sohail Tanvir to de Kock, no run",,"length delivery towards the stumps, de Kock stays back and defends",0
19,20,Quinton de Kock,379143,Sohail Tanvir,43265,"Sohail Tanvir to de Kock, no run this one holds its line after pitching outside off, de Kock drove without footwork and missed",1st innings,3.2,no run,18,0,18/0,"Sohail Tanvir to de Kock, no run",,"this one holds its line after pitching outside off, de Kock drove without footwork and missed",0
20,21,Quinton de Kock,379143,Sohail Tanvir,43265,"Sohail Tanvir to de Kock, 1 run touch sorter on the stumps, worked to fine leg for one",1st innings,3.3,run,19,1,19/0,"Sohail Tanvir to de Kock, 1 run",,"touch sorter on the stumps, worked to fine leg for one",0
21,22,Hashim Amla,43906,Sohail Tanvir,43265,"Sohail Tanvir to Amla, no run length delivery on off and angling away, Amla defends off the back foot",1st innings,3.4,no run,19,0,19/0,"Sohail Tanvir to Amla, no run",,"length delivery on off and angling away, Amla defends off the back foot",0
22,23,Hashim Amla,43906,Sohail Tanvir,43265,"Sohail Tanvir to Amla, 1 run angling away from off, Amla walks across and turns it on the leg side for one",1st innings,3.5,run,20,1,20/0,"Sohail Tanvir to Amla, 1 run",,"angling away from off, Amla walks across and turns it on the leg side for one",0
23,24,Quinton de Kock,379143,Sohail Tanvir,43265,"Sohail Tanvir to de Kock, no run length ball on the stumps, de Kock defends it back to Irfan",1st innings,3.6,no run,20,0,20/0,"Sohail Tanvir to de Kock, no run",,"length ball on the stumps, de Kock defends it back to Irfan",0
24,25,Hashim Amla,43906,Mohammad Irfan,429981,"Mohammad Irfan to Amla, no run length ball on and around off which Amla does well to defend as it rises",1st innings,4.1,no run,20,0,20/0,"Mohammad Irfan to Amla, no run",,length ball on and around off which Amla does well to defend as it rises,0
25,26,Hashim Amla,43906,Mohammad Irfan,429981,"Mohammad Irfan to Amla, OUT what a delivery from Irfan! gets this full and bang on middle as Amla hopelessly plays around it to find his off stump tickled. Big blow for the South Africans as Pakistan make the first inroad.",1st innings,4.2,out,20,0,20/1,"Mohammad Irfan to Amla, OUT",,what a delivery from Irfan! gets this full and bang on middle as Amla hopelessly plays around it to find his off stump tickled. Big blow for the South Africans as Pakistan make the first inroad.,1
26,27,Faf du Plessis,44828,Mohammad Irfan,429981,"Mohammad Irfan to du Plessis, no run full delivery just outside off and angling away, Faf leaves it",1st innings,4.3,no run,20,0,20/1,"Mohammad Irfan to du Plessis, no run",,"full delivery just outside off and angling away, Faf leaves it",1
27,28,Faf du Plessis,44828,Mohammad Irfan,429981,"Mohammad Irfan to du Plessis, no run on length on off, Faf leans forward and defends confidently",1st innings,4.4,no run,20,0,20/1,"Mohammad Irfan to du Plessis, no run",,"on length on off, Faf leans forward and defends confidently",1
28,28,Faf du Plessis,44828,Mohammad Irfan,429981,"Mohammad Irfan to du Plessis, 1 wide short ball well outside leg for a wide",1st innings,4.4,wide,21,1,21/1,"Mohammad Irfan to du Plessis, 1 wide",,short ball well outside leg for a wide,1
29,29,Faf du Plessis,44828,Mohammad Irfan,429981,"Mohammad Irfan to du Plessis, no run short on middle this time, Faf has to go on his toes in the crease to defend the rising ball",1st innings,4.5,no run,21,0,21/1,"Mohammad Irfan to du Plessis, no run",,"short on middle this time, Faf has to go on his toes in the crease to defend the rising ball",1
30,30,Faf du Plessis,44828,Mohammad Irfan,429981,"Mohammad Irfan to du Plessis, 1 run short of length on the stumps, tucked just wide of midwicket and Faf gets off the mark with a quick single",1st innings,4.6,run,22,1,22/1,"Mohammad Irfan to du Plessis, 1 run",,"short of length on the stumps, tucked just wide of midwicket and Faf gets off the mark with a quick single",1
31,31,Faf du Plessis,44828,Sohail Tanvir,43265,"Sohail Tanvir to du Plessis, no run good-length ball outside off and going further away, Faf leaves it",1st innings,5.1,no run,22,0,22/1,"Sohail Tanvir to du Plessis, no run",,"good-length ball outside off and going further away, Faf leaves it",1
