,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,otherBowler,otherBowler_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Dhananjaya de Silva,465793,Shannon Gabriel,446101,"Gabriel to de Silva, 1 run full toss outside off, looks like the ball slipped out of his hand, de Silva easily drops it into the off side and gets off the mark",1st innings,Kusal Perera,300631,,,0.1,run,1,1,1/0,"Gabriel to de Silva, 1 run",,"full toss outside off, looks like the ball slipped out of his hand, de Silva easily drops it into the off side and gets off the mark",0
1,2,Kusal Perera,300631,Shannon Gabriel,446101,"Gabriel to Perera, 1 run yorker outside off, Perera jams his bat down and squeezes it out off the inside part of the bat to fine leg",1st innings,Dhananjaya de Silva,465793,,,0.2,run,2,1,2/0,"Gabriel to Perera, 1 run",,"yorker outside off, Perera jams his bat down and squeezes it out off the inside part of the bat to fine leg",0
2,3,Dhananjaya de Silva,465793,Shannon Gabriel,446101,"Gabriel to de Silva, 1 run fuller ball outside off, presses forward and gets an outside edge to third man",1st innings,Kusal Perera,300631,,,0.3,run,3,1,3/0,"Gabriel to de Silva, 1 run",,"fuller ball outside off, presses forward and gets an outside edge to third man",0
3,4,Kusal Perera,300631,Shannon Gabriel,446101,"Gabriel to Perera, no run good length ball just outside off, punched solidly from the crease to mid-off",1st innings,Dhananjaya de Silva,465793,,,0.4,no run,3,0,3/0,"Gabriel to Perera, no run",,"good length ball just outside off, punched solidly from the crease to mid-off",0
4,5,Kusal Perera,300631,Shannon Gabriel,446101,"Gabriel to Perera, 1 run another yorker on leg and middle, looks like the ball has it some part of Perera's leg. The ball goes to fine leg and Perera limps across for the single. Hit him bang on top of the foot off the inside edge, actually, and Perera is being attended to",1st innings,Dhananjaya de Silva,465793,,,0.5,run,4,1,4/0,"Gabriel to Perera, 1 run",,"another yorker on leg and middle, looks like the ball has it some part of Perera's leg. The ball goes to fine leg and Perera limps across for the single. Hit him bang on top of the foot off the inside edge, actually, and Perera is being attended to",0
5,5,Dhananjaya de Silva,465793,Shannon Gabriel,446101,"Gabriel to de Silva, 1 wide sprays it full and down the leg side, de Silva makes no contact on the attempted glance and it is called a wide",1st innings,Kusal Perera,300631,,,0.5,wide,5,1,5/0,"Gabriel to de Silva, 1 wide",,"sprays it full and down the leg side, de Silva makes no contact on the attempted glance and it is called a wide",0
6,6,Dhananjaya de Silva,465793,Shannon Gabriel,446101,"Gabriel to de Silva, no run full and outside off, punched solidly off the front foot to mid-off",1st innings,Kusal Perera,300631,,,0.6,no run,5,0,5/0,"Gabriel to de Silva, no run",,"full and outside off, punched solidly off the front foot to mid-off",0
7,7,Kusal Perera,300631,Jason Holder,391485,"Holder to Perera, 1 run starts off with a fuller ball on the fourth stump channel, Perera gets forward and pushes it wide of mid-off for a single",1st innings,Dhananjaya de Silva,465793,Shannon Gabriel,446101,1.1,run,6,1,6/0,"Holder to Perera, 1 run",,"starts off with a fuller ball on the fourth stump channel, Perera gets forward and pushes it wide of mid-off for a single",0
8,8,Dhananjaya de Silva,465793,Jason Holder,391485,"Holder to de Silva, FOUR runs full ball, width on offer outside off, de Silva leans forward and crunches a drive between cover and point",1st innings,Kusal Perera,300631,Shannon Gabriel,446101,1.2,four,10,4,10/0,"Holder to de Silva, FOUR runs",,"full ball, width on offer outside off, de Silva leans forward and crunches a drive between cover and point",0
9,9,Dhananjaya de Silva,465793,Jason Holder,391485,"Holder to de Silva, 2 runs angling in on leg from the good length area, tucked off the hips behind square. Fine leg is a bit slow in coming around and gathering it, so they take the extra run",1st innings,Kusal Perera,300631,Shannon Gabriel,446101,1.3,run,12,2,12/0,"Holder to de Silva, 2 runs",,"angling in on leg from the good length area, tucked off the hips behind square. Fine leg is a bit slow in coming around and gathering it, so they take the extra run",0
10,10,Dhananjaya de Silva,465793,Jason Holder,391485,"Holder to de Silva, no run fuller ball, shaping away late, de Silva takes a stride across and lets it go",1st innings,Kusal Perera,300631,Shannon Gabriel,446101,1.4,no run,12,0,12/0,"Holder to de Silva, no run",,"fuller ball, shaping away late, de Silva takes a stride across and lets it go",0
11,11,Dhananjaya de Silva,465793,Jason Holder,391485,"Holder to de Silva, no run full ball on off and middle, clipped to midwicket",1st innings,Kusal Perera,300631,Shannon Gabriel,446101,1.5,no run,12,0,12/0,"Holder to de Silva, no run",,"full ball on off and middle, clipped to midwicket",0
12,12,Dhananjaya de Silva,465793,Jason Holder,391485,"Holder to de Silva, no run good length ball on the fourth or fifth stump channel, blocked into the covers off the front foot",1st innings,Kusal Perera,300631,Shannon Gabriel,446101,1.6,no run,12,0,12/0,"Holder to de Silva, no run",,"good length ball on the fourth or fifth stump channel, blocked into the covers off the front foot",0
13,13,Kusal Perera,300631,Shannon Gabriel,446101,"Gabriel to Perera, 1 leg bye straying down leg, tries to tuck it off the pads, but gets it off them instead behind square",1st innings,Dhananjaya de Silva,465793,Jason Holder,391485,2.1,leg bye,13,1,13/0,"Gabriel to Perera, 1 leg bye",,"straying down leg, tries to tuck it off the pads, but gets it off them instead behind square",0
14,14,Dhananjaya de Silva,465793,Shannon Gabriel,446101,"Gabriel to de Silva, 1 run fuller ball outside off, pushes at it without feet and gets it off the splice to third man",1st innings,Kusal Perera,300631,Jason Holder,391485,2.2,run,14,1,14/0,"Gabriel to de Silva, 1 run",,"fuller ball outside off, pushes at it without feet and gets it off the splice to third man",0
15,15,Kusal Perera,300631,Shannon Gabriel,446101,"Gabriel to Perera, FOUR runs superbly driven. It was full and outside off, holding its line as well and Kusal Perera crunches a drive through extra cover. Does not move his feet as much but times it to perfection and uses the pace on that delivery well",1st innings,Dhananjaya de Silva,465793,Jason Holder,391485,2.3,four,18,4,18/0,"Gabriel to Perera, FOUR runs",,"superbly driven. It was full and outside off, holding its line as well and Kusal Perera crunches a drive through extra cover. Does not move his feet as much but times it to perfection and uses the pace on that delivery well",0
16,16,Kusal Perera,300631,Shannon Gabriel,446101,"Gabriel to Perera, OUT poor shot. Perera goes for a flick across the line and loses his stumps. It was full and pushed across. Perera looked to flick it but the away angle was always going to make that a risky shot. It shapes across late as well and Perera makes no contact with the ball which crashes into and splinters his off-stump",1st innings,Dhananjaya de Silva,465793,Jason Holder,391485,2.4,out,18,0,18/1,"Gabriel to Perera, OUT",,poor shot. Perera goes for a flick across the line and loses his stumps. It was full and pushed across. Perera looked to flick it but the away angle was always going to make that a risky shot. It shapes across late as well and Perera makes no contact with the ball which crashes into and splinters his off-stump,1
