,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,0,Eric Szwarczynski,214696,Aftab Alam,440963,"Aftab Alam to Szwarczynski, 1 wide wide outside the off stump and left all alone",1st innings,,,0.0,wide,1,1,1/0,"Aftab Alam to Szwarczynski, 1 wide",,wide outside the off stump and left all alone,0
1,1,Eric Szwarczynski,214696,Aftab Alam,440963,"Aftab Alam to Szwarczynski, no run outside the off stump. Fuller in legth. Eric comes forward and drives it to cover",1st innings,,,0.1,no run,1,0,1/0,"Aftab Alam to Szwarczynski, no run",,outside the off stump. Fuller in legth. Eric comes forward and drives it to cover,0
2,2,Eric Szwarczynski,214696,Aftab Alam,440963,"Aftab Alam to Szwarczynski, no run good length delivery outside the off stump. Eric comes forward and is struck on the pads outside the off stump. There is a huge appeal from the fielders",1st innings,,,0.2,no run,1,0,1/0,"Aftab Alam to Szwarczynski, no run",,good length delivery outside the off stump. Eric comes forward and is struck on the pads outside the off stump. There is a huge appeal from the fielders,0
3,3,Eric Szwarczynski,214696,Aftab Alam,440963,"Aftab Alam to Szwarczynski, no run outside the off stump and left all alone",1st innings,,,0.3,no run,1,0,1/0,"Aftab Alam to Szwarczynski, no run",,outside the off stump and left all alone,0
4,3,Eric Szwarczynski,214696,Aftab Alam,440963,"Aftab Alam to Szwarczynski, 1 wide wide down the leg side",1st innings,,,0.3,wide,2,1,2/0,"Aftab Alam to Szwarczynski, 1 wide",,wide down the leg side,0
5,4,Eric Szwarczynski,214696,Aftab Alam,440963,"Aftab Alam to Szwarczynski, no run on the leg stump and Eric tries to defend it and is struck on the pads",1st innings,,,0.4,no run,2,0,2/0,"Aftab Alam to Szwarczynski, no run",,on the leg stump and Eric tries to defend it and is struck on the pads,0
6,5,Eric Szwarczynski,214696,Aftab Alam,440963,"Aftab Alam to Szwarczynski, no run outside the off stump and left all alone by Eric",1st innings,,,0.5,no run,2,0,2/0,"Aftab Alam to Szwarczynski, no run",,outside the off stump and left all alone by Eric,0
7,6,Eric Szwarczynski,214696,Aftab Alam,440963,"Aftab Alam to Szwarczynski, no run outside the off stump and Eric shoulders arms",1st innings,Alexei Kervezee,214695,1.0,no run,2,0,2/0,"Aftab Alam to Szwarczynski, no run",,outside the off stump and Eric shoulders arms,0
8,7,Alexei Kervezee,214695,Mirwais Ashraf,387420,"Mirwais Ashraf to Kervezee, no run good length and moves away from the batsman as Kervezee lets it pass",1st innings,,,1.1,no run,2,0,2/0,"Mirwais Ashraf to Kervezee, no run",,good length and moves away from the batsman as Kervezee lets it pass,0
9,8,Alexei Kervezee,214695,Mirwais Ashraf,387420,"Mirwais Ashraf to Kervezee, no run outside the off stump and Kervezee shoulders arms",1st innings,,,1.2,no run,2,0,2/0,"Mirwais Ashraf to Kervezee, no run",,outside the off stump and Kervezee shoulders arms,0
