,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Morris Ouma,24750,Harvir Baidwan,355583,"Baidwan to Ouma, no run ",1st innings,,,0.1,no run,0,0,0/0,"Baidwan to Ouma, no run",,,0
1,2,Morris Ouma,24750,Harvir Baidwan,355583,"Baidwan to Ouma, no run ",1st innings,,,0.2,no run,0,0,0/0,"Baidwan to Ouma, no run",,,0
2,3,Morris Ouma,24750,Harvir Baidwan,355583,"Baidwan to Ouma, FOUR runs ",1st innings,,,0.3,four,4,4,4/0,"Baidwan to Ouma, FOUR runs",,,0
3,4,Morris Ouma,24750,Harvir Baidwan,355583,"Baidwan to Ouma, no run ",1st innings,,,0.4,no run,4,0,4/0,"Baidwan to Ouma, no run",,,0
4,5,Morris Ouma,24750,Harvir Baidwan,355583,"Baidwan to Ouma, no run ",1st innings,,,0.5,no run,4,0,4/0,"Baidwan to Ouma, no run",,,0
5,6,Morris Ouma,24750,Harvir Baidwan,355583,"Baidwan to Ouma, no run ",1st innings,Alex Obanda,291844,1.0,no run,4,0,4/0,"Baidwan to Ouma, no run",,,0
6,7,Alex Obanda,291844,Umar Bhatti,23865,"Bhatti to Obanda, 1 leg bye ",1st innings,,,1.1,leg bye,5,1,5/0,"Bhatti to Obanda, 1 leg bye",,,0
7,8,Morris Ouma,24750,Umar Bhatti,23865,"Bhatti to Ouma, no run ",1st innings,,,1.2,no run,5,0,5/0,"Bhatti to Ouma, no run",,,0
8,9,Morris Ouma,24750,Umar Bhatti,23865,"Bhatti to Ouma, 2 runs ",1st innings,,,1.3,run,7,2,7/0,"Bhatti to Ouma, 2 runs",,,0
9,10,Morris Ouma,24750,Umar Bhatti,23865,"Bhatti to Ouma, no run ",1st innings,,,1.4,no run,7,0,7/0,"Bhatti to Ouma, no run",,,0
10,11,Morris Ouma,24750,Umar Bhatti,23865,"Bhatti to Ouma, no run ",1st innings,,,1.5,no run,7,0,7/0,"Bhatti to Ouma, no run",,,0
11,12,Morris Ouma,24750,Umar Bhatti,23865,"Bhatti to Ouma, no run ",1st innings,Alex Obanda,291844,2.0,no run,7,0,7/0,"Bhatti to Ouma, no run",,,0
12,13,Alex Obanda,291844,Harvir Baidwan,355583,"Baidwan to Obanda, no run ",1st innings,,,2.1,no run,7,0,7/0,"Baidwan to Obanda, no run",,,0
13,14,Alex Obanda,291844,Harvir Baidwan,355583,"Baidwan to Obanda, no run ",1st innings,,,2.2,no run,7,0,7/0,"Baidwan to Obanda, no run",,,0
14,15,Alex Obanda,291844,Harvir Baidwan,355583,"Baidwan to Obanda, no run ",1st innings,,,2.3,no run,7,0,7/0,"Baidwan to Obanda, no run",,,0
15,16,Alex Obanda,291844,Harvir Baidwan,355583,"Baidwan to Obanda, FOUR runs ",1st innings,,,2.4,four,11,4,11/0,"Baidwan to Obanda, FOUR runs",,,0
16,17,Alex Obanda,291844,Harvir Baidwan,355583,"Baidwan to Obanda, no run ",1st innings,,,2.5,no run,11,0,11/0,"Baidwan to Obanda, no run",,,0
17,18,Alex Obanda,291844,Harvir Baidwan,355583,"Baidwan to Obanda, 2 runs ",1st innings,Morris Ouma,24750,3.0,run,13,2,13/0,"Baidwan to Obanda, 2 runs",,,0
18,19,Morris Ouma,24750,Umar Bhatti,23865,"Bhatti to Ouma, no run ",1st innings,,,3.1,no run,13,0,13/0,"Bhatti to Ouma, no run",,,0
19,20,Morris Ouma,24750,Umar Bhatti,23865,"Bhatti to Ouma, 1 run ",1st innings,,,3.2,run,14,1,14/0,"Bhatti to Ouma, 1 run",,,0
20,21,Alex Obanda,291844,Umar Bhatti,23865,"Bhatti to Obanda, no run ",1st innings,,,3.3,no run,14,0,14/0,"Bhatti to Obanda, no run",,,0
21,22,Alex Obanda,291844,Umar Bhatti,23865,"Bhatti to Obanda, no run ",1st innings,,,3.4,no run,14,0,14/0,"Bhatti to Obanda, no run",,,0
22,23,Alex Obanda,291844,Umar Bhatti,23865,"Bhatti to Obanda, FOUR runs ",1st innings,,,3.5,four,18,4,18/0,"Bhatti to Obanda, FOUR runs",,,0
23,24,Alex Obanda,291844,Umar Bhatti,23865,"Bhatti to Obanda, FOUR runs ",1st innings,Morris Ouma,24750,4.0,four,22,4,22/0,"Bhatti to Obanda, FOUR runs",,,0
