,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Hiral Patel,414248,Kevin O'Brien,24605,"O'Brien to Patel, no run left alone outside off",1st innings,,,0.1,no run,0,0,0/0,"O'Brien to Patel, no run",,left alone outside off,0
1,2,Hiral Patel,414248,Kevin O'Brien,24605,"O'Brien to Patel, OUT gone! Patel goes back to play the defensive stroke and misses and the ball smacks middle stump",1st innings,Rizwan Cheema,361952,0.2,out,0,0,0/1,"O'Brien to Patel, OUT",,gone! Patel goes back to play the defensive stroke and misses and the ball smacks middle stump,1
2,3,Geoff Barnett,36383,Kevin O'Brien,24605,"O'Brien to Barnett, no run left alone outside off",1st innings,,,0.3,no run,0,0,0/1,"O'Brien to Barnett, no run",,left alone outside off,1
3,4,Geoff Barnett,36383,Kevin O'Brien,24605,"O'Brien to Barnett, no run blocked to cover",1st innings,,,0.4,no run,0,0,0/1,"O'Brien to Barnett, no run",,blocked to cover,1
4,5,Geoff Barnett,36383,Kevin O'Brien,24605,"O'Brien to Barnett, no run leaves the outswinger alone",1st innings,,,0.5,no run,0,0,0/1,"O'Brien to Barnett, no run",,leaves the outswinger alone,1
5,6,Geoff Barnett,36383,Kevin O'Brien,24605,"O'Brien to Barnett, no run blocked away to point",1st innings,Rizwan Cheema,361952,1.0,no run,0,0,0/1,"O'Brien to Barnett, no run",,blocked away to point,1
6,7,Rizwan Cheema,361952,Trent Johnston,6038,"Johnston to Rizwan Cheema, 1 run drived in to the covers and fielded on the bounce",1st innings,,,1.1,run,1,1,1/1,"Johnston to Rizwan Cheema, 1 run",,drived in to the covers and fielded on the bounce,1
7,8,Geoff Barnett,36383,Trent Johnston,6038,"Johnston to Barnett, no run blocked back to the bowler",1st innings,,,1.2,no run,1,0,1/1,"Johnston to Barnett, no run",,blocked back to the bowler,1
8,9,Geoff Barnett,36383,Trent Johnston,6038,"Johnston to Barnett, no run blocked back to the bowler",1st innings,,,1.3,no run,1,0,1/1,"Johnston to Barnett, no run",,blocked back to the bowler,1
9,10,Geoff Barnett,36383,Trent Johnston,6038,"Johnston to Barnett, no run leaves it alone",1st innings,,,1.4,no run,1,0,1/1,"Johnston to Barnett, no run",,leaves it alone,1
10,11,Geoff Barnett,36383,Trent Johnston,6038,"Johnston to Barnett, no run blocked to cover",1st innings,,,1.5,no run,1,0,1/1,"Johnston to Barnett, no run",,blocked to cover,1
11,12,Geoff Barnett,36383,Trent Johnston,6038,"Johnston to Barnett, no run left alone again",1st innings,Rizwan Cheema,361952,2.0,no run,1,0,1/1,"Johnston to Barnett, no run",,left alone again,1
12,13,Rizwan Cheema,361952,Kevin O'Brien,24605,"O'Brien to Rizwan Cheema, no run blocked to the bowler",1st innings,,,2.1,no run,1,0,1/1,"O'Brien to Rizwan Cheema, no run",,blocked to the bowler,1
13,14,Rizwan Cheema,361952,Kevin O'Brien,24605,"O'Brien to Rizwan Cheema, no run big swing and a miss as he looks for a big shot early on",1st innings,,,2.2,no run,1,0,1/1,"O'Brien to Rizwan Cheema, no run",,big swing and a miss as he looks for a big shot early on,1
14,15,Rizwan Cheema,361952,Kevin O'Brien,24605,"O'Brien to Rizwan Cheema, no run leaves it alone this time",1st innings,,,2.3,no run,1,0,1/1,"O'Brien to Rizwan Cheema, no run",,leaves it alone this time,1
15,16,Rizwan Cheema,361952,Kevin O'Brien,24605,"O'Brien to Rizwan Cheema, no run another swing and off the pads this time",1st innings,,,2.4,no run,1,0,1/1,"O'Brien to Rizwan Cheema, no run",,another swing and off the pads this time,1
16,17,Rizwan Cheema,361952,Kevin O'Brien,24605,"O'Brien to Rizwan Cheema, FOUR runs stays tall and hits the ball hard through midwicket",1st innings,,,2.5,four,5,4,5/1,"O'Brien to Rizwan Cheema, FOUR runs",,stays tall and hits the ball hard through midwicket,1
17,18,Rizwan Cheema,361952,Kevin O'Brien,24605,"O'Brien to Rizwan Cheema, 1 run same pull mis-timed over square leg",1st innings,Geoff Barnett,36383,3.0,run,6,1,6/1,"O'Brien to Rizwan Cheema, 1 run",,same pull mis-timed over square leg,1
18,19,Rizwan Cheema,361952,Trent Johnston,6038,"Johnston to Rizwan Cheema, no run big swing and a miss as he comes down the track",1st innings,,,3.1,no run,6,0,6/1,"Johnston to Rizwan Cheema, no run",,big swing and a miss as he comes down the track,1
19,20,Rizwan Cheema,361952,Trent Johnston,6038,"Johnston to Rizwan Cheema, OUT Cheema goes for the defensive prod this time and plays all around it and gets bowled. Dismal start for Canada",1st innings,Geoff Barnett,36383,3.2,out,6,0,6/2,"Johnston to Rizwan Cheema, OUT",,Cheema goes for the defensive prod this time and plays all around it and gets bowled. Dismal start for Canada,2
20,21,Nitish Kumar,348129,Trent Johnston,6038,"Johnston to Kumar, no run leaves it alone outside off",1st innings,,,3.3,no run,6,0,6/2,"Johnston to Kumar, no run",,leaves it alone outside off,2
21,22,Nitish Kumar,348129,Trent Johnston,6038,"Johnston to Kumar, no run tapped in to the covers",1st innings,,,3.4,no run,6,0,6/2,"Johnston to Kumar, no run",,tapped in to the covers,2
22,23,Nitish Kumar,348129,Trent Johnston,6038,"Johnston to Kumar, 3 runs flicked off the pads wide of the midwicket fielder. It's a big boundary and doesn't quite reach as the Irish fielders give chase",1st innings,,,3.5,run,9,3,9/2,"Johnston to Kumar, 3 runs",,flicked off the pads wide of the midwicket fielder. It's a big boundary and doesn't quite reach as the Irish fielders give chase,2
23,24,Geoff Barnett,36383,Trent Johnston,6038,"Johnston to Barnett, no run swing and a miss at a wider ball",1st innings,Nitish Kumar,348129,4.0,no run,9,0,9/2,"Johnston to Barnett, no run",,swing and a miss at a wider ball,2
24,25,Nitish Kumar,348129,Kevin O'Brien,24605,"O'Brien to Kumar, no run confident defence on the front foot",1st innings,,,4.1,no run,9,0,9/2,"O'Brien to Kumar, no run",,confident defence on the front foot,2
25,26,Nitish Kumar,348129,Kevin O'Brien,24605,"O'Brien to Kumar, no run inside edge off the pads to midwicket. That wasn't far from creeping through Kumar's defence all together",1st innings,,,4.2,no run,9,0,9/2,"O'Brien to Kumar, no run",,inside edge off the pads to midwicket. That wasn't far from creeping through Kumar's defence all together,2
26,27,Nitish Kumar,348129,Kevin O'Brien,24605,"O'Brien to Kumar, no run solid on the back foot this time as he blocks in to the covers",1st innings,,,4.3,no run,9,0,9/2,"O'Brien to Kumar, no run",,solid on the back foot this time as he blocks in to the covers,2
