,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Chris Gayle,51880,Chris Woakes,247235,"Woakes to Gayle, no run back of a length on the pads, tucked to the leg side as Gayle accepts the sighter",1st innings,0.1,no run,0,0,0/0,"Woakes to Gayle, no run",,"back of a length on the pads, tucked to the leg side as Gayle accepts the sighter",0
1,2,Chris Gayle,51880,Chris Woakes,247235,"Woakes to Gayle, no run thumps the pads this time, jagging from a leg-stump line, cramping Gayle for room",1st innings,0.2,no run,0,0,0/0,"Woakes to Gayle, no run",,"thumps the pads this time, jagging from a leg-stump line, cramping Gayle for room",0
2,3,Chris Gayle,51880,Chris Woakes,247235,"Woakes to Gayle, no run <strong>that is a beauty!</strong> Bangs out the perfect line and length, perfect seam position, and zings past the edge as Gayle props forward!",1st innings,0.3,no run,0,0,0/0,"Woakes to Gayle, no run",,"<strong>that is a beauty!</strong> Bangs out the perfect line and length, perfect seam position, and zings past the edge as Gayle props forward!",0
3,4,Chris Gayle,51880,Chris Woakes,247235,"Woakes to Gayle, no run driven with intent, a pleasing report of willow, but a fast-travelling ball is half-stopped at mid-off. Gayle isn't interested in the single",1st innings,0.4,no run,0,0,0/0,"Woakes to Gayle, no run",,"driven with intent, a pleasing report of willow, but a fast-travelling ball is half-stopped at mid-off. Gayle isn't interested in the single",0
4,5,Chris Gayle,51880,Chris Woakes,247235,"Woakes to Gayle, no run <strong>another snorter!</strong> And it's swing that beats Gayle this time, wobbling past the edge from an off-stump line. Gayle doesn't chase it, to his credit",1st innings,0.5,no run,0,0,0/0,"Woakes to Gayle, no run",,"<strong>another snorter!</strong> And it's swing that beats Gayle this time, wobbling past the edge from an off-stump line. Gayle doesn't chase it, to his credit",0
5,6,Chris Gayle,51880,Chris Woakes,247235,"Woakes to Gayle, no run a maiden to open proceedings, as Gayle raises his bat out of harm's way. Tidy work",1st innings,0.6,no run,0,0,0/0,"Woakes to Gayle, no run",,"a maiden to open proceedings, as Gayle raises his bat out of harm's way. Tidy work",0
6,6,Evin Lewis,431901,Jofra Archer,669855,"Archer to Lewis, 1 wide back of a length, down the leg side, a bit of a loosener as Lewis swings into a pull but can't connect",1st innings,1.0,wide,1,1,1/0,"Archer to Lewis, 1 wide",,"back of a length, down the leg side, a bit of a loosener as Lewis swings into a pull but can't connect",0
7,7,Evin Lewis,431901,Jofra Archer,669855,"Archer to Lewis, no run <strong>zippy pace!</strong> Better line, back of a length, and leaping past the edge on a fourth-stump line as Lewis drops his hands",1st innings,1.1,no run,1,0,1/0,"Archer to Lewis, no run",,"<strong>zippy pace!</strong> Better line, back of a length, and leaping past the edge on a fourth-stump line as Lewis drops his hands",0
8,8,Evin Lewis,431901,Jofra Archer,669855,"Archer to Lewis, no run solidly forward on middle and off. Archer finds a fuller line and length this time",1st innings,1.2,no run,1,0,1/0,"Archer to Lewis, no run",,solidly forward on middle and off. Archer finds a fuller line and length this time,0
9,9,Evin Lewis,431901,Jofra Archer,669855,"Archer to Lewis, 1 run the first run off the bat, uneasily fenced to the leg side as Lewis rises with a rib-targeting delivery and deflects it into space",1st innings,1.3,run,2,1,2/0,"Archer to Lewis, 1 run",,"the first run off the bat, uneasily fenced to the leg side as Lewis rises with a rib-targeting delivery and deflects it into space",0
10,10,Chris Gayle,51880,Jofra Archer,669855,"Archer to Gayle, no run through to the keeper, late swing as Gayle leaves alone",1st innings,1.4,no run,2,0,2/0,"Archer to Gayle, no run",,"through to the keeper, late swing as Gayle leaves alone",0
11,11,Chris Gayle,51880,Jofra Archer,669855,"Archer to Gayle, no run <B>strewth!</B> That had some heat! Gayle flinches inside the line as Archer bangs one in and it really takes off through to the keeper",1st innings,1.5,no run,2,0,2/0,"Archer to Gayle, no run",,<B>strewth!</B> That had some heat! Gayle flinches inside the line as Archer bangs one in and it really takes off through to the keeper,0
12,12,Chris Gayle,51880,Jofra Archer,669855,"Archer to Gayle, no run outside off on a tighter, fuller length. No stroke offered. This has been a very impressive start from England, but West Indies are playing it cool. They can make hay when they are settled",1st innings,1.6,no run,2,0,2/0,"Archer to Gayle, no run",,"outside off on a tighter, fuller length. No stroke offered. This has been a very impressive start from England, but West Indies are playing it cool. They can make hay when they are settled",0
13,13,Evin Lewis,431901,Chris Woakes,247235,"Woakes to Lewis, 1 run crunched with intent and a high followthrough into the covers, a touch of width but can't cash in",1st innings,2.1,run,3,1,3/0,"Woakes to Lewis, 1 run",,"crunched with intent and a high followthrough into the covers, a touch of width but can't cash in",0
14,14,Chris Gayle,51880,Chris Woakes,247235,"Woakes to Gayle, 1 run stabbed to mid-off, and Gayle lumbers into a quick single... the fielder was hanging back, tempting him to go for it, and he just about made it in good time",1st innings,2.2,run,4,1,4/0,"Woakes to Gayle, 1 run",,"stabbed to mid-off, and Gayle lumbers into a quick single... the fielder was hanging back, tempting him to go for it, and he just about made it in good time",0
15,15,Evin Lewis,431901,Chris Woakes,247235,"Woakes to Lewis, no run through to the keeper once again. 137kph on that occasion from Woakes, or 85mph if you can't do the maths",1st innings,2.3,no run,4,0,4/0,"Woakes to Lewis, no run",137kph,"through to the keeper once again. 137kph on that occasion from Woakes, or 85mph if you can't do the maths",0
16,16,Evin Lewis,431901,Chris Woakes,247235,"Woakes to Lewis, no run ploughing through on a tight line with a hint of movement away from the left-hander. Left alone again",1st innings,2.4,no run,4,0,4/0,"Woakes to Lewis, no run",,ploughing through on a tight line with a hint of movement away from the left-hander. Left alone again,0
17,17,Evin Lewis,431901,Chris Woakes,247235,"Woakes to Lewis, no run a cramped drive into the covers, striking it on the up but straight to the fielder",1st innings,2.5,no run,4,0,4/0,"Woakes to Lewis, no run",,"a cramped drive into the covers, striking it on the up but straight to the fielder",0
18,18,Evin Lewis,431901,Chris Woakes,247235,"Woakes to Lewis, OUT <B>yorker!</B> That is tremendous bowling from Woakes, just slipping in the fuller ball, rattling through Lewis's defences as his weight toppled forward in anticipation of another drive. No issue with the zing bails on that occasion, England are up and running!",1st innings,2.6,out,4,0,4/1,"Woakes to Lewis, OUT",,"<B>yorker!</B> That is tremendous bowling from Woakes, just slipping in the fuller ball, rattling through Lewis's defences as his weight toppled forward in anticipation of another drive. No issue with the zing bails on that occasion, England are up and running!",1
19,19,Chris Gayle,51880,Jofra Archer,669855,"Archer to Gayle, no run beaten again, outside off, as Archer clocks 91mph on that occasion. Tight line to off stump",1st innings,3.1,no run,4,0,4/1,"Archer to Gayle, no run",,"beaten again, outside off, as Archer clocks 91mph on that occasion. Tight line to off stump",1
20,20,Chris Gayle,51880,Jofra Archer,669855,"Archer to Gayle, no run another leave-alone as Archer ploughs a pacy furrow outside Gayle's off stump with seam and bounce to the fore",1st innings,3.2,no run,4,0,4/1,"Archer to Gayle, no run",,another leave-alone as Archer ploughs a pacy furrow outside Gayle's off stump with seam and bounce to the fore,1
21,21,Chris Gayle,51880,Jofra Archer,669855,"Archer to Gayle, no run on the stumps this time, 90mph once more. Gayle blocks with a full face of the bat, slightly leg-sided in his stance",1st innings,3.3,no run,4,0,4/1,"Archer to Gayle, no run",,"on the stumps this time, 90mph once more. Gayle blocks with a full face of the bat, slightly leg-sided in his stance",1
22,22,Chris Gayle,51880,Jofra Archer,669855,"Archer to Gayle, no run <B>another fizzing bouncer!</B> Was fractionally leg-sided but crucially, straight at Gayle's lid! Signalled as the one for the over as the batsman flinches inside the line. 91mph on that occasion",1st innings,3.4,no run,4,0,4/1,"Archer to Gayle, no run",,"<B>another fizzing bouncer!</B> Was fractionally leg-sided but crucially, straight at Gayle's lid! Signalled as the one for the over as the batsman flinches inside the line. 91mph on that occasion",1
23,23,Chris Gayle,51880,Jofra Archer,669855,"Archer to Gayle, no run outside off, more serious heat outside off",1st innings,3.5,no run,4,0,4/1,"Archer to Gayle, no run",,"outside off, more serious heat outside off",1
24,24,Chris Gayle,51880,Jofra Archer,669855,"Archer to Gayle, FOUR runs <B>Gayle flings the bat this time, and so nearly chops on!</B> Fractionally shorter, so out came the pull, but he was so cramped in the shot, an under-edge zips over the bails, and away to the unguarded fine leg!",1st innings,3.6,four,8,4,8/1,"Archer to Gayle, FOUR runs",,"<B>Gayle flings the bat this time, and so nearly chops on!</B> Fractionally shorter, so out came the pull, but he was so cramped in the shot, an under-edge zips over the bails, and away to the unguarded fine leg!",1
25,25,Shai Hope,581379,Chris Woakes,247235,"Woakes to Hope, no run left alone calmly to accept the first-ball sighter",1st innings,4.1,no run,8,0,8/1,"Woakes to Hope, no run",,left alone calmly to accept the first-ball sighter,1
