,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,otherBowler,otherBowler_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Hashim Amla,43906,Doug Bollinger,4508,"Bollinger to Amla, OUT what a start for Australia. Amla has leading-edged it back to Bollinger. Shaun George wants to check with a replay if Bollinger has overstepped. Replays show he is fine. Amla looks to play the shot that pays his bills, a flick off the pads, but he is a microsecond too early. Remember he himself said he expected a slow wicket. The leading edge is taken, and Bollinger accepts a dolly back",1st innings,Graeme Smith,47270,,,0.1,out,0,0,0/1,"Bollinger to Amla, OUT",,"what a start for Australia. Amla has leading-edged it back to Bollinger. Shaun George wants to check with a replay if Bollinger has overstepped. Replays show he is fine. Amla looks to play the shot that pays his bills, a flick off the pads, but he is a microsecond too early. Remember he himself said he expected a slow wicket. The leading edge is taken, and Bollinger accepts a dolly back",1
1,2,Jacques Kallis,45789,Doug Bollinger,4508,"Bollinger to Kallis, no run on target, short of a length, on off, defended to off",1st innings,Graeme Smith,47270,,,0.2,no run,0,0,0/1,"Bollinger to Kallis, no run",,"on target, short of a length, on off, defended to off",1
2,3,Jacques Kallis,45789,Doug Bollinger,4508,"Bollinger to Kallis, no run short of a length, around off, angling away a touch, defended to cover",1st innings,Graeme Smith,47270,,,0.3,no run,0,0,0/1,"Bollinger to Kallis, no run",,"short of a length, around off, angling away a touch, defended to cover",1
3,4,Jacques Kallis,45789,Doug Bollinger,4508,"Bollinger to Kallis, no run fuller, pushed through, Kallis shoulders arms to it",1st innings,Graeme Smith,47270,,,0.4,no run,0,0,0/1,"Bollinger to Kallis, no run",,"fuller, pushed through, Kallis shoulders arms to it",1
4,5,Jacques Kallis,45789,Doug Bollinger,4508,"Bollinger to Kallis, no run wide outside off, Kallis doesn't go after it",1st innings,Graeme Smith,47270,,,0.5,no run,0,0,0/1,"Bollinger to Kallis, no run",,"wide outside off, Kallis doesn't go after it",1
5,6,Jacques Kallis,45789,Doug Bollinger,4508,"Bollinger to Kallis, 1 run Kallis breaks the maiden by tucking this around the corner on the leg side",1st innings,Graeme Smith,47270,,,0.6,run,1,1,1/1,"Bollinger to Kallis, 1 run",,Kallis breaks the maiden by tucking this around the corner on the leg side,1
6,7,Jacques Kallis,45789,Mitchell Johnson,6033,"Johnson to Kallis, no run starts with one angled across Kallis, who lets it be",1st innings,Graeme Smith,47270,Doug Bollinger,4508,1.1,no run,1,0,1/1,"Johnson to Kallis, no run",,"starts with one angled across Kallis, who lets it be",1
7,8,Jacques Kallis,45789,Mitchell Johnson,6033,"Johnson to Kallis, no run length ball, just outside off, presses forward to defend it to cover",1st innings,Graeme Smith,47270,Doug Bollinger,4508,1.2,no run,1,0,1/1,"Johnson to Kallis, no run",,"length ball, just outside off, presses forward to defend it to cover",1
8,9,Jacques Kallis,45789,Mitchell Johnson,6033,"Johnson to Kallis, no run short of a length, outside off, shoulders arms to it",1st innings,Graeme Smith,47270,Doug Bollinger,4508,1.3,no run,1,0,1/1,"Johnson to Kallis, no run",,"short of a length, outside off, shoulders arms to it",1
9,10,Jacques Kallis,45789,Mitchell Johnson,6033,"Johnson to Kallis, SIX runs short, swift too, 145ks, Kallis is slightly hurried into the hook from chest high. Skiddy bounce there. He has used the pace really well, it's gone for a six into the wind, well square of long leg",1st innings,Graeme Smith,47270,Doug Bollinger,4508,1.4,six,7,6,7/1,"Johnson to Kallis, SIX runs",,"short, swift too, 145ks, Kallis is slightly hurried into the hook from chest high. Skiddy bounce there. He has used the pace really well, it's gone for a six into the wind, well square of long leg",1
