,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,0,Umar Amin,288211,Vernon Philander,46945,"Philander to Umar Amin, 1 wide begins with a good length slanted too far across the left-hander",1st innings,0.0,wide,1,1,1/0,"Philander to Umar Amin, 1 wide",,begins with a good length slanted too far across the left-hander,0
1,1,Umar Amin,288211,Vernon Philander,46945,"Philander to Umar Amin, 1 run swings in a bit and comes in to the pad from a good length, is tucked down to fine leg",1st innings,0.1,run,2,1,2/0,"Philander to Umar Amin, 1 run",,"swings in a bit and comes in to the pad from a good length, is tucked down to fine leg",0
2,2,Ahmed Shehzad,259410,Vernon Philander,46945,"Philander to Ahmed Shehzad, no run pitched full outside off stump now, he reaches out to defend off a thick inside edge",1st innings,0.2,no run,2,0,2/0,"Philander to Ahmed Shehzad, no run",,"pitched full outside off stump now, he reaches out to defend off a thick inside edge",0
3,3,Ahmed Shehzad,259410,Vernon Philander,46945,"Philander to Ahmed Shehzad, no run good length ball moves away from the right-hander outside off stump, left alone",1st innings,0.3,no run,2,0,2/0,"Philander to Ahmed Shehzad, no run",,"good length ball moves away from the right-hander outside off stump, left alone",0
4,4,Ahmed Shehzad,259410,Vernon Philander,46945,"Philander to Ahmed Shehzad, OUT early wicket for Philander and South Africa, it is Shehzad, centurion from the previous game, who falls to an outswinger, no need to play at it, it was pitched up quite some way outside off, Shehzad pushed for a weak drive, and edged at a comfortable height to first slip",1st innings,0.4,out,2,0,2/1,"Philander to Ahmed Shehzad, OUT",,"early wicket for Philander and South Africa, it is Shehzad, centurion from the previous game, who falls to an outswinger, no need to play at it, it was pitched up quite some way outside off, Shehzad pushed for a weak drive, and edged at a comfortable height to first slip",1
5,5,Asad Shafiq,316397,Vernon Philander,46945,"Philander to Asad Shafiq, no run almost another one, Philander angles this in very close to off, Shafiq is lured into a push, and the ball swings away late just past the edge",1st innings,0.5,no run,2,0,2/1,"Philander to Asad Shafiq, no run",,"almost another one, Philander angles this in very close to off, Shafiq is lured into a push, and the ball swings away late just past the edge",1
6,6,Asad Shafiq,316397,Vernon Philander,46945,"Philander to Asad Shafiq, no run pitches slightly wider outside off and Shafiq immediately lets it go, excellent carry through to the keeper",1st innings,0.6,no run,2,0,2/1,"Philander to Asad Shafiq, no run",,"pitches slightly wider outside off and Shafiq immediately lets it go, excellent carry through to the keeper",1
7,7,Umar Amin,288211,Lonwabo Tsotsobe,47666,"Tsotsobe to Umar Amin, no run sharp lift from just back of a length outside off, left alone",1st innings,1.1,no run,2,0,2/1,"Tsotsobe to Umar Amin, no run",,"sharp lift from just back of a length outside off, left alone",1
8,8,Umar Amin,288211,Lonwabo Tsotsobe,47666,"Tsotsobe to Umar Amin, no run bowls it fuller outside off, it straightens late, left alone once more",1st innings,1.2,no run,2,0,2/1,"Tsotsobe to Umar Amin, no run",,"bowls it fuller outside off, it straightens late, left alone once more",1
9,9,Umar Amin,288211,Lonwabo Tsotsobe,47666,"Tsotsobe to Umar Amin, no run towards the stumps this time, defended off a thick inside edge to square leg",1st innings,1.3,no run,2,0,2/1,"Tsotsobe to Umar Amin, no run",,"towards the stumps this time, defended off a thick inside edge to square leg",1
10,10,Umar Amin,288211,Lonwabo Tsotsobe,47666,"Tsotsobe to Umar Amin, no run rides the bounce on this short of a length ball, gets on his toes and punches to point",1st innings,1.4,no run,2,0,2/1,"Tsotsobe to Umar Amin, no run",,"rides the bounce on this short of a length ball, gets on his toes and punches to point",1
11,11,Umar Amin,288211,Lonwabo Tsotsobe,47666,"Tsotsobe to Umar Amin, no run stays around the crease and defends the straightening good length ball tightly to the off side",1st innings,1.5,no run,2,0,2/1,"Tsotsobe to Umar Amin, no run",,stays around the crease and defends the straightening good length ball tightly to the off side,1
12,12,Umar Amin,288211,Lonwabo Tsotsobe,47666,"Tsotsobe to Umar Amin, no run nicely bowled, pitched up for the drive, and swings away late to the keeper as batsman flags it through",1st innings,1.6,no run,2,0,2/1,"Tsotsobe to Umar Amin, no run",,"nicely bowled, pitched up for the drive, and swings away late to the keeper as batsman flags it through",1
13,13,Asad Shafiq,316397,Vernon Philander,46945,"Philander to Asad Shafiq, no run ",1st innings,2.1,no run,2,0,2/1,"Philander to Asad Shafiq, no run",,,1
14,14,Asad Shafiq,316397,Vernon Philander,46945,"Philander to Asad Shafiq, 1 run an uncertain push forward as this length ball moves in after pitching, scoots off a thick inside edge behind square leg",1st innings,2.2,run,3,1,3/1,"Philander to Asad Shafiq, 1 run",,"an uncertain push forward as this length ball moves in after pitching, scoots off a thick inside edge behind square leg",1
15,15,Umar Amin,288211,Vernon Philander,46945,"Philander to Umar Amin, no run sharp bouncer now, Amin swerves away quite safely as the ball whizzes past his left shoulder",1st innings,2.3,no run,3,0,3/1,"Philander to Umar Amin, no run",,"sharp bouncer now, Amin swerves away quite safely as the ball whizzes past his left shoulder",1
16,16,Umar Amin,288211,Vernon Philander,46945,"Philander to Umar Amin, no run pushed off the front foot to mid off",1st innings,2.4,no run,3,0,3/1,"Philander to Umar Amin, no run",,pushed off the front foot to mid off,1
17,17,Umar Amin,288211,Vernon Philander,46945,"Philander to Umar Amin, no run good length ball pushed to cover",1st innings,2.5,no run,3,0,3/1,"Philander to Umar Amin, no run",,good length ball pushed to cover,1
18,18,Umar Amin,288211,Vernon Philander,46945,"Philander to Umar Amin, FOUR runs goes after this full delivery now, big stride forward and smashes it to the deep cover rope",1st innings,2.6,four,7,4,7/1,"Philander to Umar Amin, FOUR runs",,"goes after this full delivery now, big stride forward and smashes it to the deep cover rope",1
19,19,Asad Shafiq,316397,Lonwabo Tsotsobe,47666,"Tsotsobe to Asad Shafiq, OUT loud sound as the ball passes bat on the forward push and Shafiq has to walk back, normal left-arm seamer's line from Tsotsobe, angled across the right-hander close to off stump, generating some extra bounce, Shafiq unable to get behind the line and feathers it through to the keeper",1st innings,3.1,out,7,0,7/2,"Tsotsobe to Asad Shafiq, OUT",,"loud sound as the ball passes bat on the forward push and Shafiq has to walk back, normal left-arm seamer's line from Tsotsobe, angled across the right-hander close to off stump, generating some extra bounce, Shafiq unable to get behind the line and feathers it through to the keeper",2
20,20,Sohaib Maqsood,43266,Lonwabo Tsotsobe,47666,"Tsotsobe to Sohaib Maqsood, 1 run that was close as well, this one straightened on Maqsood, who tried to flick and survived with an inside edge to pad",1st innings,3.2,run,8,1,8/2,"Tsotsobe to Sohaib Maqsood, 1 run",,"that was close as well, this one straightened on Maqsood, who tried to flick and survived with an inside edge to pad",2
21,21,Umar Amin,288211,Lonwabo Tsotsobe,47666,"Tsotsobe to Umar Amin, 1 run pushes forward at this length ball and it runs to the fielder at third man",1st innings,3.3,run,9,1,9/2,"Tsotsobe to Umar Amin, 1 run",,pushes forward at this length ball and it runs to the fielder at third man,2
22,21,Sohaib Maqsood,43266,Lonwabo Tsotsobe,47666,"Tsotsobe to Sohaib Maqsood, 1 wide that flew, that really took off way over the batsman as Tsotsobe banged it in short, keeper had to jump high to take it",1st innings,3.3,wide,10,1,10/2,"Tsotsobe to Sohaib Maqsood, 1 wide",,"that flew, that really took off way over the batsman as Tsotsobe banged it in short, keeper had to jump high to take it",2
