,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,otherBowler,otherBowler_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,Hiral Patel,414248,Timm van der Gugten,333782,"van der Gugten to Patel, no run ",1st innings,,,,,0.1,no run,0,0,0/0,"van der Gugten to Patel, no run",,,0
1,2,Hiral Patel,414248,Timm van der Gugten,333782,"van der Gugten to Patel, OUT cleaned him up ! right through bat and pad and the stump lays flat on the ground, great start for the Dutch ! ",1st innings,Ruvindu Gunasekera,307075,,,0.2,out,0,0,0/1,"van der Gugten to Patel, OUT",,"cleaned him up ! right through bat and pad and the stump lays flat on the ground, great start for the Dutch ! ",1
2,2,Nitish Kumar,348129,Timm van der Gugten,333782,"van der Gugten to Kumar, 1 wide goes down the leg side, Kumar moves out of the way ",1st innings,Ruvindu Gunasekera,307075,,,0.2,wide,1,1,1/1,"van der Gugten to Kumar, 1 wide",,"goes down the leg side, Kumar moves out of the way ",1
3,3,Nitish Kumar,348129,Timm van der Gugten,333782,"van der Gugten to Kumar, no run full and outside off, Kumar leaves it alone ",1st innings,Ruvindu Gunasekera,307075,,,0.3,no run,1,0,1/1,"van der Gugten to Kumar, no run",,"full and outside off, Kumar leaves it alone ",1
4,3,Nitish Kumar,348129,Timm van der Gugten,333782,"van der Gugten to Kumar, 1 wide wide outside off, he leaves it alone once again ",1st innings,Ruvindu Gunasekera,307075,,,0.3,wide,2,1,2/1,"van der Gugten to Kumar, 1 wide",,"wide outside off, he leaves it alone once again ",1
5,4,Nitish Kumar,348129,Timm van der Gugten,333782,"van der Gugten to Kumar, OUT edged and a sharp catch by the keeper, that was the first ball, Nitish offered a shot at and he gets edge dying in front of the slips, Keepers dives and takes it clean",1st innings,Ruvindu Gunasekera,307075,,,0.4,out,2,0,2/2,"van der Gugten to Kumar, OUT",,"edged and a sharp catch by the keeper, that was the first ball, Nitish offered a shot at and he gets edge dying in front of the slips, Keepers dives and takes it clean",2
6,5,Ashish Bagai,23797,Timm van der Gugten,333782,"van der Gugten to Bagai, no run shout for a caught behind, everyone went up except the bowler",1st innings,Ruvindu Gunasekera,307075,,,0.5,no run,2,0,2/2,"van der Gugten to Bagai, no run",,"shout for a caught behind, everyone went up except the bowler",2
7,6,Ashish Bagai,23797,Timm van der Gugten,333782,"van der Gugten to Bagai, no run bouncer, Bagai weaves out of the way ",1st innings,Ruvindu Gunasekera,307075,,,1.0,no run,2,0,2/2,"van der Gugten to Bagai, no run",,"bouncer, Bagai weaves out of the way ",2
8,7,Ruvindu Gunasekera,307075,Michael Swart,308794,"Swart to Gunasekera, no run beaten, trying to defend it ",1st innings,Ashish Bagai,23797,Timm van der Gugten,333782,1.1,no run,2,0,2/2,"Swart to Gunasekera, no run",,"beaten, trying to defend it ",2
9,8,Ruvindu Gunasekera,307075,Michael Swart,308794,"Swart to Gunasekera, no run ",1st innings,Ashish Bagai,23797,Timm van der Gugten,333782,1.2,no run,2,0,2/2,"Swart to Gunasekera, no run",,,2
10,9,Ruvindu Gunasekera,307075,Michael Swart,308794,"Swart to Gunasekera, 1 run cuts that one to sweeper cover, first run of the bat ",1st innings,Ashish Bagai,23797,Timm van der Gugten,333782,1.3,run,3,1,3/2,"Swart to Gunasekera, 1 run",,"cuts that one to sweeper cover, first run of the bat ",2
11,10,Ashish Bagai,23797,Michael Swart,308794,"Swart to Bagai, no run forward defence ",1st innings,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,1.4,no run,3,0,3/2,"Swart to Bagai, no run",,forward defence ,2
12,11,Ashish Bagai,23797,Michael Swart,308794,"Swart to Bagai, no run ",1st innings,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,1.5,no run,3,0,3/2,"Swart to Bagai, no run",,,2
13,12,Ashish Bagai,23797,Michael Swart,308794,"Swart to Bagai, no run defends it of the backfoot this time ",1st innings,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,2.0,no run,3,0,3/2,"Swart to Bagai, no run",,defends it of the backfoot this time ,2
14,13,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,"van der Gugten to Gunasekera, no run solid on the backfoot, length ball on middle stump",1st innings,Ashish Bagai,23797,Michael Swart,308794,2.1,no run,3,0,3/2,"van der Gugten to Gunasekera, no run",,"solid on the backfoot, length ball on middle stump",2
15,14,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,"van der Gugten to Gunasekera, no run defends on the front foot this time, the ball was fuller too ",1st innings,Ashish Bagai,23797,Michael Swart,308794,2.2,no run,3,0,3/2,"van der Gugten to Gunasekera, no run",,"defends on the front foot this time, the ball was fuller too ",2
16,15,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,"van der Gugten to Gunasekera, no run fuller still, this time Gunasekera offered a big slash at it",1st innings,Ashish Bagai,23797,Michael Swart,308794,2.3,no run,3,0,3/2,"van der Gugten to Gunasekera, no run",,"fuller still, this time Gunasekera offered a big slash at it",2
17,15,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,"van der Gugten to Gunasekera, 1 wide wide outside off, he lets it go on its way ",1st innings,Ashish Bagai,23797,Michael Swart,308794,2.3,wide,4,1,4/2,"van der Gugten to Gunasekera, 1 wide",,"wide outside off, he lets it go on its way ",2
18,16,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,"van der Gugten to Gunasekera, no run full on middle stump, drives straight to mid on ",1st innings,Ashish Bagai,23797,Michael Swart,308794,2.4,no run,4,0,4/2,"van der Gugten to Gunasekera, no run",,"full on middle stump, drives straight to mid on ",2
19,16,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,"van der Gugten to Gunasekera, 1 wide late movement, it started of on middle and moved down the left handers pads",1st innings,Ashish Bagai,23797,Michael Swart,308794,2.4,wide,5,1,5/2,"van der Gugten to Gunasekera, 1 wide",,"late movement, it started of on middle and moved down the left handers pads",2
20,17,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,"van der Gugten to Gunasekera, no run defends it back with conviction ",1st innings,Ashish Bagai,23797,Michael Swart,308794,2.5,no run,5,0,5/2,"van der Gugten to Gunasekera, no run",,defends it back with conviction ,2
21,18,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,"van der Gugten to Gunasekera, no run yorker ! he digs it out back to the bowler",1st innings,Ashish Bagai,23797,Michael Swart,308794,3.0,no run,5,0,5/2,"van der Gugten to Gunasekera, no run",,yorker ! he digs it out back to the bowler,2
22,19,Ashish Bagai,23797,Mudassar Bukhari,245166,"Mudassar Bukhari to Bagai, no run leaves it alone, not much movement ",1st innings,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,3.1,no run,5,0,5/2,"Mudassar Bukhari to Bagai, no run",,"leaves it alone, not much movement ",2
23,20,Ashish Bagai,23797,Mudassar Bukhari,245166,"Mudassar Bukhari to Bagai, no run this one came back in ! Bagai left it alone but moved it a good amount",1st innings,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,3.2,no run,5,0,5/2,"Mudassar Bukhari to Bagai, no run",,this one came back in ! Bagai left it alone but moved it a good amount,2
24,21,Ashish Bagai,23797,Mudassar Bukhari,245166,"Mudassar Bukhari to Bagai, no run this one moved the other w, Bagai squared up",1st innings,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,3.3,no run,5,0,5/2,"Mudassar Bukhari to Bagai, no run",,"this one moved the other w, Bagai squared up",2
25,22,Ashish Bagai,23797,Mudassar Bukhari,245166,"Mudassar Bukhari to Bagai, no run beaten again, lovely late movement by Bukhari",1st innings,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,3.4,no run,5,0,5/2,"Mudassar Bukhari to Bagai, no run",,"beaten again, lovely late movement by Bukhari",2
26,23,Ashish Bagai,23797,Mudassar Bukhari,245166,"Mudassar Bukhari to Bagai, no run full driven to mid off ",1st innings,Ruvindu Gunasekera,307075,Timm van der Gugten,333782,3.5,no run,5,0,5/2,"Mudassar Bukhari to Bagai, no run",,full driven to mid off ,2
